,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_text,demojize_text
13,1277448814324903936,1277448814324903936,2020-06-29,11:48:25,957283101360582661,fahhhzana,F,,Cam sial kene stay at home notice,en,[],[],[],0,0,0,[],https://twitter.com/fahhhzana/status/1277448814324903936,0,[],"['cam', 'sial', 'kene', 'stay', 'home', 'notic']",Cam sial kene stay at home notice
14,1275649830673661953,1275649830673661953,2020-06-24,12:39:54,41269448,santoshaka,𝙎𝙖𝙣𝙩𝙤𝙨𝙝 𝙏𝙝𝙖𝙥𝙖 𝙈𝙖𝙜𝙖𝙧,,New term - SHRO (stay home restriction order) is different from SHN (Stay Home Notice),en,[],[],[],1,0,2,[],https://twitter.com/SantoshAKA/status/1275649830673661953,0,[],"['new', 'term', 'shro', 'stay', 'home', 'restrict', 'order', 'differ', 'shn', 'stay', 'home', 'notic']",New term - SHRO (stay home restriction order) is different from SHN (Stay Home Notice)
15,1274731423371411456,1274731423371411456,2020-06-21,23:50:29,1022113316611792897,zhg5wdz3omkw9el,冉磊,,"After 3 months’ stay at home notice, today we got hanging out. But I didn't feel so excited. After all, I am so familiar with this city, nothing new. Nothing unexpected happened, everything is the same, nothing changed.",en,[],[],[],1,0,0,[],https://twitter.com/ZHG5wdZ3OMKw9EL/status/1274731423371411456,0,[],"['month', 'stay', 'home', 'notic', 'today', 'got', 'hang', 'feel', 'excit', 'familiar', 'citi', 'noth', 'new', 'noth', 'unexpect', 'happen', 'everyth', 'noth', 'chang']","After 3 months’ stay at home notice, today we got hanging out. But I didn't feel so excited. After all, I am so familiar with this city, nothing new. Nothing unexpected happened, everything is the same, nothing changed."
22,1267113971917574144,1266925337356537856,2020-05-31,23:21:27,877337100,indiainsingapor,India in Singapore,,@KumarDk75710 @PMOIndia @MEAIndia @DrSJaishankar @MOS_MEA @harshvshringla @IndianDiplomacy @airindiain @PIB_India @DDNewslive @JawedAshraf5 All cleared at temperature screenings.  They were in quarantine like conditions in Singapore since 7 April. None of those in stay home notice or under observation are on passenger lists .🙏,en,[],[],[],0,0,3,[],https://twitter.com/IndiainSingapor/status/1267113971917574144,0,"[{'screen_name': 'KumarDk75710', 'name': 'Deepak kumar', 'id': '731458212902248448'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'MEAIndia', 'name': 'Anurag Srivastava', 'id': '441636351'}, {'screen_name': 'DrSJaishankar', 'name': 'Dr. S. Jaishankar', 'id': '859363899291742210'}, {'screen_name': 'MOS_MEA', 'name': 'V. Muraleedharan', 'id': '1137953360462532608'}, {'screen_name': 'harshvshringla', 'name': 'Harsh V Shringla', 'id': '4817560872'}, {'screen_name': 'IndianDiplomacy', 'name': 'Indian Diplomacy', 'id': '164213375'}, {'screen_name': 'airindiain', 'name': 'Air India', 'id': '387573617'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'DDNewslive', 'name': 'DD News', 'id': '1100927498'}, {'screen_name': 'JawedAshraf5', 'name': 'Jawed Ashraf', 'id': '718757829570506752'}]","['clear', 'temperatur', 'screen', 'quarantin', 'like', 'condit', 'singapor', 'sinc', 'april', 'none', 'stay', 'home', 'notic', 'observ', 'passeng', 'list']",@KumarDk75710 @PMOIndia @MEAIndia @DrSJaishankar @MOS_MEA @harshvshringla @IndianDiplomacy @airindiain @PIB_India @DDNewslive @JawedAshraf5 All cleared at temperature screenings.  They were in quarantine like conditions in Singapore since 7 April. None of those in stay home notice or under observation are on passenger lists .:folded_hands:
23,1264779814726184960,1264779814726184960,2020-05-25,12:46:20,1188124814,belovedarnold,Arnold dela Cruz,"{'type': 'Point', 'coordinates': [1.43788, 103.83803]}","_EoSHNo Pasta_ (End of Stay-Home Notice Pasta) . Since the onset of COVID-19 cases and the circuit breaker started in Singapore, I have been disciplined to restrict myself from going elsewhere that is not…  https://t.co/ElpQKGmrcQ",en,[],['https://www.instagram.com/p/CAmRIcRHIR8/?igshid=1i7arsfe13tec'],[],0,0,0,[],https://twitter.com/belovedarnold/status/1264779814726184960,0,[],"['end', 'notic', 'pasta', 'sinc', 'onset', 'case', 'circuit', 'breaker', 'start', 'singapor', 'disciplin', 'restrict', 'go', 'elsewher']","_EoSHNo Pasta_ (End of Stay-Home Notice Pasta) . Since the onset of COVID-19 cases and the circuit breaker started in Singapore, I have been disciplined to restrict myself from going elsewhere that is not…  https://t.co/ElpQKGmrcQ"
24,1262687685010878465,1262687685010878465,2020-05-19,18:12:58,76352733,anbe_aaruyire,kv,,Out in the real world... After 28 days of Stay Home Notice.. #StayHome #StaySafe.. #SGUnited  https://t.co/udcfJMkc2Z,en,[],[],['https://pbs.twimg.com/media/EYX3vJbUMAE1jdY.jpg'],0,0,1,"['stayhome', 'staysafe', 'sgunited']",https://twitter.com/anbe_aaruyire/status/1262687685010878465,1,[],"['real', 'world', 'day', 'stay', 'home', 'notic']",Out in the real world... After 28 days of Stay Home Notice.. #StayHome #StaySafe.. #SGUnited  https://t.co/udcfJMkc2Z
25,1262687005198057472,1262687005198057472,2020-05-19,18:10:16,76352733,anbe_aaruyire,kv,,"Coming out for the first time, after a 28 days of Stay Home Notice... #SGUnited #Singapore  https://t.co/zMaqjDb3Sc",en,[],[],['https://pbs.twimg.com/media/EYX3HiEVAAAy1IA.jpg'],0,0,1,"['sgunited', 'singapore']",https://twitter.com/anbe_aaruyire/status/1262687005198057472,1,[],"['come', 'first', 'time', 'day', 'stay', 'home', 'notic']","Coming out for the first time, after a 28 days of Stay Home Notice... #SGUnited #Singapore  https://t.co/zMaqjDb3Sc"
26,1261670742120259585,1261670742120259585,2020-05-16,22:52:00,397966748,veloruntheworld,Ra,,"Finding Nemo architecture !!! I start to notice, stay at home really affects our health, I guess.. my on and off giddiness is back - I do need morning exposure every morning. During Ramadan, I only run in the evening.. #runningjournal  https://t.co/7NN3CXzHMJ",en,[],[],['https://pbs.twimg.com/media/EYJa2P-U8AESbao.jpg'],0,0,2,['runningjournal'],https://twitter.com/VeloRuntheworld/status/1261670742120259585,1,[],"['find', 'nemo', 'architectur', 'start', 'notic', 'stay', 'home', 'realli', 'affect', 'health', 'guess', 'giddi', 'back', 'need', 'morn', 'exposur', 'everi', 'morn', 'ramadan', 'run', 'even']","Finding Nemo architecture !!! I start to notice, stay at home really affects our health, I guess.. my on and off giddiness is back - I do need morning exposure every morning. During Ramadan, I only run in the evening.. #runningjournal  https://t.co/7NN3CXzHMJ"
27,1261285374090817545,1261277507535302659,2020-05-15,21:20:41,49007031,kira_scribbles,ᴮᴱ 🄺🄸🅁🄰,,"@hizlittlepinky actually, allowed naman kami lumabas but not for too long.. only to buy essential stuff, exercise or go to work..   unless you’re under stay-home notice..",en,[],[],[],1,0,0,[],https://twitter.com/KIRA_scribbles/status/1261285374090817545,0,"[{'screen_name': 'hizlittlepinky', 'name': 'shanie🐥sick and tired', 'id': '975421826'}]","['actual', 'allow', 'naman', 'kami', 'lumaba', 'long', 'buy', 'essenti', 'stuff', 'exercis', 'go', 'work', 'unless', 'notic']","@hizlittlepinky actually, allowed naman kami lumabas but not for too long.. only to buy essential stuff, exercise or go to work..   unless you’re under stay-home notice.."
28,1260872061594918912,1260872061594918912,2020-05-14,17:58:20,756772,kyh,kyh®,"{'type': 'Point', 'coordinates': [1.2578, 103.80994]}","hola from singapura! just checked into the luxury rasasentosa on sentosa island, my ""home"" for the next 14 days in compliance with the island republic's stay home notice (shn) during this trying period, all paid for…  https://t.co/A05SZBJtpt",en,[],['https://www.instagram.com/p/CAKgFr6g0Ku/?igshid=rq7ynijmlqnm'],[],0,0,0,[],https://twitter.com/kyh/status/1260872061594918912,0,[],"['hola', 'singapura', 'check', 'luxuri', 'rasasentosa', 'sentosa', 'island', 'home', 'next', 'day', 'complianc', 'island', 'republ', 'stay', 'home', 'notic', 'shn', 'tri', 'period', 'paid']","hola from singapura! just checked into the luxury rasasentosa on sentosa island, my ""home"" for the next 14 days in compliance with the island republic's stay home notice (shn) during this trying period, all paid for…  https://t.co/A05SZBJtpt"
