Unnamed: 0,Unnamed: 0.1,Post Description,Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
1228,1554,"The shoe retailer's Orchard outlet had failed to comply with Covid-19 safe management measures after large crowds gathered for a limited-edition Yeezy sneaker release on Friday night. 
Link in bio @straits_times
ðŸ“¸: Kelvin Chng
#StraitsTimes #Footlocker #Yeezy",2020-12-05 10:06:11+00:00,Foot Locker really locked now,2020-12-05 10:11:37+00:00,5,Social Distancing,5,0,-13.723077228288252,1,0,0,21.853775475183443,3,0,0.0
1229,1566,"The shoe retailer's Orchard outlet had failed to comply with Covid-19 safe management measures after large crowds gathered for a limited-edition Yeezy sneaker release on Friday night. 
Link in bio @straits_times
ðŸ“¸: Kelvin Chng
#StraitsTimes #Footlocker #Yeezy",2020-12-05 10:06:11+00:00,Commercial existence vs compliance for future existence,2020-12-05 10:07:41+00:00,7,Social Distancing,7,0,-13.215668011565251,0,0,0,12.263892185273145,2,0,0.0
1230,1567,"The shoe retailer's Orchard outlet had failed to comply with Covid-19 safe management measures after large crowds gathered for a limited-edition Yeezy sneaker release on Friday night. 
Link in bio @straits_times
ðŸ“¸: Kelvin Chng
#StraitsTimes #Footlocker #Yeezy",2020-12-05 10:06:11+00:00,People who can’t manage and keep safe during COVID is putting a bad image to the sneaker community. Pls don’t do this,2020-12-05 10:07:55+00:00,24,Social Distancing,22,1,-11.114605182583368,5,1,0,4.197650602367686,0,0,0.0
1231,1570,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Hakeleh 8 je puas hati tkya naikkan😑,2020-10-20 16:29:20+00:00,6,Social Distancing,7,0,-20.348844948265114,0,0,0,10.458498421283293,2,0,0.0
1232,1571,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Vote them out 🇸🇬🇸🇬 ~pj thum historian,2020-10-20 16:37:09+00:00,6,Social Distancing,6,0,-15.158013112625387,1,0,0,21.85377547518344,3,0,0.0
1233,1572,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,the fact that they’d rather allow schs to open and like in a sch there are clearly more then 600 people and every is in a 1km radius so like wtf is this,2020-10-20 16:38:47+00:00,32,Social Distancing,33,2,-10.898496396427143,6,3,0,6.645015734668389,1,0,1.0
1234,1575,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Lol in that case it’s alr been phase 3,2020-10-21 00:57:34+00:00,9,Social Distancing,9,0,-11.996554554839811,2,0,0,21.853775475183443,3,0,0.0
1235,1578,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,"Dang it, was hoping for 10.",2020-10-21 02:52:31+00:00,5,Social Distancing,6,0,-10.220135967138992,2,0,0,41.612888760855476,4,0,0.0
1236,1579,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,just another numbers game by gov to please themselves !!!,2020-10-21 05:38:35+00:00,9,Social Distancing,9,0,-10.938461871246206,1,0,0,14.314157420614006,2,0,0.0
1237,1581,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,"For extended family members, 8 is not enough...🙄",2020-10-21 14:05:51+00:00,7,Social Distancing,8,0,-10.269533697231424,2,0,0,21.85377547518344,3,0,0.0
1238,1582,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,And I’ll be the 9th friend,2020-10-22 01:51:58+00:00,6,Social Distancing,6,0,-10.083082848166706,1,0,0,41.612888760855476,4,0,0.0
1239,1583,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Nvm I'll just make the gathering in the MRT. 😂,2020-10-22 02:38:07+00:00,8,Social Distancing,9,0,-11.70532193925621,1,0,0,14.314157420614002,2,0,0.0
