,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
440,660,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,How does allowing people to sit beside an unknown person in the train more safe than seating beside our own far related family?,2020-06-06 04:11:43+00:00,23
441,661,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,When are you going to report that the WHO came out on May 29th with the fact that healthy people should not need to wear masks unless they are caring for someone with covid? Why aren’t you as a journalistic entity writing about this and questioning the government on their ridiculous mask mandate for everyone. Forcing children to wear it. Do your job.,2020-06-06 05:19:55+00:00,63
442,662,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,sorry hor....I dun like to wear anything on my body like watch or jewelleries except clothes n footwear so mask is the limit already!,2020-06-06 05:46:33+00:00,25
443,663,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,The reason the bluetooth tracing was unpopular is bcos we dont like to be track n they launch another one rite after? So bodoh..,2020-06-05 15:52:09+00:00,24
444,664,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Are they gonna fine us if don wear? Can someone put a campaign or petition to opt out?,2020-06-05 15:53:01+00:00,18
445,665,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,The only way we w wear is a,2020-06-05 15:54:10+00:00,8
446,666,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,The only way we w definitely wear is u put e stupid chip in a free diamond studded Rolex & Apple & Suunto combined watch.,2020-06-05 15:59:08+00:00,23
447,667,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"What is the rationale? We are being socially responsible. We are using safe entry and following. I think even if needed, it should be for those flout the rules.",2020-06-05 16:26:42+00:00,29
448,668,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,This is getting increasingly INCREASINGLY UNCOMFORTABLE,2020-06-05 16:59:54+00:00,6
449,669,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"I think the government is going too far. We are trackdown everywhere we go. There's no more privacy & freedom here. We're treated worse than a criminal. Singaporeans will never be happy again. It becomes the saddest, boring & scariest country to live in. First, they imply TraceTogether & SafeEntry. Next, they want to scan your IC. And now, this wearable device. Are we a democratic country? I begin asking myself. It just saddened all of us.",2020-06-05 17:16:55+00:00,72
450,671,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,@nytimes this is what singapore is doing,2020-06-05 18:22:30+00:00,6
451,672,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Hmm People are carrying smartphones and wearable that private corporations can track you but that's ok.,2020-06-05 18:43:35+00:00,15
452,673,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Citisan Have the right .Forsing Human that Good Backgrown is Not healti .It is good what has Been Inplement now . Dont Make Citisand like me Stress .,2020-06-05 20:04:48+00:00,26
453,674,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,If Citisent Has to Do make shuar Top To Every human came to Singapore Follow then That is fair. Gov sevent All have to Have equal included The idear to make this Ruled. All Human Must .Fair To All That Stape to This Used to Be Singapore Rainbow Counter.,2020-06-05 20:12:09+00:00,49
