,Post Description,Post Datetime,Comments,Comment Datetime,num_words
321,"PM Lee urged the older generation to stay home in his address to the nation today (Apr. 10, 2020). .
.
.
""If we catch COVID-19, it is a serious matter. Our chances of dying are much higher, and if we get infected and spread the virus to our friends around our age, or bring the virus back home to our families, then, we put them in grave danger.""",2020-04-10 10:36:48+00:00,how to forward this to my grandad,2020-04-12 06:43:31+00:00,7
325,"Speaking at a press conference on Thursday (Apr. 9), MTF co-chair Lawrence Wong said that the decision to close stadiums had been made after sightings of people gathering at stadiums after circuit breaker measures came into effect on Apr. 7. ""Unfortunately we do see groups coming in to exercise in the stadium, which is not what the intention was."" Link in bio.",2020-04-09 13:08:05+00:00,"the Govt said “cut the cameras, DEADASS”",2020-04-10 01:33:01+00:00,7
329,"Speaking at a press conference on Thursday (Apr. 9), MTF co-chair Lawrence Wong said that the decision to close stadiums had been made after sightings of people gathering at stadiums after circuit breaker measures came into effect on Apr. 7. ""Unfortunately we do see groups coming in to exercise in the stadium, which is not what the intention was."" Link in bio.",2020-04-09 13:08:05+00:00,Good move... See more people going exercise in group after the circuit breaker starts.  STFAH,2020-04-10 06:26:40+00:00,15
333,"Speaking at a press conference on Thursday (Apr. 9), MTF co-chair Lawrence Wong said that the decision to close stadiums had been made after sightings of people gathering at stadiums after circuit breaker measures came into effect on Apr. 7. ""Unfortunately we do see groups coming in to exercise in the stadium, which is not what the intention was."" Link in bio.",2020-04-09 13:08:05+00:00,"If LKY was alive, he will impose draconian laws and stop all this once n for all. U can't have it both ways. Extreme situations call for extreme measures.",2020-04-10 14:21:52+00:00,28
334,"Speaking at a press conference on Thursday (Apr. 9), MTF co-chair Lawrence Wong said that the decision to close stadiums had been made after sightings of people gathering at stadiums after circuit breaker measures came into effect on Apr. 7. ""Unfortunately we do see groups coming in to exercise in the stadium, which is not what the intention was."" Link in bio.",2020-04-09 13:08:05+00:00,This is why we can’t have nice things..,2020-04-11 07:31:52+00:00,9
336,Don't wait till tonight to maximise social distancing.,2020-04-06 02:59:30+00:00,Do we really need the gov to talk to us like kids? For god sake PLS STAY HOME LAAAAAAA! PLEASE! 🙄,2020-04-06 03:02:36+00:00,20
339,Don't wait till tonight to maximise social distancing.,2020-04-06 02:59:30+00:00,Well....still seen people not practicing social distancing in many areas! Its hard to make everyone listen in order🙄,2020-04-06 03:31:36+00:00,19
340,Don't wait till tonight to maximise social distancing.,2020-04-06 02:59:30+00:00,Can we have simple cooking lesson on tv? I don’t even know how to cook rice for myself. I need to know how to steam or cook simple meal (not so complicated) just for myself.,2020-04-06 04:01:15+00:00,36
341,Don't wait till tonight to maximise social distancing.,2020-04-06 02:59:30+00:00,"Be socially responsible, do what u need to do.",2020-04-06 04:03:22+00:00,9
342,Don't wait till tonight to maximise social distancing.,2020-04-06 02:59:30+00:00,Next time please don’t give advance notice. Just do it immediately like China!,2020-04-06 04:19:56+00:00,14
345,Don't wait till tonight to maximise social distancing.,2020-04-06 02:59:30+00:00,"You wanna maximise social distancing by cramming people into their homes with their families and significant others. Its a loop hole. There's no proper way of social distancing, there's 7 billion of us in the world and 6 million of us in Singapore, most of these 6 million have families and live with them under one roof. Its hopeless man, it works for awhile but in the end the infected will still keep on coming.",2020-04-06 05:35:06+00:00,70
346,Don't wait till tonight to maximise social distancing.,2020-04-06 02:59:30+00:00,Thanks to channel 8 SGUnited exercise programs. It helps a lot.,2020-04-06 06:40:02+00:00,10
347,Don't wait till tonight to maximise social distancing.,2020-04-06 02:59:30+00:00,I wish everybody can stay at home as much as possible and stop going out. Well.. at least .. we commit ourselves to our home!,2020-04-07 06:14:09+00:00,24
