,Post Description,Post Datetime,Comments,Comment Datetime,num_words
36,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,😂😂 more like chicken in chicken out chicken in chicken out😅😅,2020-08-10 04:46:08+00:00,10
37,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,The number of safepass tabs I have are as much as the cases daily.,2020-08-10 04:47:36+00:00,14
38,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"Personally, i dont find safe entry check in and out bothersome. Its just like taking pictures of your food before you eat it..... Think about it.",2020-08-10 04:51:49+00:00,26
40,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,QR code? Singpass lah ahdoi.,2020-08-10 05:02:50+00:00,5
43,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,it is my right to stand in a group of 20 people,2020-08-10 05:07:57+00:00,11
45,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"Get a trustworthy accountmanager, like @brilliant_mindfxt a man ofHis words, tomorrow is too late why don't youstart now",2020-08-10 05:14:09+00:00,16
46,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,"No matter how many breakthroughs , trials will exist and we're going to get through it . The zeal of staying strong is needed . I've been investing with the wrong people thinking I found people I could trust but everything turned out bad , I was at the brink of giving up until I met Mr @brilliant_mindfxt and I invested with him , right now me and my love family is very happy Click the link to connect him . @brilliant_mindfxt",2020-08-10 05:18:32+00:00,72
49,Also: Check in check out check in check out check in check out check in check out,2020-08-10 04:40:33+00:00,I understand. Check in check out,2020-08-10 04:44:53+00:00,6
53,"There were also cases where Safe Distancing Ambassadors and Enforcement Officers encountered ""aggression and non-compliance"" when they advised large groups to disperse, according to Minister for the Environment and Water Resources Masagos Zulkifli. #linkinbio

Photos from Masagos/Facebook.",2020-07-22 10:19:43+00:00,why do yall have to get mad about being told to wear masks??? 😭😭 got nothing better to do sia,2020-07-23 17:27:36+00:00,19
54,"There were also cases where Safe Distancing Ambassadors and Enforcement Officers encountered ""aggression and non-compliance"" when they advised large groups to disperse, according to Minister for the Environment and Water Resources Masagos Zulkifli. #linkinbio

Photos from Masagos/Facebook.",2020-07-22 10:19:43+00:00,lockdown the beaches since these ppl dont know how to behave lol,2020-07-23 17:28:25+00:00,12
55,"There were also cases where Safe Distancing Ambassadors and Enforcement Officers encountered ""aggression and non-compliance"" when they advised large groups to disperse, according to Minister for the Environment and Water Resources Masagos Zulkifli. #linkinbio

Photos from Masagos/Facebook.",2020-07-22 10:19:43+00:00,"Close phase 2 la, don't bother do enforcement la. Wasting everyone's time only",2020-07-24 04:26:30+00:00,10
56,"There were also cases where Safe Distancing Ambassadors and Enforcement Officers encountered ""aggression and non-compliance"" when they advised large groups to disperse, according to Minister for the Environment and Water Resources Masagos Zulkifli. #linkinbio

Photos from Masagos/Facebook.",2020-07-22 10:19:43+00:00,"if can't chill at the beach,maybe longkang is the best place where nobody can be so kaypoh.",2020-07-24 06:35:41+00:00,17
61,"There were also cases where Safe Distancing Ambassadors and Enforcement Officers encountered ""aggression and non-compliance"" when they advised large groups to disperse, according to Minister for the Environment and Water Resources Masagos Zulkifli. #linkinbio

Photos from Masagos/Facebook.",2020-07-22 10:19:43+00:00,@autismo_111  all the bitches jokes here tho lmao,2020-07-25 01:06:34+00:00,7
62,"There were also cases where Safe Distancing Ambassadors and Enforcement Officers encountered ""aggression and non-compliance"" when they advised large groups to disperse, according to Minister for the Environment and Water Resources Masagos Zulkifli. #linkinbio

Photos from Masagos/Facebook.",2020-07-22 10:19:43+00:00,Paint white circles on the beaches where a maximum of 5 people can stay within each circle.,2020-07-26 18:13:46+00:00,16
64,"Remember to use safe entry, preferably more than once. #linkinbio

Photo from Pan Pacific Hotel",2020-07-03 11:02:47+00:00,Yay now can go downtown east to play at the www and stay there,2020-07-03 23:31:17+00:00,14
70,"Remember to use safe entry, preferably more than once. #linkinbio

Photo from Pan Pacific Hotel",2020-07-03 11:02:47+00:00,Is it time for our staycay???? @_kxl__ @imseorimnoona @joyceeisawesome @maisarah_hassim 😔,2020-07-04 09:01:39+00:00,6
74,"Remember to use safe entry, preferably more than once. #linkinbio

Photo from Pan Pacific Hotel",2020-07-03 11:02:47+00:00,Is it mean you have open international flights & allow tourist to come again?,2020-07-06 16:43:15+00:00,13
