,Post Description,Post Datetime,Comments,Comment Datetime,num_words
512,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,"Please import a human sized T-800 and let them patrol the Parks, that’ll be a great investment I’m sure",2020-05-08 10:28:50+00:00,21
516,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,if this can run fast 😨,2020-05-08 10:09:17+00:00,5
522,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,@ianwongkj reminded me of the backpacking robot who got beaten to death in philly,2020-05-08 10:12:06+00:00,13
523,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,BOSTON DYNAMICS DOG I WANT ONE,2020-05-08 10:14:11+00:00,6
526,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,That’s Spot from Boston Dynamics 👋,2020-05-08 10:01:50+00:00,6
527,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,Can give it a head? It is headless and someone will get heart attack especially at night.,2020-05-08 10:02:43+00:00,17
528,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,Selamat that time tak nampak ni eh. 😆 @harfaizah ni tempat fluffy,2020-05-08 10:02:51+00:00,10
535,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,A dog from Tron Legacy.,2020-05-08 10:07:55+00:00,5
536,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,This is the same robot which opened a door,2020-05-08 09:52:38+00:00,9
541,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,Might bring it home later,2020-05-08 09:56:40+00:00,5
546,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,look like ant but 4 legs,2020-05-08 09:59:51+00:00,5
549,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,@abiabigailgail Baxter and bonbon might attack lool,2020-05-08 09:45:52+00:00,6
552,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,My dog 🐕 gonna have some fun !! 😆,2020-05-08 09:49:03+00:00,6
554,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,@corny_heartbreaker @mariusgumbmann damit admit such beim nächsten Lauf im Park nicht wundert..,2020-05-08 09:50:24+00:00,9
558,"Don't be surprised if you see a 4-legged robot patrolling in Bishan-Ang Mo Kio Park.
Called Spot, the robot will be broadcasting a recorded message reminding park visitors to observe safe distancing measures.
Don't worry about bumping into Spot as it is fitted with safety sensors to detect objects and people within 1m to avoid collision.
Robots can observe safe distancing too!
🎥: Gin Tay
#cybark #robot #coronavirus #covid19 #StraitsTimes #SGUnited #StayHome #circuitbreaker",2020-05-08 09:02:12+00:00,What happens if we accidentally hit it ?,2020-05-08 09:51:47+00:00,7
