,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
0,0,"It’s the final weekend before CNY, and also the final stretch before #SGBudget2021. Taking some time away from my Budget preparations, I joined my fellow East Coast Advisers yesterday to see how our residents and stallholders in East Coast are taking to the tighter safe management measures for the festive period. We also took the opportunity to distribute oranges and exchange greetings with people we met.&nbsp;
&nbsp;
Glad to see residents in good spirits and getting ready for CNY, with groceries, flowers and bright decorations! Many appreciated the need for tighter safe management measures, such as a cap on the number of daily visitors each family can receive, given the global situation and the emergence of new, more contagious strains. Let us continue to do our part, to keep our loved ones and our friends and neighbours safe.&nbsp;
&nbsp;
Thanks to all who came over to say hello to us, and to our many volunteers who helped with the visit. Stay safe and healthy!",2021-02-08 12:36:38+00:00,Very Good of You to exchange Chinese New Year Greetings with your East Coast Residents and Stallholders!,2021-02-08 13:10:54+00:00,17
1,13,"Last weekend, I joined our Bedok Orchid RC volunteers to distribute goodie bags to some 500 residents. In the hustle and bustle of CNY preparations, we did not forget our vulnerable and needy families.⁣
⁣
I was most concerned about our elderly residents, and kept checking that they were keeping a safe distance and not having to queue for long. When I urged them to take care of their health during this time, many of them rattled off the safe management measures to me. They reminded me to eat and rest more, told me which colours I should wear more often! The less mobile seniors we visited in their homes were also quite cheerful. It is really good to see our seniors well and in good spirits. Hope they will continue to stay well, and we can all spend more time together when the situation allows.⁣
⁣
Thank you to Sian Chay Medical Institution for your donations that brought joy to our residents’ day. And thank you to our Orchid RC volunteers for caring for the residents.⁣
⁣
#EastCoastCares",2021-01-24 01:08:05+00:00,Very Glad that you do house visit to the elderly in your constituency. Handing them a goody bag makes a lot of difference. Press On!,2021-01-24 01:32:59+00:00,25
2,18,"Last weekend, I joined our Bedok Orchid RC volunteers to distribute goodie bags to some 500 residents. In the hustle and bustle of CNY preparations, we did not forget our vulnerable and needy families.⁣
⁣
I was most concerned about our elderly residents, and kept checking that they were keeping a safe distance and not having to queue for long. When I urged them to take care of their health during this time, many of them rattled off the safe management measures to me. They reminded me to eat and rest more, told me which colours I should wear more often! The less mobile seniors we visited in their homes were also quite cheerful. It is really good to see our seniors well and in good spirits. Hope they will continue to stay well, and we can all spend more time together when the situation allows.⁣
⁣
Thank you to Sian Chay Medical Institution for your donations that brought joy to our residents’ day. And thank you to our Orchid RC volunteers for caring for the residents.⁣
⁣
#EastCoastCares",2021-01-24 01:08:05+00:00,"Thank you for thinking of them. Can I suggest that we look into possibility of giving fruits to the needy residents? I find that they are generally lacking in nutrients. A girl in our school is from the needy family and used to fall sick so often. A year ago, I decided to give her and her dad weekly supply of fruits and I find that their health improve significantly. She told me that they could not afford fruits.",2021-01-24 07:55:43+00:00,79
3,23,"Today marks one year since Singapore confirmed our first case of COVID-19. The year since then has been a revelation about ourselves and who we are as a people.&nbsp;

We have stood in solidarity with one another, and remained steadfast in the face of adversity.&nbsp;

There have been difficult moments and many livelihoods are still at stake. But with everyone playing their part, we managed to contain the virus and have regained some normalcy. It is a hard-won progress — but when we look at the experiences of countries around the world, the battle is far from over. The virus can easily wipe out our efforts if we are not careful.

We must stay alert to the changing situation and adapt quickly. There has been an increase in community cases recently. During my walkabouts, a number of residents also shared with me their concerns about the increasing crowds at public spaces. With Chinese New Year coming, the many festive gatherings could easily turn into new clusters if there are undetected community cases.&nbsp;

What we have today is hard earned. Tightening our measures pre-emptively avoids requiring much more severe measures downstream. @lawrencewongst and @gankimyong shared the latest measures, which will begin next Tuesday. Visits will be limited to eight distinct visitors per household per day. If you are heading out, do not visit more than two other households per day.&nbsp;

I thank everyone for your understanding, and for continuing to remain vigilant. With vaccination underway, I encourage you to take the vaccine when it is available to you. In the meantime, have a safe weekend!&nbsp;&nbsp;

#SGUnited

(Met this group of residents during my recent walkabout at Blk 16 Bedok South market. They came up to me and said that we must continue to wear our masks and adhere to safe distancing measures, especially with CNY fast approaching. I was touched and grateful for their civic mindedness, and concern for fellow Singaporeans.)",2021-01-23 03:50:08+00:00,Very Good! Press On! Good to vaccinate everyone!,2021-01-23 04:12:37+00:00,8
4,27,"Today marks one year since Singapore confirmed our first case of COVID-19. The year since then has been a revelation about ourselves and who we are as a people.&nbsp;

We have stood in solidarity with one another, and remained steadfast in the face of adversity.&nbsp;

There have been difficult moments and many livelihoods are still at stake. But with everyone playing their part, we managed to contain the virus and have regained some normalcy. It is a hard-won progress — but when we look at the experiences of countries around the world, the battle is far from over. The virus can easily wipe out our efforts if we are not careful.

We must stay alert to the changing situation and adapt quickly. There has been an increase in community cases recently. During my walkabouts, a number of residents also shared with me their concerns about the increasing crowds at public spaces. With Chinese New Year coming, the many festive gatherings could easily turn into new clusters if there are undetected community cases.&nbsp;

What we have today is hard earned. Tightening our measures pre-emptively avoids requiring much more severe measures downstream. @lawrencewongst and @gankimyong shared the latest measures, which will begin next Tuesday. Visits will be limited to eight distinct visitors per household per day. If you are heading out, do not visit more than two other households per day.&nbsp;

I thank everyone for your understanding, and for continuing to remain vigilant. With vaccination underway, I encourage you to take the vaccine when it is available to you. In the meantime, have a safe weekend!&nbsp;&nbsp;

#SGUnited

(Met this group of residents during my recent walkabout at Blk 16 Bedok South market. They came up to me and said that we must continue to wear our masks and adhere to safe distancing measures, especially with CNY fast approaching. I was touched and grateful for their civic mindedness, and concern for fellow Singaporeans.)",2021-01-23 03:50:08+00:00,It's a hard won battle and hence we cannot let our efforts go to waste. We must remain ever vigilant. Cannot and will not let our guards down.,2021-01-23 04:17:49+00:00,27
5,29,"Today marks one year since Singapore confirmed our first case of COVID-19. The year since then has been a revelation about ourselves and who we are as a people.&nbsp;

We have stood in solidarity with one another, and remained steadfast in the face of adversity.&nbsp;

There have been difficult moments and many livelihoods are still at stake. But with everyone playing their part, we managed to contain the virus and have regained some normalcy. It is a hard-won progress — but when we look at the experiences of countries around the world, the battle is far from over. The virus can easily wipe out our efforts if we are not careful.

We must stay alert to the changing situation and adapt quickly. There has been an increase in community cases recently. During my walkabouts, a number of residents also shared with me their concerns about the increasing crowds at public spaces. With Chinese New Year coming, the many festive gatherings could easily turn into new clusters if there are undetected community cases.&nbsp;

What we have today is hard earned. Tightening our measures pre-emptively avoids requiring much more severe measures downstream. @lawrencewongst and @gankimyong shared the latest measures, which will begin next Tuesday. Visits will be limited to eight distinct visitors per household per day. If you are heading out, do not visit more than two other households per day.&nbsp;

I thank everyone for your understanding, and for continuing to remain vigilant. With vaccination underway, I encourage you to take the vaccine when it is available to you. In the meantime, have a safe weekend!&nbsp;&nbsp;

#SGUnited

(Met this group of residents during my recent walkabout at Blk 16 Bedok South market. They came up to me and said that we must continue to wear our masks and adhere to safe distancing measures, especially with CNY fast approaching. I was touched and grateful for their civic mindedness, and concern for fellow Singaporeans.)",2021-01-23 03:50:08+00:00,App to replace shouting YamSeng! 🤣http://djbeng.com/yamseng.htmlPress n hold for as long as you are ready to stop 🤣🤣🤣,2021-01-24 07:05:23+00:00,16
6,30,"Today marks one year since Singapore confirmed our first case of COVID-19. The year since then has been a revelation about ourselves and who we are as a people.&nbsp;

We have stood in solidarity with one another, and remained steadfast in the face of adversity.&nbsp;

There have been difficult moments and many livelihoods are still at stake. But with everyone playing their part, we managed to contain the virus and have regained some normalcy. It is a hard-won progress — but when we look at the experiences of countries around the world, the battle is far from over. The virus can easily wipe out our efforts if we are not careful.

We must stay alert to the changing situation and adapt quickly. There has been an increase in community cases recently. During my walkabouts, a number of residents also shared with me their concerns about the increasing crowds at public spaces. With Chinese New Year coming, the many festive gatherings could easily turn into new clusters if there are undetected community cases.&nbsp;

What we have today is hard earned. Tightening our measures pre-emptively avoids requiring much more severe measures downstream. @lawrencewongst and @gankimyong shared the latest measures, which will begin next Tuesday. Visits will be limited to eight distinct visitors per household per day. If you are heading out, do not visit more than two other households per day.&nbsp;

I thank everyone for your understanding, and for continuing to remain vigilant. With vaccination underway, I encourage you to take the vaccine when it is available to you. In the meantime, have a safe weekend!&nbsp;&nbsp;

#SGUnited

(Met this group of residents during my recent walkabout at Blk 16 Bedok South market. They came up to me and said that we must continue to wear our masks and adhere to safe distancing measures, especially with CNY fast approaching. I was touched and grateful for their civic mindedness, and concern for fellow Singaporeans.)",2021-01-23 03:50:08+00:00,💯❤️👏 Salute the future PM for humility & love for the People.,2021-01-23 04:19:24+00:00,10
7,43,"Headed to Bedok Blk 216 food centre after an event at HeartbeatBedok on Wednesday. It was almost lunchtime and the place was bustling with activity, with customers and stall holders adhering to the necessary safe distancing measures.⁣
⁣
In our walkabouts, you can always feel the warmth and vibrancy of our East Coast community. I have heard many uplifting and inspiring stories from residents and hawkers I encountered, and I have shared some of them in my photo captions.⁣
⁣
A resident also related to me how apt that a hawker centre is called 小贩中心, as all the hawkers are very passionate in their culinary craft, as they put their “heart” (心) into the dishes that they prepare. And customers enjoy their meals and chat with their friends and families with their hearts! 🍜⁣
⁣
As we do more walkabouts in the days ahead, I look forward to meeting you and hearing your stories. Together, we can make East Coast a caring, vibrant and green home for all!⁣
⁣
#EastCoastCares⁣
⁣
(MCI Photos by Chwee)",2020-07-31 04:48:31+00:00,"Hi Sir, hope u got to try the ☕️ or teh from Rui Xing, the couple who runs the stall in your first pic! It’s like... SINGAPORE’s best teh ever! Non-sponsored post for sure 😉 Looking forward to a caring & vibrant East Coast ♥️",2020-07-31 05:02:08+00:00,42
8,46,"Headed to Bedok Blk 216 food centre after an event at HeartbeatBedok on Wednesday. It was almost lunchtime and the place was bustling with activity, with customers and stall holders adhering to the necessary safe distancing measures.⁣
⁣
In our walkabouts, you can always feel the warmth and vibrancy of our East Coast community. I have heard many uplifting and inspiring stories from residents and hawkers I encountered, and I have shared some of them in my photo captions.⁣
⁣
A resident also related to me how apt that a hawker centre is called 小贩中心, as all the hawkers are very passionate in their culinary craft, as they put their “heart” (心) into the dishes that they prepare. And customers enjoy their meals and chat with their friends and families with their hearts! 🍜⁣
⁣
As we do more walkabouts in the days ahead, I look forward to meeting you and hearing your stories. Together, we can make East Coast a caring, vibrant and green home for all!⁣
⁣
#EastCoastCares⁣
⁣
(MCI Photos by Chwee)",2020-07-31 04:48:31+00:00,"Appreciate what you have done for the people in Singapore.  Do take care of yourself too. Thank u , Sir. 🤗😀",2020-07-31 05:05:44+00:00,19
9,47,"Headed to Bedok Blk 216 food centre after an event at HeartbeatBedok on Wednesday. It was almost lunchtime and the place was bustling with activity, with customers and stall holders adhering to the necessary safe distancing measures.⁣
⁣
In our walkabouts, you can always feel the warmth and vibrancy of our East Coast community. I have heard many uplifting and inspiring stories from residents and hawkers I encountered, and I have shared some of them in my photo captions.⁣
⁣
A resident also related to me how apt that a hawker centre is called 小贩中心, as all the hawkers are very passionate in their culinary craft, as they put their “heart” (心) into the dishes that they prepare. And customers enjoy their meals and chat with their friends and families with their hearts! 🍜⁣
⁣
As we do more walkabouts in the days ahead, I look forward to meeting you and hearing your stories. Together, we can make East Coast a caring, vibrant and green home for all!⁣
⁣
#EastCoastCares⁣
⁣
(MCI Photos by Chwee)",2020-07-31 04:48:31+00:00,Thank you Sir !!! Stay healthy and don’t overwork !!!,2020-07-31 05:25:13+00:00,9
