,name,comment,processed_text,demojize_text
0,minionpoopz,Seriousness of a crime is relative 🤔,"['serious', 'crime', 'rel']",Seriousness of a crime is relative :thinking_face:
1,queen.bi_,@gudetamel this was what we discussed just now!!,['discuss'],@gudetamel this was what we discussed just now!!
2,terence.sim.kj,👍,[],:thumbs_up:
3,kimkg03,i lost my token alr gg,"['lost', 'token', 'alr', 'gg']",i lost my token alr gg
4,sherswtc,"Dont bet on it, 7 is just a start, it wi be ALL!!","['dont', 'bet', 'start', 'wi']","Dont bet on it, 7 is just a start, it wi be ALL!!"
5,gibso.n_lee,@yirui23 now alference will know if we don’t leave the school compound within 5 min,"['alfer', 'know', 'leav', 'school', 'compound', 'within', 'min']",@yirui23 now alference will know if we don’t leave the school compound within 5 min
6,samuelykchan,police have alr been hunting down people committing serious crimes without tracetogether? Why do you need it? Is it a need? Or is it because lazy?,"['polic', 'alr', 'hunt', 'peopl', 'commit', 'seriou', 'crime', 'without', 'tracetogeth', 'need', 'need', 'lazi']",police have alr been hunting down people committing serious crimes without tracetogether? Why do you need it? Is it a need? Or is it because lazy?
7,xignyu,Y'all be freaking out without realising they can already track your IP address of your phones,"['freak', 'without', 'realis', 'alreadi', 'track', 'ip', 'address', 'phone']",Y'all be freaking out without realising they can already track your IP address of your phones
8,makeuponmydresser,Slippery slope,"['slipperi', 'slope']",Slippery slope
9,dhannyosmourne,Please include selling curry puffs with only half filling as a serious crime as well.,"['pleas', 'includ', 'sell', 'curri', 'puff', 'half', 'fill', 'seriou', 'crime', 'well']",Please include selling curry puffs with only half filling as a serious crime as well.
10,shioknesss,Say its only for covid and now its for crimes. Hello POFMA,"['say', 'covid', 'crime', 'hello', 'pofma']",Say its only for covid and now its for crimes. Hello POFMA
11,always2074,They should seek court approval for every case. We need strong safeguard to prevent abuse.,"['seek', 'court', 'approv', 'everi', 'case', 'need', 'strong', 'safeguard', 'prevent', 'abus']",They should seek court approval for every case. We need strong safeguard to prevent abuse.
12,mdnoorhadi,Lol,['lol'],Lol
13,radioaqtifgmailcom,"welcome to G.Orwell's ""1984""",['welcom'],"welcome to G.Orwell's ""1984"""
14,ryandimples,We deserve this!,['deserv'],We deserve this!
15,coral.reece,'tracetogether' really took a different turn,"['realli', 'took', 'differ', 'turn']",'tracetogether' really took a different turn
16,festo_sage,Gov Contradict itself. They are the one that created PPDA. Yet they go against the PPDA.,"['gov', 'contradict', 'one', 'creat', 'ppda', 'yet', 'go', 'ppda']",Gov Contradict itself. They are the one that created PPDA. Yet they go against the PPDA.
17,khaosfrozen,😂 one time say won't use data now there's law that say they can use the data from Tracenow,"['one', 'time', 'say', 'wo', 'use', 'data', 'law', 'say', 'use', 'data', 'tracenow']",:face_with_tears_of_joy: one time say won't use data now there's law that say they can use the data from Tracenow
18,joshuatwl,"Probably they'll use it to track those who mass gather illegally in the future, right?!","['probabl', 'use', 'track', 'mass', 'gather', 'illeg', 'futur', 'right']","Probably they'll use it to track those who mass gather illegally in the future, right?!"
19,joshuatwl,"Probably they'll use it to track those who mass gather illegally in the future, right?!","['probabl', 'use', 'track', 'mass', 'gather', 'illeg', 'futur', 'right']","Probably they'll use it to track those who mass gather illegally in the future, right?!"
20,kohhoweng1,Didn’t everyone said no personal particulars are stored in the device. So how is TraceTogether data is used for police investigation? This does not adds up.,"['everyon', 'said', 'person', 'particular', 'store', 'devic', 'tracetogeth', 'data', 'use', 'polic', 'investig', 'add']",Didn’t everyone said no personal particulars are stored in the device. So how is TraceTogether data is used for police investigation? This does not adds up.
21,kohhoweng1,Didn’t everyone said no personal particulars are stored in the device. So how is TraceTogether data is used for police investigation? This does not adds up.,"['everyon', 'said', 'person', 'particular', 'store', 'devic', 'tracetogeth', 'data', 'use', 'polic', 'investig', 'add']",Didn’t everyone said no personal particulars are stored in the device. So how is TraceTogether data is used for police investigation? This does not adds up.
