,Post Description,Post Datetime,Comments,Comment Datetime,num_words
164,"Deputy Prime Minister and Finance Minister Heng Swee Keat announced that the government has obtained in-principle approval from President Halimah Yacob to draw a historic S$17 billion from past reserves.

The funds will be used as part of a second stimulus package of over S$48 billion to help beleaguered businesses that have been affected by the Covid-19 outbreak.

Photo from Gov.sg",2020-03-26 08:28:34+00:00,I’m really proud to be a Singaporean.,2020-03-27 02:09:07+00:00,8
165,"Deputy Prime Minister and Finance Minister Heng Swee Keat announced that the government has obtained in-principle approval from President Halimah Yacob to draw a historic S$17 billion from past reserves.

The funds will be used as part of a second stimulus package of over S$48 billion to help beleaguered businesses that have been affected by the Covid-19 outbreak.

Photo from Gov.sg",2020-03-26 08:28:34+00:00,What if the president rejects it?,2020-03-27 03:37:45+00:00,6
169,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,@florwaifw YOU DONT HAVE RIGHT YOU NOT FRONTLINE,2020-02-28 13:26:08+00:00,7
170,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,How about frontline cleaners at the hospitals?,2020-02-28 14:30:11+00:00,7
171,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,"Why not pay cut till end of the covid-19? As I know about the recent news, no vaccines till end of year. So, why not pay cut till then?",2020-02-29 00:50:36+00:00,29
172,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,Their pay so high one month is nothing,2020-02-29 02:15:22+00:00,8
173,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,@therealtze let's show some solidarity here boys,2020-02-29 04:23:49+00:00,5
174,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,The collective one month paycut from all the officials amount to pretty large amount which can be useful to support the lower to middle income pp. It's an act that I believe Singaporean should appreciate. They could jolly well not do anything as they are not obligated to do so :),2020-02-29 04:29:45+00:00,49
176,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,Like thats gona make any difference,2020-02-29 06:53:51+00:00,6
177,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,But if yall are really humble about it dun kao bui kao bu go announce to the whole world yall cutting pay,2020-02-29 07:45:32+00:00,22
178,"As a show of solidarity with fellow Singaporeans, all of Singapore’s political office holders will take a one-month cut in salary.

Members of Parliament (MPs) are included in the measure, while President Halimah Yacob has also expressed to Heng that she will join him to take a one-month cut.

Some senior public officers will also be taking a half-month cut.

Image via gov.sg video.",2020-02-28 05:41:18+00:00,"Instead of 1 mth cut, why not cut 20 or 30% every mth. I think yr 1 mth pay is , we need work mths or years to be the same as yr 1 mth.",2020-03-02 13:34:17+00:00,29
