,Post Description,Post Datetime,Comments,Comment Datetime,num_words
70,"less than a week after singapore went into its second phase of reopening its economy, eight more places, most of them shopping centres such as vivocity and 313@somerset, were visited by people who had covid-19 and were infectious at the time.

#linkinbio for the full list of locations and timings.",2020-06-26 03:09:30+00:00,Covid infected people travelled more than Non-infected people... 🤔🤔🤔,2020-06-27 00:39:37+00:00,7
71,"less than a week after singapore went into its second phase of reopening its economy, eight more places, most of them shopping centres such as vivocity and 313@somerset, were visited by people who had covid-19 and were infectious at the time.

#linkinbio for the full list of locations and timings.",2020-06-26 03:09:30+00:00,Phase 2 is starting to look like a big mistake.,2020-06-27 01:24:18+00:00,9
72,"less than a week after singapore went into its second phase of reopening its economy, eight more places, most of them shopping centres such as vivocity and 313@somerset, were visited by people who had covid-19 and were infectious at the time.

#linkinbio for the full list of locations and timings.",2020-06-26 03:09:30+00:00,stay home🏡. Still many ppl never mask. Allow ppl gathering. G sleeping,2020-06-27 05:09:10+00:00,12
77,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,Let's all do our part. STAY at Home!!! 🙏🙏🙏🙏🙏,2020-04-06 10:14:54+00:00,7
78,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,Injections include government expenditure that add money into the flow of income.,2020-04-06 10:43:59+00:00,12
79,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,"I hope many see this money as something that helps tide them through hardships, not merely a handout to be spent immediately",2020-04-06 10:45:59+00:00,22
82,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,Stay at home all the people.  https://bit.ly/34dsihe,2020-04-06 11:29:41+00:00,6
83,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,Maybe also subsidise baby formula. Those things are expensive. Justsaying,2020-04-06 12:20:04+00:00,10
84,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,How to receive a one off cash payment of $600,2020-04-06 14:12:38+00:00,9
85,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,Is there a website to apply,2020-04-06 14:13:02+00:00,6
86,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,Those below 21 wishes there’s no virus,2020-04-06 15:19:16+00:00,7
87,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,So grateful n thankful... Thanks.. 👍👏💕,2020-04-06 16:03:55+00:00,5
88,"the move, announced by deputy prime minister heng swee keat on monday (april 6), brings forward s$300 from a cash payout announced earlier for adult singaporeans, with the government providing another s$300.&nbsp;#linkinbio to learn more about the #solidaritybudget",2020-04-06 06:53:57+00:00,I am so grateful and thankful.❤️,2020-04-07 14:51:22+00:00,6
90,looking for a quick overview of the landmark resilience budget announced by the government? we have got you covered. #linkinbio to learn more. ##covid_19 #singaporenews,2020-03-28 04:00:44+00:00,Thank goodness our government is supporting local businesses 🙏 I suspect a lot of them will close for good otherwise,2020-03-28 07:23:00+00:00,19
91,looking for a quick overview of the landmark resilience budget announced by the government? we have got you covered. #linkinbio to learn more. ##covid_19 #singaporenews,2020-03-28 04:00:44+00:00,"It is the toxic treatment that killed the infected patients not COVID 19! Doctors are treating the infected people with HIV medicine. The horrific side effects can be high levels of acid that is fatal, liver failure, pancreas failure and other adverse reactions! It is time to consider Jessica's nontoxic treatment method that is cheap, simple and very effective! Read Food Heals But The Wrong Food Kills written by Jessica Seah from Singapore. She reversed all her health problems without any medication or exercise! Our immune system is the best doctor and best defence against COVID 19!🇸🇬",2020-03-28 07:40:00+00:00,94
92,looking for a quick overview of the landmark resilience budget announced by the government? we have got you covered. #linkinbio to learn more. ##covid_19 #singaporenews,2020-03-28 04:00:44+00:00,"There is a cheaper way to resolve COVID 19. Is the world willing to consider a non-scientific approach? I posted concrete proofs. I helped a grandma and her 3 years old grandson reversed their H1N1 infection without any medication using Jessica Seah's nontoxic treatment method of using appropriate cheap food to activate the immune system to fight and subdue the infection. Read Food Heals But The Wrong Food Kills written by Jessica Seah from Singapore. She reversed all her health problems including infections without any medication or exercise. According to this brilliant author our immune system is the best doctor and best defence against infections, pathogens, diseases, free radicals and cancer cells! It cost me less than US$25 to reverse my life-threatening anaphylactic allergic reaction. The  symptoms were worse than COVID 19! Why is it so difficult to convince the world that only appropriate food can heal the already poisoned body? 🇸🇬",2020-03-28 07:41:01+00:00,144
94,"with the #covid_19 pandemic poised to put the largest dent in singapore’s economy since independence, deputy prime minister and finance minister heng swee keat on thursday (march 26) unveiled a landmark s$48 billion package to assist workers, businesses and households during this unprecedented crisis. #linkinbio to learn more about the resilience budget. #sgunited #singaporenews",2020-03-26 15:50:09+00:00,Very proud of our government,2020-03-27 00:08:18+00:00,5
95,"with the #covid_19 pandemic poised to put the largest dent in singapore’s economy since independence, deputy prime minister and finance minister heng swee keat on thursday (march 26) unveiled a landmark s$48 billion package to assist workers, businesses and households during this unprecedented crisis. #linkinbio to learn more about the resilience budget. #sgunited #singaporenews",2020-03-26 15:50:09+00:00,Well done SG Gov. We are confident with your good leadership and have full trust in your management👏👏👏,2020-03-27 00:22:30+00:00,18
96,"given singapore’s weaker economic conditions and further impact from the covid-19 virus outbreak, the planned hike in the gst from 7 to 9 per cent will not take effect in 2021, but will still be raised by 2025 said deputy prime minister heng swee keat in his budget speech on tuesday (feb 18).
find out more #linkinbio #sgbudget2020",2020-02-18 13:53:19+00:00,They might as well throw in a covid 19 insurance to cover them for the hospital medical insurance policy,2020-02-18 14:14:01+00:00,18
97,"given singapore’s weaker economic conditions and further impact from the covid-19 virus outbreak, the planned hike in the gst from 7 to 9 per cent will not take effect in 2021, but will still be raised by 2025 said deputy prime minister heng swee keat in his budget speech on tuesday (feb 18).
find out more #linkinbio #sgbudget2020",2020-02-18 13:53:19+00:00,"Give one chicken wing , take back a whole chicken.",2020-02-19 03:07:22+00:00,9
99,"the packages unveiled by deputy prime minister @hengsweekeat dwarf the s$230 million package introduced during the sars (severe acute respiratory syndrome) crisis in 2003, and significantly exceed analysts’ expectations. get the full update #linkinbio #sgbudget2020",2020-02-18 11:54:39+00:00,Tharman still did a better job.,2020-02-18 23:34:08+00:00,6
102,"the packages unveiled by deputy prime minister @hengsweekeat dwarf the s$230 million package introduced during the sars (severe acute respiratory syndrome) crisis in 2003, and significantly exceed analysts’ expectations. get the full update #linkinbio #sgbudget2020",2020-02-18 11:54:39+00:00,But where we can get it ?????,2020-02-20 13:53:30+00:00,6
