id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1363395200693858305,1363395200693858305,2021-02-21 15:48:41 +08,2021-02-21,15:48:41,+0800,44290654,yperic,Eric Cheng,,What will happen to some firms when wage subsidies under Jobs Support Scheme end  https://t.co/N3kPzjvblB,en,[],['https://www.straitstimes.com/business/staying-afloat-amid-pandemic-what-will-happen-to-some-firms-when-jobs-support-scheme-ends?utm_campaign=stfb&utm_medium=social&utm_source=facebook'],[],0,0,0,[],[],https://twitter.com/yperic/status/1363395200693858305,False,,0,,Singapore,,,,,,[],,,,
1363115040560226304,1363114418809303042,2021-02-20 21:15:25 +08,2021-02-20,21:15:25,+0800,19785811,dwallbank,Derek Wallbank,,The easiest thing Democrats could do to play hardball is simply stick whatever Texas rescue funds are needed -- including grants to winterize critical grid infrastructure &amp; utility subsidies -- inside that stimulus &amp; make GOP back a bill that also incl. $15 minimum wage &amp; such.,en,[],[],[],1,0,2,[],[],https://twitter.com/dwallbank/status/1363115040560226304,False,,0,,Singapore,,,,,,[],,,,
1362245465882853377,1362245465882853377,2021-02-18 11:40:03 +08,2021-02-18,11:40:03,+0800,1015456945447170048,hiremaidea,hiremaid.com.sg,,Budget 2021’s $870m Support Package For the Aviation Industry Will Increase Wage Subsidies by 50%  https://t.co/qqX4sKDkB0,en,[],['http://dlvr.it/RsxSwH'],[],0,0,0,[],[],https://twitter.com/HIREMAIDEA/status/1362245465882853377,False,,0,,Singapore,,,,,,[],,,,
1362212508552028161,1362212508552028161,2021-02-18 09:29:05 +08,2021-02-18,09:29:05,+0800,242619561,hrm_asia,HRM Asia,,"The number of Australian workers who receive wage subsidies are falling, ahead of the Australian government’s wage subsidy programme coming to an end on March 28.   https://t.co/WnS2wQdsfl",en,[],['https://hrmasia.com/australia-sees-workers-on-wage-subsidies-fall/'],[],0,0,0,[],[],https://twitter.com/HRM_Asia/status/1362212508552028161,False,,0,,Singapore,,,,,,[],,,,
1257997147640741888,1257997147640741888,2020-05-06 19:34:27 +08,2020-05-06,19:34:27,+0800,90597912,poortan,poor tan,,Heng Swee Keat on wage subsidies under Jobs Support Scheme for shareholder-directors  https://t.co/kFmux82sdN why are u helping shareholders/directors who are already rich..many self-employed have applied via NTUC for funds. No logic. Vote wisely,en,[],['https://www.channelnewsasia.com/news/parliament/videos/may/heng-swee-keat-on-wage-subsidies-under-jobs-support-scheme-for-12699846#.XrKfqoUpgP0.twitter'],[],0,0,0,[],[],https://twitter.com/poortan/status/1257997147640741888,False,,0,,Singapore,,,,,,[],,,,
