post_id,,username,date_time,comments_raw
101581500,12012900,Mao MakMak,Mar 9 at 11:41 PM,"Where China is able to build a whole bloody building in just 3 days, Singapore gov still tell citizens that they need to wait for 3 - 4 years for BTOs, despite that, the huge influx of foreign workers didn't bring down the sale price but stressing our already overloaded infrastructure n amenities. How back dated n uninnovative Singapore has become n Singaporean are yet love to casually mock at others? I doubt some Singaporean really know what shameless mean? Lol"
101581500,12012900,Keng Hui Ong,Mar 9 at 6:20 PM,Itâ€™s heartening to have the migrant workers vaccinated.
101581500,12012900,Jimmy Kris,Mar 8 at 9:05 PM,After vaccination they will immediately go back
101581500,12012900,Jimmy Kris,Mar 8 at 9:08 PM,1 in 2 workers already infected
101581500,12012900,Edmund Zhong,Mar 8 at 3:18 PM,Without foreigners there is no Singapore. Letâ€™s face reality. 
101580748,58222900,Rick Chew,Feb-03,"implement messy measures,some need 14 days,some 21 days,some no need,some less..some at residential,some at governement facilities..making things so complicated....terrible...just standardize all to 21 days regardless..."
101580748,58222900,Bozo,Feb-03,All to suit their agenda
101580748,58222900,Silvester Chua,Feb-03,Thanks for keeping us safe!
101580748,58222900,Fisser Man,Feb-03,"Now MOM realised that those ""tests"" prior to departure to Singapore have lots of fake.   Why not penalise the agencies that submit fraudulent pre-departure Covid-19 test results?"
101580748,58222900,Liow Kian Tat,Feb-03,Why not all foreigners who want to be in Singapore tested using same methods? Employers will bear these cost? ðŸ˜¡ðŸ¤¬ðŸ˜¡ðŸ¤¬ðŸ˜¡ðŸ¤¬
101580748,58222900,Krystal NY Dadidadu,Feb-03,"â€œThose who test positive can therefore be released from their stay-home notice period, said MOM.â€  ??? Apa"
101580748,58222900,Yen Hai,Feb-03,Meaning they won't get infected again.
101580748,58222900,Tung Kum,Feb-03,Why discriminate maids and nannies? The Covid virus smart enough to target maids and nannies but are more lenient against people with other job scope?  Where did they get these experts and scholars from???
101580748,58222900,Lynn Nay Yaung Thit,Feb-03,"Min Aung Hlaing and all military servants, You must go to ICJ by criminal law."
101580748,58222900,Tai Kor Seng,Feb-05,Double standard again
101580748,58222900,Tham Wen Yi Beverly,Feb-03,still importing !?
101580748,58222900,Keah Keng Lim,Feb-03,Whatever....
101580748,58222900,Loveangel Sun,Feb-03,"Why only maids? Very discriminating as this should include those who want to come to this country. Sad that in this country those with money is treated differently from those who have not. All the hypocrisy about equality and justice. With those who support such a system, we know what kind of people these are. "
101580748,58222900,Barty Jarm,Feb-04,Singapore is so backward
101580748,58222900,Davinia Wong,Feb-03,Anal swap? 
101580748,54297900,Franky Lim,Feb-03,Every visitor to Singapore must stay at designated quarantine facilities. No more staying at place of residence.
101580748,54297900,Richie Man,Feb-03,"Great decision. Should consider 21 days for all arrival too. Recalled the last FW incident, after 14 days released, went back dorm to work the following 7 days than realised is infected. ðŸ˜­"
101580748,54297900,Top FanPatrick Lim,Feb-03,good policy since all of the infected recently are imported
101580748,54297900,Sniperpon Wong,Feb-03,We known that many projects are delay due to lack of foreign workers but we still need to take extra safety. This new measured is greatly appreciate from the authority but not too sure why we still allow Dependant's Pass holder.  Stay safe....
101580748,54297900,Alvin Tan,Feb-03,"there being several new virus strains evolving faster than vaccines can be developed... can we still afford to depend on foreign labor?  perhaps narcissistic gym rats can stop posting their gym sessions on social media, scrap their gym memberships, and join the manpower starved industries... get paid to burn calories is actually not a bad idea."
101580748,54297900,ì–‘ì§€ë¹ˆ,Feb-03,Should be all imports inclusive.   What make the rest more special than foreign workers?
101580748,54297900,Yazid Sallim,Feb-03,Provide them with Singapore/ culture orientation/ safety/ legal recourse lessons online while they're being quarantined
