Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
2089,https://www.instagram.com/p/CFAKQEXnMjc/,"Boon Keng residents don’t need to bat an eyelid anymore. #linkinbio

Photo from Josephine Teo / FB and Andrew Morffew / Flickr",109,2020-09-11T16:12:01.000Z,mothershipsg,2.4e+18
2185,https://www.instagram.com/p/CEtr4dchwVY/,"""Shag.""
""Intense.""
""Fascinating.""
""Life-changing.""

... were some of the answers when we asked new parliamentarians @carrietancares, @leong.munwai, @destankm and @fahmialimansg to describe their GE2020 experience in 3 words. They also shared what their most memorable moment during the election was.",6,2020-09-04T12:00:43.000Z,mothershipsg,2.39e+18
2190,https://www.instagram.com/p/CEtBAUzhmJR/,"""There's no doubt that at this very moment, such a policy may not be ideal, but let us come together and agree that this is a principle that we want to roll out.""

Jamus Lim gave clarifications on WP's minimum wage idea in Parliament, after he delivered his maiden speech and was met with questions from PAP MPs.",166,2020-09-04T05:45:54.000Z,mothershipsg,2.39e+18
2219,https://www.instagram.com/p/CEo7TK1nTpZ/,"The newly-elected Jamus Lim rose to seek a clarification from Manpower Minister Josephine Teo after the end of her speech. #linkinbio 

Image via CNA.",67,2020-09-02T15:38:50.000Z,mothershipsg,2.39e+18
2239,https://www.instagram.com/p/CEmMzKHn1i6/,Sengkang GRC MP Jamus Lim sought clarification from Manpower Minister Josephine Teo on the effectiveness of the recent Employment and S Pass measures.,208,2020-09-01T14:15:13.000Z,mothershipsg,2.39e+18
2240,https://www.instagram.com/p/CEmEZwyHdU3/,"There will be no physical National Day Rally this year due to Covid-19, and PM Lee will make his ""major speech"" in Parliament instead. 

From Lee Kuan Yew ranking his leaders, to Goh Chok Tong telling Phua Chu Kang to speak proper English, and Lee Hsien Loong's fishball stick story, here are some of the most iconic moments from previous rallies' speeches by our PMs.",30,2020-09-01T13:01:47.000Z,mothershipsg,2.39e+18
2241,https://www.instagram.com/p/CEmBFKznqGw/,Minister for Manpower Josephine Teo turned emotional while wrapping up a speech on job anxieties among Singaporeans in Parliament on Sept. 1. She said the government understood the concerns about fair treatment and opportunities of PMETs in their 40s and 50s.,164,2020-09-01T12:36:14.000Z,mothershipsg,2.39e+18
2242,https://www.instagram.com/p/CElu5PYHegN/,"This brings the total number of cases in Singapore to 56,852.

There is only one case in the community, who is a Work Pass holder. #linkinbio

Photo from Josephine Teo / FB",229,2020-09-01T09:52:43.000Z,mothershipsg,2.39e+18
2317,https://www.instagram.com/p/CEW2s3ynZnH/,"Here are all the things you need to know from today's addenda to the President's Address for the new term of government from MTI, MOM, MCI, and MAS and NRF.

Jobs, the economy, 5G, and money.

TL;DR: The ministries' plans for the coming years.",23,2020-08-26T15:14:00.000Z,mothershipsg,2.38e+18
2343,https://www.instagram.com/p/CETRB1jF5vA/,"The dormitory conundrum: What does it take to improve the living conditions of migrant workers? And how are Singaporeans contributing to the already complicated situation?

We find out more from Johnathan Cheah, the founder of S11 group. Identified as a cluster on Mar. 30, S11 @ Punggol was the largest Covid-19 cluster in Singapore. The cluster was closed on Aug. 8.",11,2020-08-25T05:46:56.000Z,mothershipsg,2.38e+18
2345,https://www.instagram.com/p/CERgk6mHbUu/,"It's the dawn of a new term.

But before it begins, here’s a recap of the most memorable moments from 13th Parliament of Singapore.",69,2020-08-24T13:26:19.000Z,mothershipsg,2.38e+18
2348,https://www.instagram.com/p/CEQqKOlHNtb/,"""April 7,"" says Li Jiang (not his real name), a 43-year-old lorry driver. That's the day his dormitory was shut from the outside world.

""We could still walk along the corridors and go downstairs, but we couldn't leave through that main gate that you just entered,"" he says.

Twice a day, the dormitory residents had to scan a QR code in their rooms to prove that they were physically there. Failure to do so would result in the cancellation of their work permits and deportation back to their home countries.

Still, Li counts himself luckier than some. Even though he was not able to work during the lockdown, his employer paid him S$750 from April to June, thanks to the Foreign Worker Levy waiver and rebates that he received from the government. #linkinbio

Photo by Joshua Lee",263,2020-08-24T05:27:18.000Z,mothershipsg,2.38e+18
2405,https://www.instagram.com/p/CEGDz1XnC5M/,"MOM said that they have adopted a multi-layered strategy to prevent a second wave of infections in the cleared dormitories.

This includes implementing safe distancing measures in the dormitories, and grouping migrant workers in the dormitories according to the industry they work in. #linkinbio

Photo from MOM / FB",120,2020-08-20T02:39:47.000Z,mothershipsg,2.38e+18
2554,https://www.instagram.com/p/CDqk5jylRh9/,"This year's National Day Anthem Moment was held at 8 different spots across the country, with anchor ministers at each location. Mothership briefly spoke with Ministers Ong Ye Kung and Gan Kim Yong about what their favourite NDP song is, and why.",39,2020-08-09T10:30:52.000Z,mothershipsg,2.37e+18
2564,https://www.instagram.com/p/CDp1H7VHLZ3/,"Filmmaker Royston Tan (@filmr) is the Creative Director for this year's NDP. We showed him some of the memorable moments from past years' parades.

One of them made him cringe.",64,2020-08-09T03:34:43.000Z,mothershipsg,2.37e+18
2587,https://www.instagram.com/p/CDjBj9mnwpm/,"At a press conference on Aug. 6, Minister Lawrence Wong announced that testing at dormitories would be completed by Aug. 7, with the exception of several standalone blocks which serve as quarantine facilities.

He highlighted that workers who are currently in isolation would need to be tested before leaving quarantine facilities, and that it's possible ""volatile case numbers"" may come from this group over the next two weeks.",32,2020-08-06T12:08:19.000Z,mothershipsg,2.37e+18
2588,https://www.instagram.com/p/CDi_hWEnJEg/,"At a press conference on Aug. 6, Director of Medical Services, Associate Professor Kenneth Mak, addressed concerns on the mental health of migrant workers on lockdown in dormitories.

He shared that the taskforce is working with various domains to support migrant workers during the outbreak and are continuously looking at ways to reach out to them and to address their needs.",17,2020-08-06T11:49:58.000Z,mothershipsg,2.37e+18
2591,https://www.instagram.com/p/CDiv22EHVVR/,"This brings the total number of cases to 54,555.

There are four cases in the community.

Three are Singaporean/PR, and one is a Work Pass holder.

#linkinbio

Photo from MOM / FB",39,2020-08-06T09:32:01.000Z,mothershipsg,2.37e+18
2601,https://www.instagram.com/p/CDgCWwwHceG/,"MOH said that it expects the daily case counts to be high for the coming days before tapering down as the Inter-agency Taskforce completes the dormitory clearance.

There are four cases in the community. Three are Singaporean/PR, and one is a Work Pass holder.

#linkinbio

Photo from Clean and Green Singapore/Facebook",186,2020-08-05T08:15:56.000Z,mothershipsg,2.37e+18
2630,https://www.instagram.com/p/CDawro8Hhcp/,"Due to the overwhelming response, the team has announced on its Facebook page that their storage facilities are full at the moment, and that they will let everyone know when they can start donating again. #linkinbio

Photos from Giving & Taking free stuff / FB",54,2020-08-03T07:05:18.000Z,mothershipsg,2.37e+18
2655,https://www.instagram.com/p/CDWkPbrHnVA/,"The 27-year-old man is now in a safe and stable condition, according to MOM.

According to the MOM website, the dormitory has not been listed as a dormitory cleared of Covid-19.

#linkinbio

Photo from Singapore Eye / FB",197,2020-08-01T15:59:37.000Z,mothershipsg,2.37e+18
2763,https://www.instagram.com/p/CDD3OwlHOV6/,"Two of the cases are outside of dormitories, both of which are Work Pass holders.

There are also six new imported cases who had been placed on Stay-Home Notice upon arriving in Singapore.

#linkinbio

Photo from Lawrence Wong / FB",71,2020-07-25T09:39:59.000Z,mothershipsg,2.36e+18
2877,https://www.instagram.com/p/CCvg-KKDiKe/,"""There were these scenes of people coming together to celebrate. Ideally, they would have practised safe distancing. The people who were there - they know who they are, but I think the moment got the better of them and they perhaps forgot about some of these requirements.

But from the pictures I've seen, all of them were wearing masks. They may not have kept to the rule of 5, and if we can find out who they are, and we have a means to, we might be able to identify and take them to task.

Unfortunately, this appears to have happened in that particular incident, and I would imagine it will not be the end of it. There will be many other incidents where lapses do occur.""

Minister Lawrence Wong was responding to a question on whether Singapore should expect a pickup in the number of Covid-19 infections due to the queues and crowds gathering during GE2020.",81,2020-07-17T12:01:15.000Z,mothershipsg,2.36e+18
