Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
414,https://www.instagram.com/p/CKQ7g2PHY5B/,"Kiss kiss fall in love, just not during Covid-19 please 🙅 #linkinbio

Photo from Apple Daily/FB",219,2021-01-20T11:07:18.000Z,mothershipsg,2.49e+18
418,https://www.instagram.com/p/CKQY5vOnKRX/,"52-year-old balloon artist Or Cheng Khim was ran over by a lorry while crossing the road in Jurong West on Jan. 12.

She remained in a coma after she was sent to Ng Teng Fong General Hospital and was pronounced brain-dead on the afternoon of Jan. 14.

The family reluctantly pulled the plug the following day, and decided to donate her cornea, liver, and kidneys, calling it a way to allow Or's spirit of helping others live on after her passing. 

RIP. #linkinbio 

Image via Singapore Uncensored/FB.",897,2021-01-20T06:04:51.000Z,mothershipsg,2.49e+18
422,https://www.instagram.com/p/CKOZuX7nMid/,"There are also 26 imported cases, all of whom had been placed on Stay-Home Notice (SHN) or isolated upon arrival in Singapore. #linkinbio

Photo by Zheng Zhangxin",37,2021-01-19T11:33:34.000Z,mothershipsg,2.49e+18
438,https://www.instagram.com/p/CKLmn-iHazp/,"There are also 12 imported cases, all of whom had been placed on Stay-Home Notice (SHN) or isolated upon arrival in Singapore. #linkinbio

Photo from KTPH / FB",31,2021-01-18T09:28:34.000Z,mothershipsg,2.49e+18
451,https://www.instagram.com/p/CKItKVKHwKZ/,"Here's the full statement from MOE:

""MOE is aware of the Reddit post which claimed that MOE had interfered with a student’s hormonal treatment. This is not true.

We invite the student to approach the school to clarify and discuss how the school can support his schooling better.

MOE and schools work closely with and respect the professional advice given by MOH’s  healthcare professionals. We are not in a position to interfere with any medical treatment, which is a matter for the family to decide on.

All schools have a duty of care to students and will work closely with parents and medical professionals. We encourage students who experience unkind behaviour from peers to approach the teachers or school leaders as they are committed to keep students safe."" #linkinbio

Photo from MOE/FB for illustration purposes only.",1899,2021-01-17T06:27:58.000Z,mothershipsg,2.49e+18
537,https://www.instagram.com/p/CJ1FKdiHcw0/,"On Nov. 30, 2018, Selvaganeshamoorthi Balakrishnan, at the age of 20, decided to embark on a nine-months long trip from Singapore to Montreal, Canada, without flying.

He shared with Mothership how he limited himself to spending only S$25 per day over 9 months, and spent only S$10,000 in total. #linkinbio 

Photo courtesy of Selvaganeshamoorthi Balakrishnan.",278,2021-01-09T15:32:53.000Z,mothershipsg,2.48e+18
550,https://www.instagram.com/p/CJxp0T-AJ7x/,PM Lee and Dr Kenneth Mak received the Covid-19 vaccination at Singapore General Hospital today (Jan. 8).,62,2021-01-08T07:36:31.000Z,mothershipsg,2.48e+18
585,https://www.instagram.com/p/CJqqVn2ghVj/,"""Once Covid-19 pandemic is over, and there is no longer a need for contact tracing, we will most happily and cheerfully stand the [TraceTogether] programme down.""

At a Parliament session on Jan. 5 2021, Minister Vivian Balakrishnan addressed questions on privacy concerns regarding the use of TraceTogether in criminal investigations. He added that he had not thought of the application of the Criminal Procedure Code (CPC) to TraceTogether data in an earlier statement about the matter.",130,2021-01-05T14:27:19.000Z,mothershipsg,2.48e+18
665,https://www.instagram.com/p/CJat8vZH69-/,"One of the imported cases is an SIA pilot who had tested negative for Covid-19 upon return to Singapore, but developed symptoms subsequently. #linkinbio 

Image via Changi General Hospital/FB.",56,2020-12-30T09:49:47.000Z,mothershipsg,2.48e+18
666,https://www.instagram.com/p/CJapwCfn47p/,"None of them were wearing masks. #linkinbio 

Image via Bu Hui Yan/FB.",498,2020-12-30T09:13:06.000Z,mothershipsg,2.48e+18
683,https://www.instagram.com/p/CJVW1unHjXm/,"💉💉 We spoke to Dr Leong Hoe Nam, an Infectious Disease Specialist at Mount Elizabeth Novena Hospital, to help us understand how a vaccine works, if the Covid-19 vaccine is safe, and why you should get vaccinated.

Click the #linkinbio to listen to the full episode!",20,2020-12-28T07:53:12.000Z,mothershipsg,2.47e+18
734,https://www.instagram.com/p/CJIjS02n5MN/,"This came after a member of the public reported the event, which took place at ONE°15 Marina on Dec. 20, to the Singapore Tourism Board (STB).

In an email seen by Mothership, the whistleblower told STB that the wedding emcee, performers, and guests allegedly did not wear masks to participate in on-stage activities, nor did they adhere to safe distancing measures. #linkinbio

Photos from Lizy Teo / IG & Mothership reader",464,2020-12-23T08:30:21.000Z,mothershipsg,2.47e+18
739,https://www.instagram.com/p/CJGoPJ3HxVP/,"Responding to the growing Covid-19 cluster in Sydney and reports of a potentially more contagious strain of the virus circulating in the UK, the Multi-Ministry Taskforce has implemented new border restrictions for travellers.

These new restrictions will take effect from 11:59pm on Dec. 23 (i.e. Dec. 24), and will be in place until further notice.",14,2020-12-22T14:35:56.000Z,mothershipsg,2.47e+18
750,https://www.instagram.com/p/CJDfNWsnNm5/,"This brings the total number of cases to 58,432.

Among the cases, there is one new case of locally-transmitted Covid-19 infection. #linkinbio

Photo by Julia Yeo",46,2020-12-21T09:18:27.000Z,mothershipsg,2.47e+18
760,https://www.instagram.com/p/CJBEnD2H-WP/,"No new cases of locally-transmitted Covid-19 infection today. #linkinbio 

Photo from NUH/FB.",27,2020-12-20T10:47:33.000Z,mothershipsg,2.47e+18
773,https://www.instagram.com/p/CI-UDJqniJu/,"There are no new cases of locally-transmitted Covid-19 infection today. #linkinbio 

Photo from Unsplash.",25,2020-12-19T09:04:44.000Z,mothershipsg,2.47e+18
819,https://www.instagram.com/p/CIzRfmfgkbH/,"On Dec. 14, the Multi-Ministry Taskforce announced that Covid-19 vaccination will be voluntary. However, the government will be strongly encouraging everyone to get vaccinated when the vaccine is offered to you.",231,2020-12-15T02:11:32.000Z,mothershipsg,2.46e+18
823,https://www.instagram.com/p/CIxiAZwHCAn/,"During his nationwide address on Dec. 14, PM Lee announced that Singapore will be one of the first countries to obtain the vaccines, and that there would be enough vaccines for everyone in Singapore by 3Q2021.

Priority will be given to healthcare workers and frontline personnel, as well as the elderly and vulnerable.",124,2020-12-14T09:57:31.000Z,mothershipsg,2.46e+18
824,https://www.instagram.com/p/CIxglC-HWjm/,Here's what you can expect for phase 3.,135,2020-12-14T09:44:05.000Z,mothershipsg,2.46e+18
825,https://www.instagram.com/p/CIxc6UAHzEi/,"Further details on Phase 3 will be explained by the Ministerial Task Force in a follow up press conference. #linkinbio 

Image via Lee Hsien Loong/FB.",330,2020-12-14T09:12:02.000Z,mothershipsg,2.46e+18
855,https://www.instagram.com/p/CIpsL77H_FZ/,"There is one new case of locally-transmitted Covid-19 infection, residing in a dormitory. #linkinbio

Photo from Sungei Tengah Lodge website",23,2020-12-11T08:51:36.000Z,mothershipsg,2.46e+18
864,https://www.instagram.com/p/CInK8_hHLRS/,"A final confirmatory test conducted by the National Public Health Laboratory (NPHL) on Dec. 10 has confirmed that the 83 year-old male Singaporean on board Royal Caribbean International’s Quantum of the Seas is not infected with Covid-19. #linkinbio

Photo from SGH",30,2020-12-10T09:22:43.000Z,mothershipsg,2.46e+18
873,https://www.instagram.com/p/CIkpLUGnyHM/,"An 83-year-old male Singaporean on board Royal Caribbean International’s Quantum of the Seas tested positive for Covid-19 infection this morning, and was immediately isolated. #linkinbio

Photo by Fasiha Nazren",39,2020-12-09T09:49:05.000Z,mothershipsg,2.46e+18
925,https://www.instagram.com/p/CIa4QItHpCe/,"Mdm Leong Yeut Meng is 91 years old and has been making the wonton by hand since she started the business 60 years ago. 

The Covid-19 pandemic and subsequent work-from-home arrangements sent her wonton mee demand into steep decline. Sadly, she had to shut down her business in July. #linkinbio

Photo from Nam Seng Wonton Noodles / FB",149,2020-12-05T14:48:25.000Z,mothershipsg,2.46e+18
929,https://www.instagram.com/p/CIaMOppnJrn/,"The man's test came back negative on Nov. 29, but he developed symptoms on Dec. 2, and was confirmed to have Covid-19 infection on Dec. 4. #linkinbio 

Image via Zhangxin Zheng.",153,2020-12-05T08:23:44.000Z,mothershipsg,2.46e+18
1013,https://www.instagram.com/p/CIJGwWzHIxS/,"He was confirmed to have Covid-19 infection on Nov. 18, and had a past history of hypertension and heart disease. #linkinbio

Photo from www.worldchildcancer.com",101,2020-11-28T17:08:49.000Z,mothershipsg,2.45e+18
1015,https://www.instagram.com/p/CIITEQsnwue/,"This brings the total number of cases to 58,205.

There is one new case of locally-transmitted Covid-19 infection.  #linkinbio

Photo from Clean & Green Singapore/FB",113,2020-11-28T09:37:09.000Z,mothershipsg,2.45e+18
1020,https://www.instagram.com/p/CIGO_ySnzzz/,"This brings the total number of cases to 58,199.

There are no new cases of locally-transmitted Covid-19 infection. #linkinbio

Photo from Unsplash",35,2020-11-27T14:23:07.000Z,mothershipsg,2.45e+18
1023,https://www.instagram.com/p/CIFN7bSHjVm/,"Investigations revealed that the man had dinner with 12 family members at Seoul Garden at Tampines Mall on Nov. 21. They had occupied three tables and there was mingling between groups.

Among those present at the dinner was his two-year-old niece, who had earlier been issued a five-day medical certificate from Nov. 20 to 24 for a runny nose.

She has since tested negative for Covid-19 infection. #linkinbio

Photo from CapitaLand and HungryGoWhere",238,2020-11-27T04:54:32.000Z,mothershipsg,2.45e+18
