Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
2117,https://www.instagram.com/p/CE6kAyaHZ_v/,"The government is also trialing the deployment of SafeEntry at certain places which require the TraceTogether app or token to check in. #linkinbio

Photos via GovTech.",128,2020-09-09T12:01:41.000Z,mothershipsg,2.39e+18
2635,https://www.instagram.com/p/CDaRfh-HJcc/,"Monkey didn’t scan SafeEntry before going in. #linkinbio

Video from Kuanyewism / FB",503,2020-08-03T02:33:06.000Z,mothershipsg,2.37e+18
3017,https://www.instagram.com/p/CCLXN4xHtIY/,"Remember to use safe entry, preferably more than once. #linkinbio

Photo from Pan Pacific Hotel",94,2020-07-03T11:02:47.000Z,mothershipsg,2.35e+18
