,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
0,0,0,supernatural_gp,When will be Singapore open for Tourists ??,"['singapor', 'open', 'tourist']",When will be Singapore open for Tourists ??
1,1,1,heizenberg_el_chino,Time Line For Opening SG Is SET By COVID & Not any Gov..,"['time', 'line', 'open', 'sg', 'set', 'covid', 'gov']",Time Line For Opening SG Is SET By COVID & Not any Gov..
2,2,2,peggyhorse88,👍,[],:thumbs_up:
3,3,3,sabasiva8,"FORTITUDE, ATTITUDE, & FEELING THE PULSE , SOCIO-ECONOMIC HEALTH & WELL BEING OF THE PEOPLE AT LARGE WITH GENUINE CARE , AFFECTION & FOCUSSED DEDICATION 24/7/365. A QUINTESSENTIAL SOUL SEARCHING DIGITALLY EMOTIONAL CONNECT BETWEEN NATIONAL LEADERSHIP & ITS PEOPLE AT LARGE BEING THE THRIVING LUMINOUSLY PINNACLE HALLMARK OF ,#sgunited🇸🇬 #sgunited🇸🇬 🌹🌅AS UNIVERSALLY ALL LIVES & EVERY LIFE ALWAYS MATTER TILL ETERNITY🌹🌺🌅💘 For this Watershed performance itself my benevolent humble VOTE 4 U TO GET NOT ONLY NOBLE PRIZE FOR MEDICINE, BUT ALSO THE NOBLE PRIZE FOR PHYSICS, CHEMISTRY, BIOLOGY, LITERATURE & ECONOMICS 4 THE YEAR 2020-21-22 WITH LUMINOUSLY RADIANT & ALLURINGILY SIZZLING & SUBLIME MIDAS TOUCH TO BOOT TILL ETERNITY,,,,,👍👍💑❤👄💋💙💖💘💞💝🎂🎂🍺🍻🍻🍷😘💟🍷💄🎂🍺🍻👍💑🎇❤👄💋💙💖💘💞💝😘💟🍷💄🎂🍺🍻👍💑🎇❤👄💋💙💖💘💞💝😘💟🍷💄🎂🍺🍻💙💘💖💘💙💘💖💘💙💘💖💘💙💘💙💙💘💖💙💘💝😘💟🍷🍻💑🌹🌺🌹💋💙💙💘💙💘💙💙💘💙💘💘","['fortitud', 'attitud', 'feel', 'puls', 'health', 'well', 'peopl', 'larg', 'genuin', 'care', 'affect', 'focuss', 'dedic', 'quintessenti', 'soul', 'search', 'digit', 'emot', 'connect', 'nation', 'leadership', 'peopl', 'larg', 'thrive', 'lumin', 'pinnacl', 'hallmark', 'univers', 'live', 'everi', 'life', 'alway', 'matter', 'till', 'etern', 'watersh', 'perform', 'benevol', 'humbl', 'vote', 'u', 'get', 'nobl', 'prize', 'medicin', 'also', 'nobl', 'prize', 'physic', 'chemistri', 'biolog', 'literatur', 'econom', 'year', 'lumin', 'radiant', 'alluringili', 'sizzl', 'sublim', 'mida', 'touch', 'boot', 'till', 'etern']","FORTITUDE, ATTITUDE, & FEELING THE PULSE , SOCIO-ECONOMIC HEALTH & WELL BEING OF THE PEOPLE AT LARGE WITH GENUINE CARE , AFFECTION & FOCUSSED DEDICATION 24/7/365. A QUINTESSENTIAL SOUL SEARCHING DIGITALLY EMOTIONAL CONNECT BETWEEN NATIONAL LEADERSHIP & ITS PEOPLE AT LARGE BEING THE THRIVING LUMINOUSLY PINNACLE HALLMARK OF ,#sgunited:Singapore: #sgunited:Singapore: :rose::sunrise:AS UNIVERSALLY ALL LIVES & EVERY LIFE ALWAYS MATTER TILL ETERNITY:rose::hibiscus::sunrise::heart_with_arrow: For this Watershed performance itself my benevolent humble VOTE 4 U TO GET NOT ONLY NOBLE PRIZE FOR MEDICINE, BUT ALSO THE NOBLE PRIZE FOR PHYSICS, CHEMISTRY, BIOLOGY, LITERATURE & ECONOMICS 4 THE YEAR 2020-21-22 WITH LUMINOUSLY RADIANT & ALLURINGILY SIZZLING & SUBLIME MIDAS TOUCH TO BOOT TILL ETERNITY,,,,,:thumbs_up::thumbs_up::couple_with_heart::red_heart::mouth::kiss_mark::blue_heart::sparkling_heart::heart_with_arrow::revolving_hearts::heart_with_ribbon::birthday_cake::birthday_cake::beer_mug::clinking_beer_mugs::clinking_beer_mugs::wine_glass::face_blowing_a_kiss::heart_decoration::wine_glass::lipstick::birthday_cake::beer_mug::clinking_beer_mugs::thumbs_up::couple_with_heart::sparkler::red_heart::mouth::kiss_mark::blue_heart::sparkling_heart::heart_with_arrow::revolving_hearts::heart_with_ribbon::face_blowing_a_kiss::heart_decoration::wine_glass::lipstick::birthday_cake::beer_mug::clinking_beer_mugs::thumbs_up::couple_with_heart::sparkler::red_heart::mouth::kiss_mark::blue_heart::sparkling_heart::heart_with_arrow::revolving_hearts::heart_with_ribbon::face_blowing_a_kiss::heart_decoration::wine_glass::lipstick::birthday_cake::beer_mug::clinking_beer_mugs::blue_heart::heart_with_arrow::sparkling_heart::heart_with_arrow::blue_heart::heart_with_arrow::sparkling_heart::heart_with_arrow::blue_heart::heart_with_arrow::sparkling_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::blue_heart::heart_with_arrow::sparkling_heart::blue_heart::heart_with_arrow::heart_with_ribbon::face_blowing_a_kiss::heart_decoration::wine_glass::clinking_beer_mugs::couple_with_heart::rose::hibiscus::rose::kiss_mark::blue_heart::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::blue_heart::blue_heart::heart_with_arrow::blue_heart::heart_with_arrow::heart_with_arrow:"
