,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets
78,1.2783126844176794e+18,1.2783126844176794e+18,2020-07-01,21:01:08,7.514796015331041e+17,_laforketta,_laforketta,"{'type': 'Point', 'coordinates': [1.30333111, 103.8101924]}",Safe entry check-in  / / Our restaurant is open now for dine-in but we are happy to pack for takeaway.  We are still committed to ensuring the well being of our customers and co-workers. Strict preventive measures…  https://t.co/3VBh7qKwPq,en,[],['https://www.instagram.com/p/CCGbKxRnWiL/?igshid=1ugx289tc0opu'],[],0.0,0.0,0.0,[],https://twitter.com/_laforketta/status/1278312684417679368,0.0,[],"['hello', 'phase', 'open', 'time', 'check', 'govern', 'app', 'fill', 'declar', 'health', 'get', 'temp', 'sanit', 'let', 'thorough', 'amp', 'effici']"
79,1.2782401800008376e+18,1.2782401800008376e+18,2020-07-01,16:13:02,18618770.0,cheryltan88,Cheryl Lu-Lien Tan,,"In #Singapore #taxi cabs, mandatory check-ins to the government’s #SafeEntry contact tracing system. #covidlife #coronavirus #sglife #taxicab #covid_19 #covid19  https://t.co/fNOgAVlBKI",en,[],[],['https://pbs.twimg.com/media/Eb04qFbVcAAqjZk.jpg'],0.0,1.0,0.0,"['singapore', 'taxi', 'safeentry', 'covidlife', 'coronavirus', 'sglife', 'taxicab', 'covid_19', 'covid19']",https://twitter.com/cheryltan88/status/1278240180000837632,1.0,[],"['physio', 'session', 'featur', 'signag', 'around', 'rehab', 'amp', 'beyond', 'corecollectivesg', 'dempsey']"
80,1.2775137235407217e+18,1.2775137235407217e+18,2020-06-29,16:06:21,2841884064.0,1337empire,long live the empire inbred alex g,,"What if we,,, took our temperature... at the checkpoint 🤔🤔👀👀 before  we entered the mall 😳😳... what if we,,, kissed by the,, safe entry qr code,,, 👀 👀 and forgot to,, check out,, together 😚😚",en,[],[],[],0.0,4.0,10.0,[],https://twitter.com/1337empire/status/1277513723540721664,0.0,[],"['even', 'tho', 'phase', 'rememb', 'take', 'precautionari', 'measur', 'friend', 'forget', 'wherev', 'go', 'wear', 'mask', 'time']"
81,1.2774717095584317e+18,1.2774717095584317e+18,2020-06-29,13:19:24,2240421060.0,theshutterwhale,Mark Chua,"{'type': 'Point', 'coordinates': [1.2800945, 103.8509491]}",SafeEntry Tips and Tricks - How to Create Shortcuts and Use the SingPass App Like a Pro in Singapore   https://t.co/sJpg4FOGNq  #singapore #news #sgnews #safeentry #guide #tips #safedistancing #socialdistancing,en,[],['https://theshutterwhale.com/blog/2020/6/29/safeentry-tips-and-tricks-how-to-create-shortcuts-and-use-the-singpass-app-like-a-pro-in-singapore'],[],0.0,0.0,0.0,"['singapore', 'news', 'sgnews', 'safeentry', 'guide', 'tips', 'safedistancing', 'socialdistancing']",https://twitter.com/theshutterwhale/status/1277471709558431744,0.0,[],"['welcom', 'back', 'reopen', 'look', 'forward', 'see', 'everyon', 'soon', 'due', 'current', 'situat', 'requir', 'custom', 'scan', 'qr', 'code', 'ensur', 'pleas', 'follow', 'us', 'social', 'media', 'fb', 'ig']"
82,1.2774026626783928e+18,1.2774026626783928e+18,2020-06-29,08:45:02,1.0424291177973023e+18,sgpseudoscops,Pseudoscops,"{'type': 'Point', 'coordinates': [1.28415561, 103.84354055]}",All visitors will need to pass through #Therma and get #OneScan to register their information and check-in with #SafeEntry in a seamless step. @ Pseudoscops  https://t.co/2h66sFkLIj,en,[],['https://www.instagram.com/p/CB_9VvZnHDJ/?igshid=1q132ce8gypyh'],[],0.0,0.0,0.0,"['therma', 'onescan', 'safeentry']",https://twitter.com/SGPseudoscops/status/1277402662678392832,0.0,[],"['definit', 'feel', 'safer', 'given', 'safeentri', 'trace', 'togeth', 'app', 'scare', 'asymptomat']"
84,1.2769194792350433e+18,1.2769194792350433e+18,2020-06-28,00:45:02,380109220.0,pl0lolop,Wayne,,I am SICK AND TIRED of scanning safe entry qr codes,en,[],[],[],0.0,6.0,3.0,[],https://twitter.com/pl0lolop/status/1276919479235043330,0.0,[],"['check', 'jason', 'tan', 'resid', 'singapor']"
85,1.2764476197164687e+18,1.2764476197164687e+18,2020-06-26,17:30:02,502625563.0,r_tham,Raymond Tham,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}",Shopping is no longer a walk in the park... Even my phone couldn't handle the number of SafeEntry ins and outs!  (I was not even window shopping or browsing) #safeentry #sgunited @ Singapore  https://t.co/gKdAY4EmO3,en,[],['https://www.instagram.com/p/CB5LCPSnrhJZJ2SVo_2_p81yANVQyjx-K_MMyc0/?igshid=nnh40yvkv31p'],[],0.0,0.0,0.0,"['safeentry', 'sgunited']",https://twitter.com/r_tham/status/1276447619716468736,0.0,[],"['thermal', 'imag', 'mask', 'recognit', 'temperatur', 'detect', 'staff', 'amp', 'visitor', 'check', 'check', 'link', 'safeentri', 'mobil', 'via', 'qr', 'code', 'use', 'nric', 'work', 'permit', 'scan', 'enquiri']"
86,1.2762033823534858e+18,1.2762033823534858e+18,2020-06-26,01:19:31,18618770.0,cheryltan88,Cheryl Lu-Lien Tan,,"The new thing — the instantaneous electronic temperature check station with the QR code to scan into the #Singapore government’s #SafeEntry site so you can log exactly when you enter &amp; leave a restaurant, store, mall, etc. This was at Long Ji, one of my fave seafood restaurants.  https://t.co/9hdHLy0yrF",en,[],[],"['https://pbs.twimg.com/media/EbX8MinU8AIcnOj.jpg', 'https://pbs.twimg.com/media/EbX8MimUMAUT3TI.jpg', 'https://pbs.twimg.com/media/EbX8MipU8AA4aDW.jpg']",0.0,0.0,2.0,"['singapore', 'safeentry']",https://twitter.com/cheryltan88/status/1276203382353485825,1.0,[],"['love', 'pupil', 'facial', 'recognit', 'infrar', 'thermomet', 'devic', 'fight']"
89,1.2757268176940073e+18,1.2757268176940073e+18,2020-06-24,17:45:49,338385163.0,memphis0935,memphis,"{'type': 'Point', 'coordinates': [1.28473, 103.83245]}","Safe-N3 Temperature Screening Terminal with SafeEntry enabled by ID Card Basic ( Temperature Scanning, Mask Detection ) Enhanced ( Temperature Scanning, Mask Detection, SafeEntry Check In, SafeEntry Check Out…  https://t.co/X5y53Xb6Tg",en,[],['https://www.instagram.com/p/CB0DQGzH3hm/?igshid=q4i03gkz56zh'],[],0.0,1.0,0.0,[],https://twitter.com/memphis0935/status/1275726817694007297,0.0,[],"['oooh', 'latest', 'releas', 'tracetogeth', 'includ', 'safeentri', 'well', 'count', 'user', 'detect', 'today', 'could', 'find', 'anyth', 'releas', 'note', 'whether', 'use', 'appl', 'googl', 'new', 'exposur', 'notif', 'api', 'though']"
90,1.2754538995083428e+18,1.2754538995083428e+18,2020-06-23,23:41:21,30201383.0,aniqabd,Aniq Hilman,"{'type': 'Point', 'coordinates': [1.36025, 103.9892799]}",She makes me check out at every SafeEntry @ Jewel Changi Airport  https://t.co/2cmczbBvFW,en,[],['https://www.instagram.com/p/CByHJDJn7DbdXh4divafD0_zYuSB_OfAH7Xe_I0/?igshid=7924f8bno4'],[],0.0,0.0,0.0,[],https://twitter.com/Aniqabd/status/1275453899508342787,0.0,[],"['uniview', 'unv', 'integr', 'temperatur', 'measur', 'system', 'safeentri', 'enquiri', 'share', 'friend', 'whoi', 'need', 'tiong', 'bahru', 'market']"
