,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets
14,1.275649830673662e+18,1.275649830673662e+18,2020-06-24,12:39:54,41269448.0,santoshaka,𝙎𝙖𝙣𝙩𝙤𝙨𝙝 𝙏𝙝𝙖𝙥𝙖 𝙈𝙖𝙜𝙖𝙧,,New term - SHRO (stay home restriction order) is different from SHN (Stay Home Notice),en,[],[],[],1.0,0.0,2.0,[],https://twitter.com/SantoshAKA/status/1275649830673661953,0.0,[],"['end', 'pasta', 'sinc', 'onset', 'case', 'circuit', 'breaker', 'start', 'singapor', 'disciplin', 'restrict', 'go', 'elsewher']"
15,1.2747314233714115e+18,1.2747314233714115e+18,2020-06-21,23:50:29,1.0221133166117929e+18,zhg5wdz3omkw9el,冉磊,,"After 3 months’ stay at home notice, today we got hanging out. But I didn't feel so excited. After all, I am so familiar with this city, nothing new. Nothing unexpected happened, everything is the same, nothing changed.",en,[],[],[],1.0,0.0,0.0,[],https://twitter.com/ZHG5wdZ3OMKw9EL/status/1274731423371411456,0.0,[],"['real', 'world', 'day']"
22,1.2671139719175741e+18,1.2669253373565379e+18,2020-05-31,23:21:27,877337100.0,indiainsingapor,India in Singapore,,@KumarDk75710 @PMOIndia @MEAIndia @DrSJaishankar @MOS_MEA @harshvshringla @IndianDiplomacy @airindiain @PIB_India @DDNewslive @JawedAshraf5 All cleared at temperature screenings.  They were in quarantine like conditions in Singapore since 7 April. None of those in stay home notice or under observation are on passenger lists .🙏,en,[],[],[],0.0,0.0,3.0,[],https://twitter.com/IndiainSingapor/status/1267113971917574144,0.0,"[{'screen_name': 'KumarDk75710', 'name': 'Deepak kumar', 'id': '731458212902248448'}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': '471741741'}, {'screen_name': 'MEAIndia', 'name': 'Anurag Srivastava', 'id': '441636351'}, {'screen_name': 'DrSJaishankar', 'name': 'Dr. S. Jaishankar', 'id': '859363899291742210'}, {'screen_name': 'MOS_MEA', 'name': 'V. Muraleedharan', 'id': '1137953360462532608'}, {'screen_name': 'harshvshringla', 'name': 'Harsh V Shringla', 'id': '4817560872'}, {'screen_name': 'IndianDiplomacy', 'name': 'Indian Diplomacy', 'id': '164213375'}, {'screen_name': 'airindiain', 'name': 'Air India', 'id': '387573617'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'DDNewslive', 'name': 'DD News', 'id': '1100927498'}, {'screen_name': 'JawedAshraf5', 'name': 'Jawed Ashraf', 'id': '718757829570506752'}]","['finish', 'complain', 'lockdown', 'get', 'bore', 'rememb', 'part', 'histori', 'world', 'unit', 'one', 'fight', 'togeth']"
23,1.264779814726185e+18,1.264779814726185e+18,2020-05-25,12:46:20,1188124814.0,belovedarnold,Arnold dela Cruz,"{'type': 'Point', 'coordinates': [1.43788, 103.83803]}","_EoSHNo Pasta_ (End of Stay-Home Notice Pasta) . Since the onset of COVID-19 cases and the circuit breaker started in Singapore, I have been disciplined to restrict myself from going elsewhere that is not…  https://t.co/ElpQKGmrcQ",en,[],['https://www.instagram.com/p/CAmRIcRHIR8/?igshid=1i7arsfe13tec'],[],0.0,0.0,0.0,[],https://twitter.com/belovedarnold/status/1264779814726184960,0.0,[],"['studi', 'japanes', 'past', 'month', 'due', 'busi', 'work', 'stuff', 'thing', 'sinc', 'singapor', 'call', 'circuit', 'breaker', 'extend', 'june']"
24,1.2626876850108785e+18,1.2626876850108785e+18,2020-05-19,18:12:58,76352733.0,anbe_aaruyire,kv,,Out in the real world... After 28 days of Stay Home Notice.. #StayHome #StaySafe.. #SGUnited  https://t.co/udcfJMkc2Z,en,[],[],['https://pbs.twimg.com/media/EYX3vJbUMAE1jdY.jpg'],0.0,0.0,1.0,"['stayhome', 'staysafe', 'sgunited']",https://twitter.com/anbe_aaruyire/status/1262687685010878465,1.0,[],['extend']
25,1.2626870051980575e+18,1.2626870051980575e+18,2020-05-19,18:10:16,76352733.0,anbe_aaruyire,kv,,"Coming out for the first time, after a 28 days of Stay Home Notice... #SGUnited #Singapore  https://t.co/zMaqjDb3Sc",en,[],[],['https://pbs.twimg.com/media/EYX3HiEVAAAy1IA.jpg'],0.0,0.0,1.0,"['sgunited', 'singapore']",https://twitter.com/anbe_aaruyire/status/1262687005198057472,1.0,[],"['need', 'ask', 'anyon', 'permiss', 'unless', 'issu', 'shn', 'hear', 'us']"
26,1.2616707421202596e+18,1.2616707421202596e+18,2020-05-16,22:52:00,397966748.0,veloruntheworld,Ra,,"Finding Nemo architecture !!! I start to notice, stay at home really affects our health, I guess.. my on and off giddiness is back - I do need morning exposure every morning. During Ramadan, I only run in the evening.. #runningjournal  https://t.co/7NN3CXzHMJ",en,[],[],['https://pbs.twimg.com/media/EYJa2P-U8AESbao.jpg'],0.0,0.0,2.0,['runningjournal'],https://twitter.com/VeloRuntheworld/status/1261670742120259585,1.0,[],"['strict', 'day', 'employe', 'construct', 'sector', 'across', 'countri', 'even', 'go', 'market', 'allow', 'okay', 'lock', 'next', 'month', 'right', 'birthday', 'pero', 'ma', 'okay', 'na', 'yon', 'atleast', 'safe']"
27,1.2612853740908175e+18,1.2612775075353027e+18,2020-05-15,21:20:41,49007031.0,kira_scribbles,ᴮᴱ 🄺🄸🅁🄰,,"@hizlittlepinky actually, allowed naman kami lumabas but not for too long.. only to buy essential stuff, exercise or go to work..   unless you’re under stay-home notice..",en,[],[],[],1.0,0.0,0.0,[],https://twitter.com/KIRA_scribbles/status/1261285374090817545,0.0,"[{'screen_name': 'hizlittlepinky', 'name': 'shanie🐥sick and tired', 'id': '975421826'}]","['announc', 'place']"
28,1.260872061594919e+18,1.260872061594919e+18,2020-05-14,17:58:20,756772.0,kyh,kyh®,"{'type': 'Point', 'coordinates': [1.2578, 103.80994]}","hola from singapura! just checked into the luxury rasasentosa on sentosa island, my ""home"" for the next 14 days in compliance with the island republic's stay home notice (shn) during this trying period, all paid for…  https://t.co/A05SZBJtpt",en,[],['https://www.instagram.com/p/CAKgFr6g0Ku/?igshid=rq7ynijmlqnm'],[],0.0,0.0,0.0,[],https://twitter.com/kyh/status/1260872061594918912,0.0,[],"['nine', 'day', 'ask', 'salt', 'get', 'tini', 'individu', 'packet', 'hotel', 'final', 'decid', 'give', 'want', 'say', 'hope', 'learn', 'someth', 'today']"
29,1.260095475178287e+18,1.260095475178287e+18,2020-05-12,14:32:27,1.1671153024395387e+18,gerlie_queen,gbt,,Serving stay home notice with a Chef flatmate is really ❤️  https://t.co/yUH7uGAF8s,en,[],[],['https://pbs.twimg.com/media/EXzCJtuU4AAQgNu.jpg'],0.0,0.0,0.0,[],https://twitter.com/gerlie_queen/status/1260095475178287105,1.0,[],"['housem', 'keep', 'feed', 'sinc', 'first', 'day', 'circuit', 'breaker', 'need', 'repay', 'kind', 'ca', 'go', 'due', 'argh']"
30,1.2594423232276767e+18,1.2594423232276767e+18,2020-05-10,19:17:03,363494868.0,arvintunas,Tunas Harapan Bangsa Dan Negara Federal Republik,,21 days into Stay Home Notice....8 days to go,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/ArvinTunas/status/1259442323227676672,0.0,[],"['tapi', 'aku', 'kene', 'kat', 'hotel']"
32,1.2580613374412964e+18,1.2580613374412964e+18,2020-05-06,23:49:31,59167125.0,missstaceytan,Stacey Tan,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}","#year2020  . . . When you finish complaining about the lockdown, stay at home notice, getting bored at home...remember...we are part of the history... . . . When the world united as one to fight together...and the…  https://t.co/awR9LsctJK",en,[],['https://www.instagram.com/p/B_2h6vShXYw/?igshid=14oic5j5pm02d'],[],0.0,0.0,0.0,['year2020'],https://twitter.com/missStaceyTan/status/1258061337441296384,0.0,[],"['ye', 'naka', 'ako', 'requir', 'gov', 'lemon', 'water', 'muna', 'also', 'drink', 'med', 'given', 'doctor', 'thank', 'renzi']"
33,1.2564792322487542e+18,1.2564792322487542e+18,2020-05-02,15:02:47,26206160.0,ishtefh,Steff,"{'type': 'Point', 'coordinates': [1.29306, 103.856]}","I haven't been studying Japanese for these past few months due to being busy with work stuff and other things, so now since Singapore's so called ""circuit breaker"" was extended until June, then my ""stay home notice""…  https://t.co/nSAr4Zbix1",en,[],['https://www.instagram.com/p/B_rSdZjhzun/?igshid=jd2zb68dhlq1'],[],0.0,0.0,0.0,[],https://twitter.com/ishtefh/status/1256479232248754176,0.0,[],"['march', 'current', 'awar', 'get', 'worsen', 'whole', 'day', 'terrifi', 'hard', 'live', 'surviv', 'must']"
34,1.2561105070371267e+18,1.2561105070371267e+18,2020-05-01,14:37:36,104100715.0,quenniedevega,Quennie,,Extended Stay-Home-Notice  https://t.co/zAjhvSHcbM,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EW6Z12nVcAEf8Ho.jpg'],0.0,0.0,1.0,[],https://twitter.com/quenniedevega/status/1256110507037126658,1.0,[],"['today', 'cough', 'boss', 'sent', 'told', 'go', 'doctor', 'gov', 'spot', 'check', 'compani', 'went', 'doctor', 'told', 'throat', 'red', 'issu', 'mc', 'sick', 'leav', 'day', 'mean']"
35,1.252799147603714e+18,1.2521615147709235e+18,2020-04-22,11:19:27,57106106.0,perry_young,PerryYoung,,@jenniferludt @TomBossert you don’t need to ask anyone for permission unless you have been issued a Stay at Home Notice SHN. Hear you re: US,en,[],[],[],1.0,0.0,0.0,[],https://twitter.com/Perry_Young/status/1252799147603714053,0.0,"[{'screen_name': 'TomBossert', 'name': 'Thomas P. Bossert', 'id': '1399966783'}]","['conclud', 'sm', 'locat', 'check', 'video', 'interview', 'amaz', 'job', 'keep', 'us', 'safe']"
36,1.2520495527873782e+18,1.2520495527873782e+18,2020-04-20,09:40:49,2297285306.0,arfarfil,A R F 🇵🇭🇸🇬,,"Strict 14 days stay home notice for all employees under construction “sector” across the country. Even going to market is not allowed, okay I’ll be locked up until next month right after my birthday. 🤦🏻‍♂️   Pero mas okay na yon atleast safe. 👌🏻",en,[],[],[],0.0,0.0,4.0,[],https://twitter.com/arfarfil/status/1252049552787378177,0.0,[],"['serv', 'day', 'shn', 'someth', 'awesom', 'glass', 'mug', 'oil', 'safe', 'safe', 'distanc', 'ya', 'big', 'chungu', 'pictur', 'inspir']"
37,1.251699662668497e+18,1.2509362730967245e+18,2020-04-19,10:30:29,15291489.0,wce917,Christopher Ellis 🇸🇬🇺🇸,,@jamesplloyd And announced all placed on stay at home notice now   https://t.co/4ATWxREp9l,en,[],['https://www.channelnewsasia.com/news/singapore/construction-workers-work-permit-s-pass-stay-home-notice-covid19-12655534'],[],0.0,0.0,1.0,[],https://twitter.com/wce917/status/1251699662668496898,0.0,"[{'screen_name': 'jamesplloyd', 'name': 'James Lloyd', 'id': '97003436'}]","['listen', 'obey', 'everyon', 'safeti', 'ica', 'cancel', 'singaporean', 'passport', 'breach']"
38,1.251371809603281e+18,1.251371809603281e+18,2020-04-18,12:47:43,129636924.0,vaishnavi,vaishnavi,"{'type': 'Point', 'coordinates': [1.30841104, 103.83592101]}","After nine days of asking for salt and getting tiny individual packets, my Stay Home Notice hotel finally decided to give me this and I just want to say I hope we both learned something today  https://t.co/JqC6VRslB3",en,[],[],['https://pbs.twimg.com/media/EV3EBeWUYAEy9Tb.jpg'],4.0,0.0,15.0,[],https://twitter.com/vaishnavi/status/1251371809603280897,1.0,[],"['ica', 'cancel', 'singaporean', 'passport', 'breach']"
