,name,comment,processed_text,demojize_text
6,pillopooh,I hope we all can back to work from home 100% for non essential. With the spread of uk virus currently it’s so dangerous esp for pregnant lady. Gov always asked citizen to have baby but where is the protection for pregnant lady?,"['hope', 'back', 'work', 'home', 'non', 'essenti', 'spread', 'uk', 'viru', 'current', 'danger', 'esp', 'pregnant', 'ladi', 'gov', 'alway', 'ask', 'citizen', 'babi', 'protect', 'pregnant', 'ladi']",I hope we all can back to work from home 100% for non essential. With the spread of uk virus currently it’s so dangerous esp for pregnant lady. Gov always asked citizen to have baby but where is the protection for pregnant lady?
7,tos4hirohitsugaya,No use deleting the app alr lol once u install they have it alrealdy u uninstall also no point,"['use', 'delet', 'app', 'alr', 'lol', 'u', 'instal', 'alrealdi', 'u', 'uninstal', 'also', 'point']",No use deleting the app alr lol once u install they have it alrealdy u uninstall also no point
8,glaringbliss,They won our votes afterall. Accept it folks😜,"['vote', 'afteral', 'accept', 'folk']",They won our votes afterall. Accept it folks:winking_face_with_tongue:
9,_.a.ddin,"he said that it won’t collect gps nor movement data but only collect whom u come in close contact with, isn’t that the same as tracking the user despite for a temporary basis","['said', 'collect', 'gp', 'movement', 'data', 'collect', 'u', 'come', 'close', 'contact', 'track', 'user', 'despit', 'temporari', 'basi']","he said that it won’t collect gps nor movement data but only collect whom u come in close contact with, isn’t that the same as tracking the user despite for a temporary basis"
10,szefoodntravel,we've been tricked!,['trick'],we've been tricked!
11,t_thazt_t,ppl try chao work also sudd got srs illness,"['ppl', 'tri', 'chao', 'work', 'also', 'sudd', 'got', 'sr', 'ill']",ppl try chao work also sudd got srs illness
0,stephanie______w,@heydannyo 🤨🤨,[],@heydannyo :face_with_raised_eyebrow::face_with_raised_eyebrow:
1,sataysedapnya,Complusory this and that n soon everywhere complusory... Any ideas to keep it voluntary?,"['complusori', 'n', 'soon', 'everywher', 'complusori', 'idea', 'keep', 'voluntari']",Complusory this and that n soon everywhere complusory... Any ideas to keep it voluntary?
2,sataysedapnya,Lets not visit cinemas n make them go bust... ✌,"['let', 'visit', 'cinema', 'n', 'make', 'go', 'bust']",Lets not visit cinemas n make them go bust... :victory_hand:
3,sataysedapnya,Lets see how many more places we can dont go.. Thank u gahmen to help us save $$$ .... Bet u cant get us to have this when we do online shopping ... 😆,"['let', 'see', 'mani', 'place', 'dont', 'go', 'thank', 'u', 'gahmen', 'help', 'us', 'save', 'bet', 'u', 'cant', 'get', 'us', 'onlin', 'shop']",Lets see how many more places we can dont go.. Thank u gahmen to help us save $$$ .... Bet u cant get us to have this when we do online shopping ... :grinning_squinting_face:
