,name,comment,processed_text,demojize_text
0,dashing_water,Definitely a welcoming relief 👍 provided that’s no Covid-19 case spreading in the community in the upcoming days. 🤔,"['definit', 'welcom', 'relief', 'provid', 'case', 'spread', 'commun', 'upcom', 'day']",Definitely a welcoming relief :thumbs_up: provided that’s no Covid-19 case spreading in the community in the upcoming days. :thinking_face:
1,iclickmedia,👍,[],:thumbs_up:
2,zenithphuong,@ptpiano giữa tháng sau là biết chị em chúng mình khi nào dc tụ tập rồi. Group of 5 thì có baby chắc cg vẫn dc 😂,"['sau', 'em', 'khi', 'dc', 'group', 'babi', 'cg', 'dc']",@ptpiano giữa tháng sau là biết chị em chúng mình khi nào dc tụ tập rồi. Group of 5 thì có baby chắc cg vẫn dc :face_with_tears_of_joy:
3,honeyhazelcratfs,Hope this ends soon 😭😭😭 miss going to cafes,"['hope', 'end', 'soon', 'miss', 'go', 'cafe']",Hope this ends soon :loudly_crying_face::loudly_crying_face::loudly_crying_face: miss going to cafes
4,abi.tay,@matildatay,[],@matildatay
5,rozainiahmat,Middle of June Reopening of Phase 2 which Date is it???,"['middl', 'june', 'reopen', 'phase', 'date']",Middle of June Reopening of Phase 2 which Date is it???
6,zephanhavertz,Still cannot play futsal 🤡,"['still', 'play', 'futsal']",Still cannot play futsal :clown_face:
7,zephanhavertz,"In futsal, there shall be no rooftop rule and backpass rule has to be implemented @joshtheonion_","['futsal', 'shall', 'rooftop', 'rule', 'backpass', 'rule', 'implement']","In futsal, there shall be no rooftop rule and backpass rule has to be implemented @joshtheonion_"
8,soul_zenful,"Please everyone, do your part by using mask, keeping good hygiene and physical distancing , so sg can stay open way after phase 2. Not like SK, have to close again after they opened up 🙏","['pleas', 'everyon', 'part', 'use', 'mask', 'keep', 'good', 'hygien', 'physic', 'distanc', 'sg', 'stay', 'open', 'way', 'phase', 'like', 'sk', 'close', 'open']","Please everyone, do your part by using mask, keeping good hygiene and physical distancing , so sg can stay open way after phase 2. Not like SK, have to close again after they opened up :folded_hands:"
9,officialakarshaccount21,No😢,[],No:crying_face:
10,qingwei_kpop_lover,Yes coming soon,"['ye', 'come', 'soon']",Yes coming soon
11,atoufahh_,@nrathiraah,[],@nrathiraah
12,reyhn_lee,@jel_lyyy,[],@jel_lyyy
13,inyounghaseyo,Plz plz plz open plz i want to eat huoguo,"['plz', 'plz', 'plz', 'open', 'plz', 'want', 'eat', 'huoguo']",Plz plz plz open plz i want to eat huoguo
14,dawhte3,"Hallelujah, Thank you GOD, Thank you JESUS! 🙏🏻😇","['hallelujah', 'thank', 'god', 'thank', 'jesu']","Hallelujah, Thank you GOD, Thank you JESUS! :folded_hands_light_skin_tone::smiling_face_with_halo:"
15,mdfvris,@yavaphy @juzwannarelax,[],@yavaphy @juzwannarelax
16,phuayingjie,@ljl1926,[],@ljl1926
17,egosumsendre,5 per group?? Why bother to set no limits?,"['per', 'group', 'bother', 'set', 'limit']",5 per group?? Why bother to set no limits?
18,syams_ms,C u in phase 2 jom makan sashimi @kha_bear,"['c', 'u', 'phase', 'jom', 'makan', 'sashimi']",C u in phase 2 jom makan sashimi @kha_bear
19,valnotvel,dining? I HAVEN'T HEARD FROM YOU FOR MONTHS 😭,"['dine', 'heard', 'month']",dining? I HAVEN'T HEARD FROM YOU FOR MONTHS :loudly_crying_face:
20,diahayurosita,@ollive_ho @kristianir,[],@ollive_ho @kristianir
21,htinlinnn,@___edwxrd,[],@___edwxrd
22,lilytan2203,🙏,[],:folded_hands:
23,remusaursus,@jlcubongen @simyingting @spicytofu_,[],@jlcubongen @simyingting @spicytofu_
0,sand_artist_lawrence_koh,Stay strong 💗,"['stay', 'strong']",Stay strong :growing_heart:
1,fionarie,@shirleythk,[],@shirleythk
2,kahlil_29,"Bye-bye Team Lunch, see you in 2021.","['team', 'lunch', 'see']","Bye-bye Team Lunch, see you in 2021."
3,sean_lee89,@lynawong_ hahaha,['hahaha'],@lynawong_ hahaha
4,randomdogonline,Damnn my MOM saying good news!! KEEP IT UP SG!! 😍😍(･´з`･),"['damnn', 'mom', 'say', 'good', 'news', 'keep', 'sg']",Damnn my MOM saying good news!! KEEP IT UP SG!! :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:(･´з`･)
5,kks285,WFH rocks,"['wfh', 'rock']",WFH rocks
6,rihginahne,@deeeeonn,[],@deeeeonn
7,lynnchoy4949,Better to be careful rather than sorry later...,"['better', 'care', 'rather', 'sorri', 'later']",Better to be careful rather than sorry later...
8,tezz_0510,Yes.. I was thinking the same thing.. when company sends roaster for my hubby.. thanks MOM ♥️,"['ye', 'think', 'thing', 'compani', 'send', 'roaster', 'hubbi', 'thank', 'mom']",Yes.. I was thinking the same thing.. when company sends roaster for my hubby.. thanks MOM :heart_suit:
9,3971.md,WFH pls,"['wfh', 'pl']",WFH pls
10,pingopinki,Wfh saves money from mrt!,"['wfh', 'save', 'money', 'mrt']",Wfh saves money from mrt!
11,gentle.earthlings,Best news,"['best', 'news']",Best news
12,cternz,@ahmadshah3622 @emmzdelightz @siti_erna,[],@ahmadshah3622 @emmzdelightz @siti_erna
13,jil.q7,"WFH by default 👍. Reduce congestion in public transport, etc 👍","['wfh', 'default', 'reduc', 'congest', 'public', 'transport', 'etc']","WFH by default :thumbs_up:. Reduce congestion in public transport, etc :thumbs_up:"
0,berniec_beier,@jasz_posh @december_ver we can finally see each other soon!!,"['final', 'see', 'soon']",@jasz_posh @december_ver we can finally see each other soon!!
1,pijah_sg,@_nr.fzilah @nrla.wjy @yann.ismail @_momma_een @nanachip,[],@_nr.fzilah @nrla.wjy @yann.ismail @_momma_een @nanachip
2,_hon_sengg__,The cap is our parents,"['cap', 'parent']",The cap is our parents
3,dixnxx,@jeaniraaa @nurisyarafana oioioi 😏😏😏,['oioioi'],@jeaniraaa @nurisyarafana oioioi :smirking_face::smirking_face::smirking_face:
4,intelx7,@r_dhw_n @_hibri_,[],@r_dhw_n @_hibri_
5,x_sihui,@mixieeeee DOH,['doh'],@mixieeeee DOH
6,rawreyy,Wait real or not,"['wait', 'real']",Wait real or not
7,yesshitsherlockk,@nec1forall we hvng lg separately or...?,"['hvng', 'lg', 'separ']",@nec1forall we hvng lg separately or...?
8,fatinzainol,@nur_azminaa_,[],@nur_azminaa_
9,d0ri5tys,@tanjulia_,[],@tanjulia_
10,isla_jones146,@carina.cavee @havana_vw @naima_luthra9 @lily_bufalino @nina_averyyy @avamaidmentprivv @charlotte.dockrayy,[],@carina.cavee @havana_vw @naima_luthra9 @lily_bufalino @nina_averyyy @avamaidmentprivv @charlotte.dockrayy
11,hardgrind5.0,@zhmqzh tmart pe,"['tmart', 'pe']",@zhmqzh tmart pe
12,nxzoko,@rosetoesnose @sudhir_xoxo @itz_meh_xingyu,[],@rosetoesnose @sudhir_xoxo @itz_meh_xingyu
13,dianurfa_,@seryusri yay yay yay cant wait to meet u openlyyyy,"['yay', 'yay', 'yay', 'cant', 'wait', 'meet', 'u', 'openlyyyy']",@seryusri yay yay yay cant wait to meet u openlyyyy
14,hafiz.naimat,@marcuschan__ @emir_shahzad_ @_khai4real_ @raz.inn @qiiizar @amnllhntng,[],@marcuschan__ @emir_shahzad_ @_khai4real_ @raz.inn @qiiizar @amnllhntng
