,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
0,0,0,finding_new0,her eyes tell me otherwise,"['eye', 'tell', 'otherwis']",her eyes tell me otherwise
1,1,1,octifi_lifestyle,👏👏👏,[],:clapping_hands::clapping_hands::clapping_hands:
2,2,2,jun_weiliang,But I see yr face like v painful leh.. y u lie?,"['see', 'yr', 'face', 'like', 'v', 'pain', 'leh', 'u', 'lie']",But I see yr face like v painful leh.. y u lie?
3,3,3,ashi.l4y,Imagine we are just test subjects to see if the vaccine works LOL,"['imagin', 'test', 'subject', 'see', 'vaccin', 'work', 'lol']",Imagine we are just test subjects to see if the vaccine works LOL
4,4,4,rachtwz,It’s not about feeling the pain 😒 @michellenuch,"['feel', 'pain']",It’s not about feeling the pain :unamused_face: @michellenuch
5,5,5,d3adman_89,"if you not scared of needles, can say liddat ah.. wah lau!!","['scare', 'needl', 'say', 'liddat', 'ah', 'wah', 'lau']","if you not scared of needles, can say liddat ah.. wah lau!!"
6,6,6,haziqhimself,Prepare the ODM gear,"['prepar', 'odm', 'gear']",Prepare the ODM gear
7,7,7,reenadzmi,"I thought LHL and parliment ppl will do first? To ""show"" us that it's safe? 🤔","['thought', 'lhl', 'parliment', 'ppl', 'first', 'show', 'us', 'safe']","I thought LHL and parliment ppl will do first? To ""show"" us that it's safe? :thinking_face:"
8,8,8,chloevu12pt,So many negative comments omg,"['mani', 'neg', 'comment', 'omg']",So many negative comments omg
9,9,9,f4iryb3ll444,ok cool,"['ok', 'cool']",ok cool
10,10,10,caifan.plainwater,Finally,['final'],Finally
11,11,11,_j.xs0n_,Please I really want go back indonesia,"['pleas', 'realli', 'want', 'go', 'back', 'indonesia']",Please I really want go back indonesia
12,12,12,evelynslestrange,Too young tp get the vaccine tho😭,"['young', 'tp', 'get', 'vaccin', 'tho']",Too young tp get the vaccine tho:loudly_crying_face:
13,13,13,itz_nathanieltanyt2020,Wait later she start flying,"['wait', 'later', 'start', 'fli']",Wait later she start flying
14,14,14,slaymehhh,The nurse like: “knncb”,"['nurs', 'like', 'knncb']",The nurse like: “knncb”
15,15,15,20adrtan21,Poor Aunty.... She looked so worried... Hope you are fine...,"['poor', 'aunti', 'look', 'worri', 'hope', 'fine']",Poor Aunty.... She looked so worried... Hope you are fine...
16,16,16,002guitar,Really appreciate the people who are in the front lines in Singapore fighting the virus 🙏 Thank you! ❤️,"['realli', 'appreci', 'peopl', 'front', 'line', 'singapor', 'fight', 'viru', 'thank']",Really appreciate the people who are in the front lines in Singapore fighting the virus :folded_hands: Thank you! :red_heart:
17,17,17,itsdaneol,now shes gonna crawl on the wall,"['she', 'gon', 'na', 'crawl', 'wall']",now shes gonna crawl on the wall
18,18,18,bowler_kyqe275,So did she turn into a zombie?,"['turn', 'zombi']",So did she turn into a zombie?
19,19,0,verrarinana,"""There is expiration date of this batch of vaccine supply. "" But But, who has confidence in this Pfizer vaccine?😭","['expir', 'date', 'batch', 'vaccin', 'confid', 'pfizer', 'vaccin']","""There is expiration date of this batch of vaccine supply. "" But But, who has confidence in this Pfizer vaccine?:loudly_crying_face:"
20,20,1,physiotherabeat,Haha decide and dont be fickle.,"['haha', 'decid', 'dont', 'fickl']",Haha decide and dont be fickle.
21,21,2,the_sloth_g,Those moron who about or going for vacation must think twice for vaccination now. Staycation is excluded. Sadly the vaccine is on low supply. 🤷‍♂️,"['moron', 'go', 'vacat', 'must', 'think', 'twice', 'vaccin', 'staycat', 'exclud', 'sadli', 'vaccin', 'low', 'suppli']",Those moron who about or going for vacation must think twice for vaccination now. Staycation is excluded. Sadly the vaccine is on low supply. :man_shrugging:
