,Unnamed: 0,name,comment,processed_comment
0,0,adysetan69,Circuit breaker better lah..,"['circuit', 'breaker', 'better', 'lah']"
1,1,adysetan69,Circuit breaker better lah..,"['circuit', 'breaker', 'better', 'lah']"
2,2,jjarryll._,"8 people inside the house, another 8 at corridor.🤯","['peopl', 'insid', 'hous', 'anoth']"
3,3,z.ariffriff,Every house would have safety check in ah?,"['everi', 'hous', 'would', 'safeti', 'check', 'ah']"
4,4,jong_tp,Pls fine more!,"['pl', 'fine']"
5,5,diyaanaaaaah,Bagus.,['bagu']
6,6,tunasing_j_lau,Imported cases 2 digits. Local cases 1 digit. Priority on the imported cases first. Locals got it from them.,"['import', 'case', 'digit', 'local', 'case', 'digit', 'prioriti', 'import', 'case', 'first', 'local', 'got']"
7,7,theclimbingpuff,Ahh shit here we go again,"['ahh', 'shit', 'go']"
8,8,rahila9532,❤️,[]
9,9,limcheng1819,I think it is necessary and the right thing to do as we are the majority race. We should be responsible for the safety of the community.,"['think', 'necessari', 'right', 'thing', 'major', 'race', 'respons', 'safeti', 'commun']"
10,10,coachryanchua,😞,[]
11,11,n3ectar,Gong hei lei... gong hei lei...🧧,"['gong', 'hei', 'lei', 'gong', 'hei', 'lei']"
12,12,we_the_ding_dong,"Soon, hari raya via Google Meet","['soon', 'hari', 'raya', 'via', 'googl', 'meet']"
13,13,tiantiannie,This is for the best la honestly. Don't want to be one of those countries with a surge,"['best', 'la', 'honestli', 'want', 'one', 'countri', 'surg']"
14,14,baby._elaine,my angbao tho. they best just paynow me HAHAHAH,"['angbao', 'tho', 'best', 'paynow', 'hahahah']"
15,15,robin_banks_111,"For safety of ppl, I say yes","['safeti', 'ppl', 'say', 'ye']"
16,16,octifi_lifestyle,Phase 2?,['phase']
17,17,petertlk63,maybe should limit to 8 imports per day 🤦‍♂️🤦‍♂️💪🤦‍♂️,"['mayb', 'limit', 'import', 'per', 'day']"
18,18,clifford.ng.338,👏,[]
19,19,foodbenda,Problem is how to catch if everyone is doing it? 🤔,"['problem', 'catch', 'everyon']"
20,20,jerald.chin,My primary source of income .........,"['primari', 'sourc', 'incom']"
21,21,lavendercloudx,Just cancel chinese new year please 😒,"['cancel', 'chines', 'new', 'year', 'pleas']"
22,22,ryancryy,@joannaohw 🎉🎉🎉🎉🎉🎉less relatives HAHAHAHAH,"['less', 'rel', 'hahahahah']"
23,23,ryotanada,I remember the anxiety of the world in the early days of the pandemic during CNY times,"['rememb', 'anxieti', 'world', 'earli', 'day', 'pandem', 'cni', 'time']"
24,0,that_guy_kelvin,ORD lo,"['ord', 'lo']"
25,1,graceravii,Indians are very immune to such absurd “rules”. All the restrictions we face during Thaipusam.,"['indian', 'immun', 'absurd', 'rule', 'restrict', 'face', 'thaipusam']"
26,2,vantanjy,LELONG LELONG SELLING HOMEMADE PRE RECORDED AUSPICIOUS PHRASES MP3 AT UNBEATABLE PRICE. PM PLS. 🔊🔊🔊,"['lelong', 'lelong', 'sell', 'homemad', 'pre', 'record', 'auspici', 'phrase', 'unbeat', 'price', 'pm', 'pl']"
27,3,andrrssn,*shouts in lowercase*,"['shout', 'lowercas']"
28,4,dinokang,"𝗡𝗼𝘄 𝗴𝗼𝘁 𝗲-𝗮𝗻𝗴𝗯𝗮𝗼, 𝗻𝗲𝘅𝘁 𝘁𝗶𝗺𝗲 𝘀𝘂𝗿𝗲 𝗴𝗼𝘁 𝗲-𝘆𝘂𝘀𝗵𝗲𝗻𝗴. 𝗲-𝗮𝗻𝗴𝗯𝗮𝗼 𝗶𝘀 𝘀𝘁𝗶𝗹𝗹 𝗺𝗼𝗻𝗲𝘆; 𝗲-𝘆𝘂𝘀𝗵𝗲𝗻𝗴 𝘄𝗼𝗻’𝘁 𝗵𝗮𝘃𝗲 𝗰𝗮𝗹𝗼𝗿𝗶𝗲𝘀 🙆",[]
29,5,muzhafarkamsani,no need 1 meter ? 🤔,"['need', 'meter']"
30,6,ianteozr,So can shout inauspicious phrase?,"['shout', 'inauspici', 'phrase']"
31,7,kkaiqin,Abit lame ah we still take off our masks to eat the yusheng smh,"['abit', 'lame', 'ah', 'still', 'take', 'mask', 'eat', 'yusheng', 'smh']"
32,8,psycicurry,@ianpayamel @vivroooom @et8hn,[]
33,9,_y.wnqng_,"Just print out signs la, y’all got one hand to toss another just raise a sign lor with all the auspicious words","['print', 'sign', 'la', 'got', 'one', 'hand', 'toss', 'anoth', 'rais', 'sign', 'lor', 'auspici', 'word']"
34,10,sabbwie,HAHAHAHAHAHA @ven.etiaa,['hahahahahaha']
35,11,lavendercloudx,Literally unhygienic to do this even if wearing mask 🤢🤢🤢🤮🤮🤮,"['liter', 'unhygien', 'even', 'wear', 'mask']"
36,12,chalic.e,have always been silent during the auspicious phrases part anyway HAHA 😢😢,"['alway', 'silent', 'auspici', 'phrase', 'part', 'anyway', 'haha']"
37,13,mightydragon,Do it at home then 🙄,['home']
38,14,kirbywitaknif,安安静静,[]
39,15,goldenkuroo_,THE SGAG ONE WAS BEFORE THIS AHHAHAHAHA,"['sgag', 'one', 'ahhahahaha']"
40,16,nineofsep,@sarahtsh_,[]
41,17,heyooo_itz_claire_here,Walao then at home still need wear mask ah,"['walao', 'home', 'still', 'need', 'wear', 'mask', 'ah']"
42,18,janetay56,no diff I have never shouted the words out loud and I think the shouting is awkward af,"['diff', 'never', 'shout', 'word', 'loud', 'think', 'shout', 'awkward', 'af']"
