,Unnamed: 0,name,comment,processed_comment
0,0,ima.balr,Eh this fellow.. unless,"['eh', 'fellow', 'unless']"
1,1,charliechen81,the feng shui Master said 28th is a GOOD day? LOL,"['feng', 'shui', 'master', 'said', 'good', 'day', 'lol']"
2,2,we.shopforyou,why have to be friends? I am happy to be able to go out with my family which we have more than 5 people 🤣,"['friend', 'happi', 'abl', 'go', 'famili', 'peopl']"
3,3,spongycakes_,lsl had the audacity to assume that i have 7 friends,"['lsl', 'audac', 'assum', 'friend']"
4,4,yehuda5745,❤️,[]
5,5,redbluegreencorgi,5some was not enuff. Time for a 8some,"['enuff', 'time']"
6,6,vincen5222,Why not before Christmas like 25th. It will bring back some cheers after this long dreaded year.,"['christma', 'like', 'bring', 'back', 'cheer', 'long', 'dread', 'year']"
7,7,muhammad___afi,This one LJ lah because chinese new year coming that why open P3 fast,"['one', 'lj', 'lah', 'chines', 'new', 'year', 'come', 'open', 'fast']"
8,8,giz_102,Finally plus 3 more ppl....thats alot,"['final', 'plu', 'ppl', 'that', 'alot']"
9,9,asiahawk147,Yes yes can start planing for the charlet liao,"['ye', 'ye', 'start', 'plane', 'charlet', 'liao']"
10,10,parrisonhu,Robbie wanna have dinner phrase 3 soon 😄👌,"['robbi', 'wan', 'na', 'dinner', 'phrase', 'soon']"
11,11,parrisonhu,Guys if you never owe money but ah long harass you what should you do ?,"['guy', 'never', 'owe', 'money', 'ah', 'long', 'harass']"
12,12,atx_ii,NO I WANT TO ENJOY MY PEACE ALONE 😩✋,"['want', 'enjoy', 'peac', 'alon']"
13,13,qwertymese,Imagine the fear of the gov on 28th,"['imagin', 'fear', 'gov']"
14,14,imkimsama,Memes:yo hv NO friend..(´༎ຶ ͜ʖ ༎ຶ `)..,"['meme', 'yo', 'hv', 'friend']"
15,15,octifi_lifestyle,Comments here though 😄,"['comment', 'though']"
16,16,ire828,What about cny?,['cni']
17,17,khai_noob24,Me who go out with more then 5 people:👁👄👁,"['go', 'peopl']"
18,18,lionbreweryco,Yeah!!! 🍻🍻🍻🍻🍻🍻,['yeah']
19,19,cocks1ut,Who tf has 7 friends,"['tf', 'friend']"
