,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets,emoji_decoded_tweets
83,1281797440790843392,1281797440790843392,2020-07-11,11:48:19,2488537724,nigel_elijah,아저씨天 #TIAN天 AjusSHI 天叔OMG我的天,"{'type': 'Point', 'coordinates': [1.28829029, 103.84729029]}","Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks  https://t.co/jYlx59HiGw 3281958318517249/?d=n #GRACIOUSsociety ❓ #优雅社会…  https://t.co/mb6c8mFWOM",en,[],"['https://www.facebook.com/100001093387009/posts/', 'https://www.instagram.com/p/CCfL2ehnjSf/?igshid=uytnb01b4xoj']",[],0,0,0,"['pmlee', 'gracioussociety', '优雅社会']",https://twitter.com/nigel_elijah/status/1281797440790843392,0,[],"['dear', 'mr', 'pl', 'provid', 'bigger', 'venu', 'similar', 'time', 'practis', 'tk']","Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks  https://t.co/jYlx59HiGw 3281958318517249/?d=n #GRACIOUSsociety :red_question_mark: #优雅社会…  https://t.co/mb6c8mFWOM"
84,1281796330164293632,1281796330164293632,2020-07-11,11:43:54,2488537724,nigel_elijah,아저씨天 #TIAN天 AjusSHI 天叔OMG我的天,"{'type': 'Point', 'coordinates': [1.27703, 103.828]}","Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks  https://t.co/jYlx59HiGw 3281958318517249/?d=n #GRACIOUSsociety ❓ #优雅社会…  https://t.co/ZNN8MqQUy5",en,[],"['https://www.facebook.com/100001093387009/posts/', 'https://www.instagram.com/p/CCfLWMGHijd/?igshid=1206bia1ih7ni']",[],0,0,0,"['pmlee', 'gracioussociety', '优雅社会']",https://twitter.com/nigel_elijah/status/1281796330164293632,0,[],"['dear', 'mr', 'pl', 'provid', 'bigger', 'venu', 'similar', 'time', 'practis', 'tk']","Dear Mr #PMlee , pls provide a bigger venue for during similar time so that they can practise Safe Distancing . Tks  https://t.co/jYlx59HiGw 3281958318517249/?d=n #GRACIOUSsociety :red_question_mark: #优雅社会…  https://t.co/ZNN8MqQUy5"
85,1281621058433552387,1281621058433552387,2020-07-11,00:07:26,459835776,francis_diana,Diana Francis,"{'type': 'Point', 'coordinates': [1.28685, 103.85]}","Thank you so much for sharing Joanne, so happy you're happy :) One of my favourite stories of Singapore is this piece; 'Happy Hour'.  Happy weekend and a perfect time for posting.. Stay safe with social distancing…  https://t.co/1rSGk9rILm",en,[],['https://www.instagram.com/p/CCd7hSehnrr/?igshid=mie4lbmbo3i3'],[],0,0,0,[],https://twitter.com/francis_diana/status/1281621058433552387,0,[],"['thank', 'much', 'share', 'joann', 'happi', 'happi', 'one', 'favourit', 'stori', 'singapor', 'piec', 'hour', 'happi', 'weekend', 'perfect', 'time', 'post', 'stay', 'social']","Thank you so much for sharing Joanne, so happy you're happy :) One of my favourite stories of Singapore is this piece; 'Happy Hour'.  Happy weekend and a perfect time for posting.. Stay safe with social distancing…  https://t.co/1rSGk9rILm"
86,1281620795605897218,1281620795605897218,2020-07-11,00:06:23,459835776,francis_diana,Diana Francis,"{'type': 'Point', 'coordinates': [1.28685, 103.85]}","Thank you so much for sharing Joanne, so happy you're happy :) One of my favourite stories of Singapore is this piece; 'Happy Hour'.  Happy weekend and a perfect time for posting.. Stay safe with social distancing…  https://t.co/d8K8hb1fZA",en,[],['https://www.instagram.com/p/CCd7hSehnrr/?igshid=8ue8qpmgpw7v'],[],0,0,0,[],https://twitter.com/francis_diana/status/1281620795605897218,0,[],"['thank', 'much', 'share', 'joann', 'happi', 'happi', 'one', 'favourit', 'stori', 'singapor', 'piec', 'hour', 'happi', 'weekend', 'perfect', 'time', 'post', 'stay', 'social']","Thank you so much for sharing Joanne, so happy you're happy :) One of my favourite stories of Singapore is this piece; 'Happy Hour'.  Happy weekend and a perfect time for posting.. Stay safe with social distancing…  https://t.co/d8K8hb1fZA"
87,1281549929530265601,1281549929530265601,2020-07-10,19:24:47,908615605875499009,cherylgohcna,Cheryl Goh,,"The waiting game continues... #GE2020 polling hours extended to 10pm. (here’s our team at West Coast, being conscious of safe distancing too 😂)  https://t.co/YDdVgCy5Hx",en,[],[],['https://pbs.twimg.com/media/Ecj63bDU8AAwIid.jpg'],1,3,11,['ge2020'],https://twitter.com/CherylGohCNA/status/1281549929530265601,1,[],"['wait', 'game', 'continu', 'poll', 'hour', 'extend', 'team', 'west', 'coast', 'consciou']","The waiting game continues... #GE2020 polling hours extended to 10pm. (here’s our team at West Coast, being conscious of safe distancing too :face_with_tears_of_joy:)  https://t.co/YDdVgCy5Hx"
88,1281547628556087299,1281545903749230592,2020-07-10,19:15:39,15340605,richardjang,Richard Jang,,I believe this is the first time ELD had extended the voting time hours to 10pm. This is unprecedented due to the COVID 19 and safe distancing measures. #ge2020,en,[],[],[],0,0,2,['ge2020'],https://twitter.com/richardjang/status/1281547628556087299,0,[],"['believ', 'first', 'time', 'eld', 'extend', 'vote', 'time', 'hour', 'unpreced', 'due', 'covid', 'measur']",I believe this is the first time ELD had extended the voting time hours to 10pm. This is unprecedented due to the COVID 19 and safe distancing measures. #ge2020
89,1281526348410834944,1281526348410834944,2020-07-10,17:51:05,739411887327088640,suchisingapore,MS. SUCHI,,#SingaporeElection  Very well organised Polling Day.  It took 2 minutes to cast a vote.  Hand gloves and sanitizer is provided.  Safe Distancing measures are being followed.  Temperature is being taken.  Well done.  #singaporege2020  #SingaporeVotes #Elections2020  https://t.co/5eAvw9doWs,en,[],[],['https://pbs.twimg.com/media/EcjlbBcUMAARmvX.jpg'],1,0,11,"['singaporeelection', 'singaporege2020', 'singaporevotes', 'elections2020']",https://twitter.com/Suchisingapore/status/1281526348410834944,1,[],"['well', 'organis', 'poll', 'day', 'took', 'minut', 'cast', 'vote', 'hand', 'glove', 'sanit', 'provid', 'measur', 'follow', 'temperatur', 'taken', 'well', 'done']",#SingaporeElection  Very well organised Polling Day.  It took 2 minutes to cast a vote.  Hand gloves and sanitizer is provided.  Safe Distancing measures are being followed.  Temperature is being taken.  Well done.  #singaporege2020  #SingaporeVotes #Elections2020  https://t.co/5eAvw9doWs
90,1281229583082311680,1281229583082311680,2020-07-09,22:11:51,2079281,missloi,Miss Loi,"{'type': 'Point', 'coordinates': [1.31853013, 103.84348103]}","Meet The Temple’s strict Safe Distancing Ambassador who will throw his shield at you if you venture too close. Meanwhile, our new Phase II class schedule is out:  https://t.co/ZlPkkZw2CE…  https://t.co/hI2aZXC3fb",en,[],"['https://www.exampaper.com.sg/tuition-class-schedule', 'https://www.instagram.com/p/CCbJnmjJNqX/?igshid=18lsicmijg8ah']",[],0,0,0,[],https://twitter.com/MissLoi/status/1281229583082311680,0,[],"['meet', 'templ', 'strict', 'ambassador', 'throw', 'shield', 'ventur', 'close', 'meanwhil', 'new', 'phase', 'ii', 'class', 'schedul']","Meet The Temple’s strict Safe Distancing Ambassador who will throw his shield at you if you venture too close. Meanwhile, our new Phase II class schedule is out:  https://t.co/ZlPkkZw2CE…  https://t.co/hI2aZXC3fb"
91,1281138114782789632,1281138114782789632,2020-07-09,16:08:23,31340226,kikokicks,K1k0 K1cks MD MSc,,Safe distancing = fail. Contact tracing = fail. Prioritisation of public health versus superfluous issues = fail.,en,[],[],[],0,0,0,[],https://twitter.com/kikokicks/status/1281138114782789632,0,[],"['fail', 'contact', 'trace', 'fail', 'prioritis', 'public', 'health', 'versu', 'superflu', 'issu', 'fail']",Safe distancing = fail. Contact tracing = fail. Prioritisation of public health versus superfluous issues = fail.
92,1280968212746653696,1280968212746653696,2020-07-09,04:53:15,1226426708,siolzxc,hailey⁹,,"i swear the double standards are annoying. group of more than 5 non complying to safe distancing measures will get fined, but all these PAP rallies and walkabouts going on????¿",en,[],[],[],0,3,3,[],https://twitter.com/siolzxc/status/1280968212746653696,0,[],"['swear', 'doubl', 'standard', 'annoy', 'group', 'non', 'compli', 'measur', 'get', 'fine', 'pap', 'ralli', 'walkabout', 'go']","i swear the double standards are annoying. group of more than 5 non complying to safe distancing measures will get fined, but all these PAP rallies and walkabouts going on????¿"
