,Post Description,Post Datetime,Comments,Comment Datetime,num_words
34,"Took my first dose of the Pfizer-BioNTech COVID-19 vaccination this morning at the National Centre of Infectious Diseases, @tantocksenghospital. Prior to getting the vaccination, I sat down with Dr Shawn Vasoo to run through the medical questionnaire. The vaccine is safe and effective, even for former stroke patients like myself.
 
During my East Coast Conversation with residents about Phase 3 on Sunday, vaccination was understandably the top discussion topic. We are progressively rolling out our national vaccination strategy in the coming weeks and months. I strongly encourage you to take it up when it becomes available to you. This will not only protect you, but also your loved ones and our community.",2021-01-20 11:16:45+00:00,"👍well done, even though you look a little nervous 😬",2021-01-21 08:06:21+00:00,9
35,"Took my first dose of the Pfizer-BioNTech COVID-19 vaccination this morning at the National Centre of Infectious Diseases, @tantocksenghospital. Prior to getting the vaccination, I sat down with Dr Shawn Vasoo to run through the medical questionnaire. The vaccine is safe and effective, even for former stroke patients like myself.
 
During my East Coast Conversation with residents about Phase 3 on Sunday, vaccination was understandably the top discussion topic. We are progressively rolling out our national vaccination strategy in the coming weeks and months. I strongly encourage you to take it up when it becomes available to you. This will not only protect you, but also your loved ones and our community.",2021-01-20 11:16:45+00:00,I noticed most of the politicians appear nervous with injection needles,2021-01-20 13:21:48+00:00,11
42,"The global scientific community has played a critical role in the fight against COVID-19, from the development of diagnostic tests and vaccines, to innovations to help all of us adapt to the crisis. Their continued research and innovations will be crucial in helping us overcome the pandemic and build back better from this crisis.⁣
⁣
Their individual efforts of scientists and researchers are greatly multiplied by working together. This is what we seek to do in Singapore — by strengthening global partnerships with partners from around the world. The Global Young Scientists Summit is an annual event we organised to do just that.⁣
⁣
I kicked off the 9th edition of the Summit this morning. Glad to have brought together 500 young scientists and researchers from 30 countries. We also welcome more than twenty distinguished speakers and panellists — who count among them Noble laureates, Fields medallists, Turing Award and Millennium Technology prize winners.⁣
⁣
I hope the young scientists will be inspired to further pursue their passion for science and technology and to push the frontiers of innovation. And I welcome our overseas participants to visit Singapore when air travel resumes.⁣
⁣
By working together, we can rebuild from this crisis, and create a better and brighter future for the world.⁣
⁣
#GYSS2021⁣
#ScientistsinSG",2021-01-12 06:11:24+00:00,Good to promote Young Scientists.,2021-01-14 09:57:58+00:00,5
46,"The global scientific community has played a critical role in the fight against COVID-19, from the development of diagnostic tests and vaccines, to innovations to help all of us adapt to the crisis. Their continued research and innovations will be crucial in helping us overcome the pandemic and build back better from this crisis.⁣
⁣
Their individual efforts of scientists and researchers are greatly multiplied by working together. This is what we seek to do in Singapore — by strengthening global partnerships with partners from around the world. The Global Young Scientists Summit is an annual event we organised to do just that.⁣
⁣
I kicked off the 9th edition of the Summit this morning. Glad to have brought together 500 young scientists and researchers from 30 countries. We also welcome more than twenty distinguished speakers and panellists — who count among them Noble laureates, Fields medallists, Turing Award and Millennium Technology prize winners.⁣
⁣
I hope the young scientists will be inspired to further pursue their passion for science and technology and to push the frontiers of innovation. And I welcome our overseas participants to visit Singapore when air travel resumes.⁣
⁣
By working together, we can rebuild from this crisis, and create a better and brighter future for the world.⁣
⁣
#GYSS2021⁣
#ScientistsinSG",2021-01-12 06:11:24+00:00,Always wanted to participate or volunteer in the GYSS. Great initiative to bring all the bright minds together..!,2021-01-12 10:15:36+00:00,18
48,"The global scientific community has played a critical role in the fight against COVID-19, from the development of diagnostic tests and vaccines, to innovations to help all of us adapt to the crisis. Their continued research and innovations will be crucial in helping us overcome the pandemic and build back better from this crisis.⁣
⁣
Their individual efforts of scientists and researchers are greatly multiplied by working together. This is what we seek to do in Singapore — by strengthening global partnerships with partners from around the world. The Global Young Scientists Summit is an annual event we organised to do just that.⁣
⁣
I kicked off the 9th edition of the Summit this morning. Glad to have brought together 500 young scientists and researchers from 30 countries. We also welcome more than twenty distinguished speakers and panellists — who count among them Noble laureates, Fields medallists, Turing Award and Millennium Technology prize winners.⁣
⁣
I hope the young scientists will be inspired to further pursue their passion for science and technology and to push the frontiers of innovation. And I welcome our overseas participants to visit Singapore when air travel resumes.⁣
⁣
By working together, we can rebuild from this crisis, and create a better and brighter future for the world.⁣
⁣
#GYSS2021⁣
#ScientistsinSG",2021-01-12 06:11:24+00:00,"Mr Heng, you are doing the right thing for Singapore 🇸🇬 SG 👏👏👏👏👏👏👏👏👏***",2021-01-12 09:43:39+00:00,11
52,"Today is the first day back at school for many students. For parents of Primary 1 students, I hope that your child is adapting to the school routine. 
 
It is also the first week of work for adults, including for Parliament. As I walked to Parliament House yesterday, the streets were noticeably busier as offices in the CBD resumed activities.
 
At Parliament yesterday, @gankimyong shared that more vaccine shipments are expected and there will be enough vaccines for all Singaporeans, PRs  and long-term residents by 3Q of 2021 if all goes to plan. @lawrencewongst explained how regular testing will be ramped up and will become a part of our lives during the pandemic.
 
This is how we started the year — with a dose of hope and a note of vigilance. And this is how we should approach the year ahead.
 
I wish everyone a happy start to the first week of 2021!",2021-01-05 03:01:23+00:00,Happy New Year! A Good Year Ahead!,2021-01-05 03:16:02+00:00,7
57,"Today is the first day back at school for many students. For parents of Primary 1 students, I hope that your child is adapting to the school routine. 
 
It is also the first week of work for adults, including for Parliament. As I walked to Parliament House yesterday, the streets were noticeably busier as offices in the CBD resumed activities.
 
At Parliament yesterday, @gankimyong shared that more vaccine shipments are expected and there will be enough vaccines for all Singaporeans, PRs  and long-term residents by 3Q of 2021 if all goes to plan. @lawrencewongst explained how regular testing will be ramped up and will become a part of our lives during the pandemic.
 
This is how we started the year — with a dose of hope and a note of vigilance. And this is how we should approach the year ahead.
 
I wish everyone a happy start to the first week of 2021!",2021-01-05 03:01:23+00:00,Hope n Victory for SG in 2021👏,2021-01-05 04:34:00+00:00,6
67,"We started our national COVID-19 vaccination programme today. 

Our healthcare workers at the National Centre for Infectious Diseases were the first to receive the Pfizer-BioNTech vaccine in Singapore. They will get their second dose in 21 days. We will progressively roll out our vaccination program to staff at public healthcare institutions and private hospitals. We aim to make vaccination available to the elderly from February next year.

This comes after the Government accepted all the recommendations of the Expert Committee on COVID-19 Vaccinations on Sunday. The vaccine will enable us to better protect ourselves and our loved ones. 

Let me take this opportunity to thank all our healthcare workers and frontline staff for your dedication and outstanding work in keeping all of us safe in Singapore.

(Senior staff nurse Sarah Lim was the first to receive the Pfizer BioNTech vaccine this morning. / MCI Photo by Lee Jia Wen)",2020-12-30 08:55:35+00:00,🙏🏻 deep appreciation for the vaccination rollout,2020-12-30 09:07:19+00:00,6
70,"We started our national COVID-19 vaccination programme today. 

Our healthcare workers at the National Centre for Infectious Diseases were the first to receive the Pfizer-BioNTech vaccine in Singapore. They will get their second dose in 21 days. We will progressively roll out our vaccination program to staff at public healthcare institutions and private hospitals. We aim to make vaccination available to the elderly from February next year.

This comes after the Government accepted all the recommendations of the Expert Committee on COVID-19 Vaccinations on Sunday. The vaccine will enable us to better protect ourselves and our loved ones. 

Let me take this opportunity to thank all our healthcare workers and frontline staff for your dedication and outstanding work in keeping all of us safe in Singapore.

(Senior staff nurse Sarah Lim was the first to receive the Pfizer BioNTech vaccine this morning. / MCI Photo by Lee Jia Wen)",2020-12-30 08:55:35+00:00,Very Good we have the COVID-19 vaccine and the frontline  medical personnel are getting it follow by the Singaporeans. 👍,2020-12-30 09:30:42+00:00,19
72,"We started our national COVID-19 vaccination programme today. 

Our healthcare workers at the National Centre for Infectious Diseases were the first to receive the Pfizer-BioNTech vaccine in Singapore. They will get their second dose in 21 days. We will progressively roll out our vaccination program to staff at public healthcare institutions and private hospitals. We aim to make vaccination available to the elderly from February next year.

This comes after the Government accepted all the recommendations of the Expert Committee on COVID-19 Vaccinations on Sunday. The vaccine will enable us to better protect ourselves and our loved ones. 

Let me take this opportunity to thank all our healthcare workers and frontline staff for your dedication and outstanding work in keeping all of us safe in Singapore.

(Senior staff nurse Sarah Lim was the first to receive the Pfizer BioNTech vaccine this morning. / MCI Photo by Lee Jia Wen)",2020-12-30 08:55:35+00:00,We are forever grateful to all our health care professionals and workers. They deserve to be protected first 🇸🇬.,2020-12-30 10:36:25+00:00,18
