,Post Description,Post Datetime,Comments,Comment Datetime,num_words
38,"Today marks the end of the fasting month of Ramadan for our Muslim friends.⠀
⠀
Usually, Tampines residents would come together to celebrate this special occasion with bazaars, performances, and other festive activities in our community. This year, due to COVID-19, we are celebrating a homely Hari Raya.⠀
⠀
As we celebrate Hari Raya, we celebrate the spirit of caring, giving, and togetherness — just like the spirit of #SGUnited and #SingaporeTogether.⠀
⠀
These are unprecedented and trying times for everyone. However, I am glad to see Singaporeans remain strong and resilient. Our Tampines residents have continued to help and care for those in need. Our Muslim community has also shown kindness and understanding, despite having to scale down on many of our activities during this period.⠀
⠀
Let us continue to stay home and stay safe during this period, so that we can look forward to celebrating many more special occasions with our families and friends!⠀
⠀
Selamat Hari Raya Aidilfitri to all Muslims in Singapore.⠀
⠀
- - - - - - - -⠀
⠀
Saya bangga penduduk Melayu/Islam kita telah menunjukkan kesabaran dan berdaya tahan bersama masyarakat Singapura yang lain dalam usaha menangani penularan COVID-19 ini.&nbsp;⠀
⠀
Meskipun suasana Raya tahun ini mungkin berlainan, namun ia tidak harus mematahkan semangat dan keceriaan kita menyambut bersama orang yang tersayang.⠀
⠀
Selamat Hari Raya Aidilfitri kepada semua penduduk Islam Singapura.",2020-05-23 00:19:16+00:00,💜 Blessed Eid Mubarak to my fellow Malay friends ⚪️,2020-05-23 00:21:36+00:00,8
41,"I recall fondly how I had a buka puasa with the community at @wgeylangserai at this time last year, followed by a visit to the Geylang Serai Bazaar. Earlier this evening, I joined @masagosz, @maliki_osman, leaders from our Malay/Muslim organisations, and community partners for an e-Buka Puasa instead, given our circuit breaker measures.⁣
⁣
WGS and MUIS organised this ‘live’ e-Buka Puasa on WGS’s Facebook Page, with chit-chat sessions and music performances.⁣
⁣
I thank all our Muslims for your understanding in making these difficult adjustments, while keeping the community spirit strong and supporting the fight against COVID-19. This care and togetherness is the very spirit of #SingaporeTogether.⁣
⁣
I hope our Muslim friends will have a good time with your families preparing to usher in Hari Raya over the next few days.⁣
⁣
- - - - - - - -⁣
⁣
Saya teringat pada tahun lalu saya berpeluang berbuka puasa di Wisma Geylang Serai (WGS) dan berkunjung ke bazar Hari Raya. Malam ini, ekoran langkah pemutus rantaian jangkitan, saya bersama Masagos Zulkifli, Dr Maliki Osman, dan para pemimpin serta rakan-rakan dari beberapa pertubuhan Melayu/Islam di Singapura mengikuti sesi e-Buka Puasa.⁣
⁣
WGS dengan kerjasama MUIS telah menganjurkan sesi e-Buka Puasa ini secara ‘live’ melalui laman Facebook WGS. Sesi ‘live’ ini juga padat dengan pelbagai persembahan dan sesi bersembang.⁣
⁣
Saya ingin mengucapkan terima kasih kepada rakan-rakan Muslim kita kerana membuat penyesuaian demi mengharungi cabaran COVID-19 bersama. Ini adalah semangat #SGTeguhBersatu.⁣
⁣
Semoga rakan-rakan Muslim kita ceria menyambut kedatangan Hari Raya disamping keluarga tersayang.⁣
⁣
#SGUnited",2020-05-21 13:15:00+00:00,"Encik Heng, ibu bapa saya kata makan di kedai Teh Tarik lebih sedap daripada kedai2 di Wisma. Awak pernah cuba?",2020-05-22 02:12:37+00:00,20
45,"We will be exiting the circuit breaker when it ends on 1 June. The number of new community cases is in the low single-digits, and our surveillance shows that the number of undetected cases in the community is small. While there are new cases in our migrant worker dormitories, the situation has stabilised.⁣
⁣
We are preparing to re-open some of our economic and social activities. But learning from the experience of other countries, this has to be done cautiously and gradually. If we re-open too quickly, we risk new waves of infection, which could be even more disruptive to lives and livelihoods. As announced by the Multi-Ministry Taskforce, we will be resuming social and economic activities in phases, with additional safeguards in place.⁣
⁣
I understand the disappointment of some businesses and workers who will not be able to resume activities immediately when the circuit breaker ends. For these workers and businesses, the Government will help tide you over this period of continued closure. I will announce the details in Parliament next Tuesday, 26 May.⁣
⁣
Medical experts have cautioned that this smart and agile virus will continue to be in our midst and in global circulation for some time to come. This is why all of us in Singapore and in the global community must not let our guard down. Some of the safe distancing measures will be here to stay. COVID-19 is changing our way of life and livelihoods. We must recognise that it is important for all of us to adjust our lifestyles and adapt our business models.⁣
⁣
I thank everyone in Singapore for your understanding and cooperation, as well as for your mutual care and concern for one other during this circuit breaker. Let’s continue to stay vigilant and civic-minded in the months ahead.⁣
⁣
#SGUnited",2020-05-19 12:01:41+00:00,"@hengsweekeat Sir, may I suggest to have guidelines for visiting family members from different households to wear mask, no sharing of food or utensils etc during visits to minimise transmission to our elders? For consideration pls🙏",2020-05-19 13:49:22+00:00,35
46,"We will be exiting the circuit breaker when it ends on 1 June. The number of new community cases is in the low single-digits, and our surveillance shows that the number of undetected cases in the community is small. While there are new cases in our migrant worker dormitories, the situation has stabilised.⁣
⁣
We are preparing to re-open some of our economic and social activities. But learning from the experience of other countries, this has to be done cautiously and gradually. If we re-open too quickly, we risk new waves of infection, which could be even more disruptive to lives and livelihoods. As announced by the Multi-Ministry Taskforce, we will be resuming social and economic activities in phases, with additional safeguards in place.⁣
⁣
I understand the disappointment of some businesses and workers who will not be able to resume activities immediately when the circuit breaker ends. For these workers and businesses, the Government will help tide you over this period of continued closure. I will announce the details in Parliament next Tuesday, 26 May.⁣
⁣
Medical experts have cautioned that this smart and agile virus will continue to be in our midst and in global circulation for some time to come. This is why all of us in Singapore and in the global community must not let our guard down. Some of the safe distancing measures will be here to stay. COVID-19 is changing our way of life and livelihoods. We must recognise that it is important for all of us to adjust our lifestyles and adapt our business models.⁣
⁣
I thank everyone in Singapore for your understanding and cooperation, as well as for your mutual care and concern for one other during this circuit breaker. Let’s continue to stay vigilant and civic-minded in the months ahead.⁣
⁣
#SGUnited",2020-05-19 12:01:41+00:00,"Thank You Mr Heng and your Team for keeping Spore safe and extending help to keep jobs and businesses. Opening up of pre-schools, perhaps should be reconsidered seriously. Reasons: 1. These very young children do not have exam pressure, 2. At this young age, they cannot take care of themselves by wearing face masks properly or keeping hygienic. 3. The teachers do not have the time to look into taking care of each kid. 4. Many grand parents, parents or helpers will congregate to fetch them to and fro. 5.Those children without pte pick up need the school buses to fetch them. Usually buses need an optimum passenger load. Also frequent disinfecting of buses and school areas cannot be guaranteed. 6. Many such young children are prone to flu, cough and fever during normal times, hence covid-19 is even more critical to keep them safe from crowds.",2020-05-19 13:52:00+00:00,140
47,"We will be exiting the circuit breaker when it ends on 1 June. The number of new community cases is in the low single-digits, and our surveillance shows that the number of undetected cases in the community is small. While there are new cases in our migrant worker dormitories, the situation has stabilised.⁣
⁣
We are preparing to re-open some of our economic and social activities. But learning from the experience of other countries, this has to be done cautiously and gradually. If we re-open too quickly, we risk new waves of infection, which could be even more disruptive to lives and livelihoods. As announced by the Multi-Ministry Taskforce, we will be resuming social and economic activities in phases, with additional safeguards in place.⁣
⁣
I understand the disappointment of some businesses and workers who will not be able to resume activities immediately when the circuit breaker ends. For these workers and businesses, the Government will help tide you over this period of continued closure. I will announce the details in Parliament next Tuesday, 26 May.⁣
⁣
Medical experts have cautioned that this smart and agile virus will continue to be in our midst and in global circulation for some time to come. This is why all of us in Singapore and in the global community must not let our guard down. Some of the safe distancing measures will be here to stay. COVID-19 is changing our way of life and livelihoods. We must recognise that it is important for all of us to adjust our lifestyles and adapt our business models.⁣
⁣
I thank everyone in Singapore for your understanding and cooperation, as well as for your mutual care and concern for one other during this circuit breaker. Let’s continue to stay vigilant and civic-minded in the months ahead.⁣
⁣
#SGUnited",2020-05-19 12:01:41+00:00,"Thank for having the heart for our people and for the lower income families.Please ensure all these families and their children get the care, support and reliefs that they need badly, especially now. 🙏🏻",2020-05-19 13:55:40+00:00,32
48,"We will be exiting the circuit breaker when it ends on 1 June. The number of new community cases is in the low single-digits, and our surveillance shows that the number of undetected cases in the community is small. While there are new cases in our migrant worker dormitories, the situation has stabilised.⁣
⁣
We are preparing to re-open some of our economic and social activities. But learning from the experience of other countries, this has to be done cautiously and gradually. If we re-open too quickly, we risk new waves of infection, which could be even more disruptive to lives and livelihoods. As announced by the Multi-Ministry Taskforce, we will be resuming social and economic activities in phases, with additional safeguards in place.⁣
⁣
I understand the disappointment of some businesses and workers who will not be able to resume activities immediately when the circuit breaker ends. For these workers and businesses, the Government will help tide you over this period of continued closure. I will announce the details in Parliament next Tuesday, 26 May.⁣
⁣
Medical experts have cautioned that this smart and agile virus will continue to be in our midst and in global circulation for some time to come. This is why all of us in Singapore and in the global community must not let our guard down. Some of the safe distancing measures will be here to stay. COVID-19 is changing our way of life and livelihoods. We must recognise that it is important for all of us to adjust our lifestyles and adapt our business models.⁣
⁣
I thank everyone in Singapore for your understanding and cooperation, as well as for your mutual care and concern for one other during this circuit breaker. Let’s continue to stay vigilant and civic-minded in the months ahead.⁣
⁣
#SGUnited",2020-05-19 12:01:41+00:00,Pre-Schoolers can be under later phases instead of rushing them for the 1st phase. The older kids that have exam pressure are old enough to follow certain safety measures. It is not prudent to start pre-school during the 1st phase. Safety over-rides such early education,2020-05-19 13:56:46+00:00,40
50,"We will be exiting the circuit breaker when it ends on 1 June. The number of new community cases is in the low single-digits, and our surveillance shows that the number of undetected cases in the community is small. While there are new cases in our migrant worker dormitories, the situation has stabilised.⁣
⁣
We are preparing to re-open some of our economic and social activities. But learning from the experience of other countries, this has to be done cautiously and gradually. If we re-open too quickly, we risk new waves of infection, which could be even more disruptive to lives and livelihoods. As announced by the Multi-Ministry Taskforce, we will be resuming social and economic activities in phases, with additional safeguards in place.⁣
⁣
I understand the disappointment of some businesses and workers who will not be able to resume activities immediately when the circuit breaker ends. For these workers and businesses, the Government will help tide you over this period of continued closure. I will announce the details in Parliament next Tuesday, 26 May.⁣
⁣
Medical experts have cautioned that this smart and agile virus will continue to be in our midst and in global circulation for some time to come. This is why all of us in Singapore and in the global community must not let our guard down. Some of the safe distancing measures will be here to stay. COVID-19 is changing our way of life and livelihoods. We must recognise that it is important for all of us to adjust our lifestyles and adapt our business models.⁣
⁣
I thank everyone in Singapore for your understanding and cooperation, as well as for your mutual care and concern for one other during this circuit breaker. Let’s continue to stay vigilant and civic-minded in the months ahead.⁣
⁣
#SGUnited",2020-05-19 12:01:41+00:00,Let's go let's go! As One Singapore,2020-05-19 14:55:24+00:00,5
51,"We will be exiting the circuit breaker when it ends on 1 June. The number of new community cases is in the low single-digits, and our surveillance shows that the number of undetected cases in the community is small. While there are new cases in our migrant worker dormitories, the situation has stabilised.⁣
⁣
We are preparing to re-open some of our economic and social activities. But learning from the experience of other countries, this has to be done cautiously and gradually. If we re-open too quickly, we risk new waves of infection, which could be even more disruptive to lives and livelihoods. As announced by the Multi-Ministry Taskforce, we will be resuming social and economic activities in phases, with additional safeguards in place.⁣
⁣
I understand the disappointment of some businesses and workers who will not be able to resume activities immediately when the circuit breaker ends. For these workers and businesses, the Government will help tide you over this period of continued closure. I will announce the details in Parliament next Tuesday, 26 May.⁣
⁣
Medical experts have cautioned that this smart and agile virus will continue to be in our midst and in global circulation for some time to come. This is why all of us in Singapore and in the global community must not let our guard down. Some of the safe distancing measures will be here to stay. COVID-19 is changing our way of life and livelihoods. We must recognise that it is important for all of us to adjust our lifestyles and adapt our business models.⁣
⁣
I thank everyone in Singapore for your understanding and cooperation, as well as for your mutual care and concern for one other during this circuit breaker. Let’s continue to stay vigilant and civic-minded in the months ahead.⁣
⁣
#SGUnited",2020-05-19 12:01:41+00:00,"Instead of keeping individual small businesses closed, you should look at the crowd flow of areas like supermarkets and departmental stores with narrow corridors where we already had a cluster in Mustafa! I went to buy some food and did you see the crowd. Do you even know? You allow pet grooming but not aesthetics and facials. You have all hair services but not facial or many others. I really think your team haven’t thought this through carefully and it’s extremely disappointing. And btw your 75% doesn’t help as we have to pay the rest and are made to pay the foreign workers at least 75% too! Listen to the ground. There is a lot of unhappiness from your poorly thought through plan. Pls reconsider what you are doing and think for a moment where the main spread has been before targeting the wrong groups that have been working so hard to be safe!",2020-05-19 15:22:38+00:00,155
53,"We will be exiting the circuit breaker when it ends on 1 June. The number of new community cases is in the low single-digits, and our surveillance shows that the number of undetected cases in the community is small. While there are new cases in our migrant worker dormitories, the situation has stabilised.⁣
⁣
We are preparing to re-open some of our economic and social activities. But learning from the experience of other countries, this has to be done cautiously and gradually. If we re-open too quickly, we risk new waves of infection, which could be even more disruptive to lives and livelihoods. As announced by the Multi-Ministry Taskforce, we will be resuming social and economic activities in phases, with additional safeguards in place.⁣
⁣
I understand the disappointment of some businesses and workers who will not be able to resume activities immediately when the circuit breaker ends. For these workers and businesses, the Government will help tide you over this period of continued closure. I will announce the details in Parliament next Tuesday, 26 May.⁣
⁣
Medical experts have cautioned that this smart and agile virus will continue to be in our midst and in global circulation for some time to come. This is why all of us in Singapore and in the global community must not let our guard down. Some of the safe distancing measures will be here to stay. COVID-19 is changing our way of life and livelihoods. We must recognise that it is important for all of us to adjust our lifestyles and adapt our business models.⁣
⁣
I thank everyone in Singapore for your understanding and cooperation, as well as for your mutual care and concern for one other during this circuit breaker. Let’s continue to stay vigilant and civic-minded in the months ahead.⁣
⁣
#SGUnited",2020-05-19 12:01:41+00:00,👏👏👏thank sir and your efforts sir,2020-05-19 16:49:34+00:00,6
54,"We will be exiting the circuit breaker when it ends on 1 June. The number of new community cases is in the low single-digits, and our surveillance shows that the number of undetected cases in the community is small. While there are new cases in our migrant worker dormitories, the situation has stabilised.⁣
⁣
We are preparing to re-open some of our economic and social activities. But learning from the experience of other countries, this has to be done cautiously and gradually. If we re-open too quickly, we risk new waves of infection, which could be even more disruptive to lives and livelihoods. As announced by the Multi-Ministry Taskforce, we will be resuming social and economic activities in phases, with additional safeguards in place.⁣
⁣
I understand the disappointment of some businesses and workers who will not be able to resume activities immediately when the circuit breaker ends. For these workers and businesses, the Government will help tide you over this period of continued closure. I will announce the details in Parliament next Tuesday, 26 May.⁣
⁣
Medical experts have cautioned that this smart and agile virus will continue to be in our midst and in global circulation for some time to come. This is why all of us in Singapore and in the global community must not let our guard down. Some of the safe distancing measures will be here to stay. COVID-19 is changing our way of life and livelihoods. We must recognise that it is important for all of us to adjust our lifestyles and adapt our business models.⁣
⁣
I thank everyone in Singapore for your understanding and cooperation, as well as for your mutual care and concern for one other during this circuit breaker. Let’s continue to stay vigilant and civic-minded in the months ahead.⁣
⁣
#SGUnited",2020-05-19 12:01:41+00:00,🇸🇬🇸🇬🇸🇬🇸🇬🇸🇬🇸🇬🇸🇬🇸🇬🏆🏆🏆🏆🏆🏆🏆🏆 Thank you Sir and your Team for all the great support and we shall abide all the rules and guidelines for our good sake and for our SG UNITED 💖 We are all very Blessed 🇸🇬💖,2020-05-19 18:40:10+00:00,34
