,Post Description,Post Datetime,Comments,Comment Datetime,num_words
20,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,Thank you PM Lee for this voucher. Will use this voucher to explore more about Singapore n boost local tours n attractions. Take care of your health and stay healthy and happy always,2020-12-05 07:31:07+00:00,33
22,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,I miss Singapore so much 🥺When will SG reopen to foreigners?🥺,2020-12-12 09:26:25+00:00,11
23,"One of the hardest-hit industries is tourism. We introduced the #SingapoRediscovers vouchers to give tourist businesses a hand. This December when more of us are taking leave, do visit our local attractions and help them tide through this difficult period. Hopefully, after the pandemic passes, we can all enjoy them to the fullest again.

Starting today, all Singaporeans aged 18 and above will receive $100 worth of SingapoRediscovers Vouchers, that they can spend at local hotels, attractions and tours. Find out more here: https://go.gov.sg/srvouchers

– LHL

(Photo by me)",2020-12-01 09:09:12+00:00,"Thanks for the SG rediscovers vouchers to explore green, existing n beautiful SG ...",2020-12-31 02:33:13+00:00,13
25,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,Hey mr lee pls like my comment???,2020-11-20 11:50:14+00:00,7
26,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,"Other people's parents go USS, my batch go open house",2020-11-20 12:32:23+00:00,9
27,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,what school holiday so much homework,2020-11-20 12:58:06+00:00,6
28,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,"Yes, sometimes is good to look closer as we have missed out a lot of good and nice things within distance. However, I am still feeling appreciative that we are still in good hands in Singapore and let’s continue to stay united and cooperative!",2020-11-20 13:35:32+00:00,45
30,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,Can we make cat girls?,2020-11-20 15:26:03+00:00,5
31,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,Two more years of staying home in Singapore for holidays ??,2020-11-20 15:44:17+00:00,10
32,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,"PM Sir, the students deserve a pat on the back for their attitude towards these difficult times where their adaptation is commendable and their Perseverance is remarkable. In addition, a very dependable government for turning things around when we were at our all time low.👏",2020-11-21 00:28:13+00:00,45
34,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,"Yes,correct to use these words , stay safe and healthy always.",2020-11-21 06:32:03+00:00,11
35,"The year-end school holidays are finally here! I am sure teachers and students have been eagerly looking forward to this after a tumultuous year. I commend everyone for making the best of the disruptions caused by COVID-19, and ensuring that learning carries on.⠀
⠀
We can’t travel overseas for a while yet. I hope you will take a closer look and “rediscover” the sights and sounds of Singapore, particularly with the SingapoRediscovers vouchers available from next month. However you choose to spend your break, I wish you a safe and healthy holiday period! – LHL⠀
⠀
(Photo by me)",2020-11-20 04:08:05+00:00,Best leadership in the world. Thank you PM,2020-11-21 17:34:40+00:00,8
38,"Our people’s spirit of fortitude in the face of the COVID-19 crises is captured movingly in this series of @gov.sg videos.
⠀⠀⠀⠀⠀⠀⠀
Many Singaporeans have had to take up new jobs, transform their businesses, and adapt to the new normal. Amidst these personal changes, they have shown empathy and extended a helping hand to others. This solidarity and perseverance in times of adversity defines our Singapore spirit.
⠀⠀⠀⠀⠀⠀⠀
COVID-19 is this generation’s crisis. It is upon us to prove our mettle, and carry on our forebears’ spirit of resilience as we overcome the odds ahead. The government has implemented support schemes and packages, and will make every effort to ensure that no one gets left behind. One day we’ll look back and see how far we have come, and how much stronger we have become as one Singapore. – LHL
⠀⠀⠀⠀⠀⠀⠀
#SGUnited⠀⠀⠀⠀⠀⠀⠀
#SingaporeTogether⠀⠀⠀⠀⠀⠀⠀",2020-06-13 05:58:04+00:00,"PM Lee, and your team. Thank you for all the hard work and leadership during this crisis. Together we will overcome. Praying for our country and your team. Take care and stay safe.",2020-06-15 01:38:12+00:00,33
48,"COVID-19 has forced us to adapt to a new normal. During this circuit breaker, many of us have gotten used to a new normal of telecommuting and ordering goods online. This has increased demand, and created new opportunities for business. Some industries, like retail, may never be quite the same again.
⠀⠀⠀⠀⠀⠀⠀
This has been happening all along, though not so suddenly as now. New industries are constantly emerging, and we must be ready for them. 50 years ago who could have imagined a job as a social media manager, or in biotech?
⠀⠀⠀⠀⠀⠀⠀
I said in my #MayDay speech yesterday that we are determined to help companies prepare for the new operating environment, and to retrain workers for the new jobs available. We can’t save every job, but we will look after every worker, and their families too.
⠀⠀⠀⠀⠀⠀⠀
I wish everyone a safe and meaningful #LabourDay. – LHL
⠀⠀⠀⠀⠀⠀⠀
#SGUnited
#SingaporeTogether
#EveryWorkerMatters
⠀⠀⠀⠀⠀⠀⠀
(A shuttered shop in Orchard Road at the beginning of the circuit breaker period. / MCI Photo by Fyrol)⠀⠀⠀⠀⠀⠀⠀",2020-05-01 01:33:57+00:00,Gi mati ah cina bangsa korang ni,2020-05-03 12:14:28+00:00,7
