,temp,text,time,comments,url,postid,
1,3.36E+15,"Yesterday, I paid an e-visit to the teams handling our COVID-19 testing efforts. Testing is a critical part of our strategy to control COVID-19, and the teams have been busy organising and running this.

This huge and complicated operation depends on many individuals all doing their part so that the testing runs smoothly. It is not just getting the swab done, but being on the front line, taking all the precautions and doing the procedures right. It is hard work and I thank all of you who are making this possible.

As we start Phase 2 of our re-opening on 19 June, we are also ramping up testing capacity so that we can safely and progressively resume work and social activities in the COVID world.

To win this battle, we need everyone to continue doing our part by practising safe distancing and good personal hygiene. Let us make a safe and steady transition to Phase 2! â€“ LHL

#SGUnited

(MCI Photos by Terence Tan and Fyrol)",17/6/2020 9:37,546,https://facebook.com/leehsienloong/posts/3359695137426502,33596951,37426500
1,3.32E+15,"Term 3 of the school year started today. For many students, it was the first time back in school after almost two months â€” students did Home Based Learning when the circuit breaker began in April, and had their mid-year school holidays in May. Iâ€™m sure many of you were excited to see friends and teachers again!

HBL had become the â€˜new normalâ€™ during the circuit breaker. Today as we start Phase 1 of our safe opening, there will be yet another â€˜new normalâ€™. Students and teachers returned to a different environment than when they were last in school.

Parents will understandably be anxious for their children. Rest assured that the Ministry of Education, Singapore has taken comprehensive measures to keep students, teachers, and staff safe. We will take time to get used to the precautions, but they are necessary to protect everyone. Meanwhile, we are watching the situation closely, and will do everything necessary to gradually resume our normal activities while keeping teachers and students safe. â€“ LHL

(Xingnan Primary School students queueing up to wash their hands in their classroom. / MOE Photo)",6/2/2020 18:38,201,https://facebook.com/leehsienloong/posts/3319022564827093,33190225,64827090
1,3.32E+15,"Tomorrow, we will be lifting some circuit breaker measures. A big relief to all, but certainly not without its risks.

The number of daily cases in the community has come down considerably. More patients have now recovered and been discharged, than are still receiving care. But COVID-19 is far from defeated.

I know many of you are looking forward to seeing your friends in school again, or visiting parents and grandparents. But we must remain cautious and vigilant.

Please keep your guard up. Maintain safe distancing, wear masks when outdoors and at work, watch your personal hygiene and wash hands frequently. Avoid crowds and gatherings. If we all do this, then life can go on more or less normally after the circuit breaker. We donâ€™t want COVID-19 cases to spike up again, and be forced to tighten up once more.

Dealing with COVID-19 is a marathon, not a sprint. Even after a vaccine is found, everything will not simply go back to the way it was before. COVID-19 has exposed how vulnerable our way of life is. But it has also given us the opportunity to prove our mettle, and come back stronger.

As we end this circuit breaker, I thank everyone again for playing your part, so that we can now reopen safely. We must all keep at it together. Do not allow the sacrifices of our healthcare workers and others who have kept Singapore running to be in vain. â€“ LHL

(MCI Photo by Terence Tan)

#SGUnited",6/1/2020 18:01,1097,https://facebook.com/leehsienloong/posts/3316216415107708,33162164,15107700
1,3.31E+15,"Glad that the late Brother Kumar (G Muthukumarasamy) has been conferred a Comrade of Labour (Star) (Bar) (Posthumous) at this yearâ€™s May Day Awards in recognition of his many contributions to workers and the labour movement. Brother Kumar was a former General Secretary of the Amalgamated Union of Public Daily Rated Workers. He passed away last November at age 68.

Three veteran trade unionists were also conferred the Comrade of Labour (Star) (Bar) accolade, the highest award category for unionists this year â€” Brother Karthikeyan Krishnamurthy, Executive Secretary, United Workers Of Petroleum Industry (UWPI Singapore); Brother Tan Hock Soon, General Secretary, FDAWU - Food, Drinks and Allied Workers Union; and Brother Toh Hock Poh, Consultant, Metal Industries Workers' Union (MIWU). All three remain involved in union work, drawing upon decades of experience to help brothers and sisters tackle current challenges.

COVID-19 has created an extremely challenging environment for workers and businesses. We will be progressively re-opening our economy and easing circuit breaker measures after 1 June. Our tripartite partnership â€” of government, the Labour Movement and NTUC Singapore, and employers â€” must work harder and more closely than ever to support workers and businesses. Recovery will be long and hard, but I am confident that together, we can overcome our difficulties.

Congratulations to all award recipients: go.gov.sg/mda2020citations! Thank you for your distinguished services to the unions and workers, and may it spur you on to greater contributions. â€“ LHL

#SGUnited
#EveryWorkerMatters

(Wefie with Brother Kumar taken at the NTUC National Delegates Conference in October 2019. / Photo by me)",30/5/2020 15:01,206,https://facebook.com/leehsienloong/posts/3310757092320307,33107570,92320300
1,3.31E+15,"Took this picture of otters frolicking on a #jalanjalan at the Singapore Botanic Gardens in March. Our otters have been in the news recently, venturing beyond their usual haunts with lower human traffic during the circuit breaker. In the face of climate change and urbanisation, we will continue to expand and enhance our green spaces, and protect our native biodiversity. Rather than being focused on protecting â€œterritoryâ€, we must find ways to coexist and thrive with our local flora and fauna. â€“ LHL

(Photo by me)",29/5/2020 10:00,322,https://facebook.com/leehsienloong/posts/3307693472626669,33076982,35959520
1,3.28E+15,"Yesterday, the COVID-19 Taskforce described how we will progressively ease restrictions after the circuit breaker ends on 1 June.

I am sure everyone is looking forward to getting back to normal â€“ sending our kids back to school, re-opening businesses, eating out with friends, and finally being able to visit family and loved ones.

However, we canâ€™t revert to status quo ante. The circuit breaker has worked, and our situation is improving. But the battle against COVID-19 is far from over. That is why we are reopening in gradual phases, with F&B dine-ins only allowed after we are confident that community transmission will stay low. We have seen other countries that have opened up experiencing a resurgence of cases. All it takes is a single infected person to create a new cluster.

We cannot stay closed forever, so we have to get used to a new normal, adjusting our routines to live and work safely despite this global pandemic. Let us continue working together to keep COVID-19 at bay. We will emerge stronger from this experience. â€“ LHL

#SGUnited
#SingaporeTogether

CHANNELNEWSASIA.COM
Singapore to exit circuit breaker on Jun 1, visiting of parents, places of worship allowed with restrictions",20/5/2020 14:33,442,https://facebook.com/leehsienloong/posts/3284905518238798,32849055,18238790
1,3.27E+15,"Itâ€™s been more than a month since we began our circuit breaker and our city looks very different these days. This The Straits Times drone video gives an intriguing view of a city on pause â€” the streets and neighbourhoods look familiar and yet not.

This circuit breaker has been tough on everyone, but Iâ€™m glad most have heeded the rules and stayed home. Thanks to our collective efforts and responsibility, community infections have come down sharply. Letâ€™s keep it up! â€“ LHL

#SGUnited
#SingaporeTogether

The Straits Times
15 May 2020 at 08:57 Â·

A city comes to a standstill as Singapore goes into Covid-19 circuit breaker mode. This drone footage shows the country like you've never seen it before. https://str.sg/JAYw",15/5/2020 22:21,282,https://facebook.com/leehsienloong/posts/3271004052962278,32710040,52962270
1,3.24E+15,"The mid-year school holidays start today. Ministry of Education, Singapore decided to bring this forward by a month, to give a break to teachers, parents, students and family members who have had to adjust to home-based learning during the circuit breaker period.

You may not be able to head outside yet, but I hope families will use this time to bond over activities at home. MOE is posting a stay-home activity idea on their Facebook Page every day. National Library Board, Singapore librarians are holding weekday storytelling sessions for young children in the four languages on Facebook (https://go.gov.sg/41j0t4).

Some students taking their national exams this year will be returning to school on 19 May. But for the rest, as and when schools can safely reopen, I am sure everyone is looking forward to seeing their classmates and teachers in person again. â€“ LHL

#SGUnited

Ministry of Education, Singapore
1 May 2020 at 12:00 Â·

The past few weeks of full Home-Based Learning has been an intense period. The learning curve has been steep for everyone. The brought-forward mid-year school holiday will let everyone have a break, as we look forward to a safe opening of schools in June.

Even as we stay home, there are still many things we can try out, and encourage our friends and family to do so too. Here are some suggestions to keep the younger ones occupied.

Next week, we will be posting one stay-home activity idea a day â€“ so look out for them!

#stayhomeforSG #SGUnited #SingaporeTogether",5/5/2020 10:03,132,https://facebook.com/leehsienloong/posts/3243873485675335,32438734,85675330
1,3.24E+15,"Gan Kim Yong, Lawrence Wong and Josephine Teo updated Parliament on the COVID-19 situation today.

We are in the second week of the tightened circuit breaker measures. We see positive signs the measures have reduced transmission of the disease, but we must not let our guard down prematurely. We have to step up testing of vulnerable groups like the elderly in nursing homes, and continue to look after our migrant workers who have been deeply affected by this.

We are closely watching the experience of other countries which have begun to open up. We are constantly reviewing and updating our practices to keep our people safe. It will not be easy, but let us help one other adjust and learn new behaviours and skills.

We have surprised ourselves with our Singapore Spirit. Volunteers are contributing their time, energy and resources to help those in need, while public officers have stepped out of their comfort zones to take up new frontline responsibilities. Private sector firms have also contributed greatly by providing equipment for essential services, as well as staff to fill in the gaps.

Everyone is adjusting to working, learning, living, and playing in a COVID-19 world. We have a long journey ahead, but if we continue to work together, I am confident we will come through and emerge stronger. â€“ LHL

#SGUnited
#SingaporeTogether

YOUTUBE.COM
Effort to tackle COVID-19 in Singapore: a shining example of SG United",5/4/2020 21:38,295,https://facebook.com/leehsienloong/posts/3242533545809329,32425335,45809320
1,3.22E+15,"Spoke with PM Narendra Modi on the phone this evening. We discussed the COVID-19 situations in our two countries. Singapore is in the midst of the circuit breaker. India implemented a nationwide lockdown since late March, not a simple decision in a huge country of 1.3 billion people.

I thanked PM Modi for Indiaâ€™s help when we brought home some Singaporeans from India recently. I assured him that we will care for Indian migrant workers here, just as we care for Singaporeans. The migrant workers made personal sacrifices to come to work here. They have made many contributions to Singapore, so we have a responsibility for them.

Appreciate PM Modiâ€™s affirmation of our efforts in looking after the migrant workers, and his assurance that they will not forget this.

India and Singapore are strategic partners with extensive economic ties. We agreed to work together on the challenges posed by the pandemic, keep supply chains intact, and keep essential supplies flowing. â€“ LHL

(PM Modiâ€™s official visit to Singapore in June 2018. / MCI Photo by Kenji Soon)",23/4/2020 21:29,1178,https://facebook.com/leehsienloong/posts/3215378721858145,32153787,21858140
