,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
241,241,117,_kawaii.usagi_,Spreading corona with that shit if cinemas lazy to disinfect,"['spread', 'corona', 'shit', 'cinema', 'lazi', 'disinfect']",Spreading corona with that shit if cinemas lazy to disinfect
242,242,118,araquielarts,I guess at least they'll know where I went if I go missing under mysterious circumstances.,"['guess', 'least', 'know', 'went', 'go', 'miss', 'mysteri', 'circumst']",I guess at least they'll know where I went if I go missing under mysterious circumstances.
243,243,119,moses_aqx,North Koreans: we don't even have to try,"['north', 'korean', 'even', 'tri']",North Koreans: we don't even have to try
244,244,120,t.huitingg,@reus_tan,[],@reus_tan
245,245,121,legendaryonionring,tracing is government sus tactic,"['trace', 'govern', 'su', 'tactic']",tracing is government sus tactic
246,246,122,_the_most_trusted_,"нєℓℓσ ι'м σℓ∂ мσиєу ¢σℓℓє¢тσя αи∂ ι ʝυѕт ωαииα ιиfσямє∂ уσυ тσ ρм мє вα¢к ιf уσυ нανє σℓ∂ мαℓαуѕιαи, ∂υвαι, υαє,ѕιиgαρσяє,вяυиєι,¢нιиα ¢σιи,σℓ∂ ʝυяιєѕ,σℓ∂ ℓαмρ σя иσтє fσя ѕαℓє!!!! ?????????? ✅✅✅✅",[],"нєℓℓσ ι'м σℓ∂ мσиєу ¢σℓℓє¢тσя αи∂ ι ʝυѕт ωαииα ιиfσямє∂ уσυ тσ ρм мє вα¢к ιf уσυ нανє σℓ∂ мαℓαуѕιαи, ∂υвαι, υαє,ѕιиgαρσяє,вяυиєι,¢нιиα ¢σιи,σℓ∂ ʝυяιєѕ,σℓ∂ ℓαмρ σя иσтє fσя ѕαℓє!!!! ?????????? :check_mark_button::check_mark_button::check_mark_button::check_mark_button:"
247,247,123,ichelodier,lol have fun getting tracked by the government,"['lol', 'fun', 'get', 'track', 'govern']",lol have fun getting tracked by the government
248,248,124,woofiee._,B,['b'],B
249,249,125,scammerdanielfong,VIEW MY PROFILE FOR SG TOP STUDENT SCAM. Like this comment to raise awareness,"['view', 'profil', 'sg', 'top', 'student', 'scam', 'like', 'comment', 'rais', 'awar']",VIEW MY PROFILE FOR SG TOP STUDENT SCAM. Like this comment to raise awareness
250,250,126,midnightshadow_lim,Mugen Train,"['mugen', 'train']",Mugen Train
