,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
32,32,8,psycicurry,@ianpayamel @vivroooom @et8hn,[],@ianpayamel @vivroooom @et8hn
33,33,9,_y.wnqng_,"Just print out signs la, y’all got one hand to toss another just raise a sign lor with all the auspicious words","['print', 'sign', 'la', 'got', 'one', 'hand', 'toss', 'anoth', 'rais', 'sign', 'lor', 'auspici', 'word']","Just print out signs la, y’all got one hand to toss another just raise a sign lor with all the auspicious words"
34,34,10,sabbwie,HAHAHAHAHAHA @ven.etiaa,['hahahahahaha'],HAHAHAHAHAHA @ven.etiaa
35,35,11,lavendercloudx,Literally unhygienic to do this even if wearing mask 🤢🤢🤢🤮🤮🤮,"['liter', 'unhygien', 'even', 'wear', 'mask']",Literally unhygienic to do this even if wearing mask :nauseated_face::nauseated_face::nauseated_face::face_vomiting::face_vomiting::face_vomiting:
36,36,12,chalic.e,have always been silent during the auspicious phrases part anyway HAHA 😢😢,"['alway', 'silent', 'auspici', 'phrase', 'part', 'anyway', 'haha']",have always been silent during the auspicious phrases part anyway HAHA :crying_face::crying_face:
37,37,13,mightydragon,Do it at home then 🙄,['home'],Do it at home then :face_with_rolling_eyes:
38,38,14,kirbywitaknif,安安静静,[],安安静静
39,39,15,goldenkuroo_,THE SGAG ONE WAS BEFORE THIS AHHAHAHAHA,"['sgag', 'one', 'ahhahahaha']",THE SGAG ONE WAS BEFORE THIS AHHAHAHAHA
40,40,16,nineofsep,@sarahtsh_,[],@sarahtsh_
41,41,17,heyooo_itz_claire_here,Walao then at home still need wear mask ah,"['walao', 'home', 'still', 'need', 'wear', 'mask', 'ah']",Walao then at home still need wear mask ah
42,42,18,janetay56,no diff I have never shouted the words out loud and I think the shouting is awkward af,"['diff', 'never', 'shout', 'word', 'loud', 'think', 'shout', 'awkward', 'af']",no diff I have never shouted the words out loud and I think the shouting is awkward af
43,43,19,imaduckwhowantsgrapes,Wait then can shout inauspicious phrases or not,"['wait', 'shout', 'inauspici', 'phrase']",Wait then can shout inauspicious phrases or not
44,44,0,rukky_kesh,"Lockdown is fun when you have a side income,it’s a good thing bitcoin is doing fine ! Thanks to @camille_binary_trade 15,450 USD in January stay safe","['lockdown', 'fun', 'side', 'incom', 'good', 'thing', 'bitcoin', 'fine', 'thank', 'usd', 'januari', 'stay', 'safe']","Lockdown is fun when you have a side income,it’s a good thing bitcoin is doing fine ! Thanks to @camille_binary_trade 15,450 USD in January stay safe"
45,45,1,cindytanks,😂😂,[],:face_with_tears_of_joy::face_with_tears_of_joy:
46,46,2,christinaswq,Queue outside the door,"['queue', 'outsid', 'door']",Queue outside the door
47,47,3,wengieloh,"Wait till 12midnight then enter lor. LOL ""next legal day"" police can do nothing ! lol","['wait', 'till', 'enter', 'lor', 'lol', 'next', 'legal', 'day', 'polic', 'noth', 'lol']","Wait till 12midnight then enter lor. LOL ""next legal day"" police can do nothing ! lol"
48,48,4,aimieee_tenzinchoying,😂,[],:face_with_tears_of_joy:
49,49,5,faithfulservantofchrist,Very unlikely we will follow the protocols CNY is a yearly affair,"['unlik', 'follow', 'protocol', 'cni', 'yearli', 'affair']",Very unlikely we will follow the protocols CNY is a yearly affair
50,50,6,fakyooj,knnbccbljpbk now i ang bao only 14 dollar,"['knnbccbljpbk', 'ang', 'bao', 'dollar']",knnbccbljpbk now i ang bao only 14 dollar
51,51,7,mega_1487,🤣🤣,[],:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
52,52,8,_jovan.__,Say your greetings along the corridor😂 & angbao put outside the house,"['say', 'greet', 'along', 'corridor', 'angbao', 'put', 'outsid', 'hous']",Say your greetings along the corridor:face_with_tears_of_joy: & angbao put outside the house
53,53,9,mal.53512,Kenapa sayang air mata berlinang.....,"['kenapa', 'sayang', 'air', 'mata', 'berlinang']",Kenapa sayang air mata berlinang.....
54,54,10,mal.53512,😍❤️😍,[],:smiling_face_with_heart-eyes::red_heart::smiling_face_with_heart-eyes:
55,55,11,rae_ariadne,Unless someone snitches..,"['unless', 'someon', 'snitch']",Unless someone snitches..
56,56,12,khatibjudgycat,meoooowww meow 😿,"['meoooowww', 'meow']",meoooowww meow :crying_cat:
57,57,13,freshjooze,"expect people gathering and waiting for their turn to go up to the unit to visit.. if one cant break the system, they bend the system","['expect', 'peopl', 'gather', 'wait', 'turn', 'go', 'unit', 'visit', 'one', 'cant', 'break', 'system', 'bend', 'system']","expect people gathering and waiting for their turn to go up to the unit to visit.. if one cant break the system, they bend the system"
58,58,14,iamdatzme,"Then pls implement 8 pax per bus, train, office, classroom, supermarket.... etc!!!","['pl', 'implement', 'pax', 'per', 'bu', 'train', 'offic', 'classroom', 'supermarket', 'etc']","Then pls implement 8 pax per bus, train, office, classroom, supermarket.... etc!!!"
59,59,15,cayra_lee,😂😂😂,[],:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
60,60,16,riziee_b,🤣,[],:rolling_on_the_floor_laughing:
61,61,17,itsmeshiyin,extend cny please 😰‼️‼️‼️‼️‼️‼️‼️🤱🏻🤱🏻🤱🏻🤱🏻🤱🏻🤱🏻😨😨😨😨😨😣😣😣😣😣😣🏂🏂🏂🏂🏂🏂🏂🏂🏂😱😱😱😱😱😡😡😡😡☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️,"['extend', 'cni', 'pleas']",extend cny please :anxious_face_with_sweat::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::double_exclamation_mark::breast-feeding_light_skin_tone::breast-feeding_light_skin_tone::breast-feeding_light_skin_tone::breast-feeding_light_skin_tone::breast-feeding_light_skin_tone::breast-feeding_light_skin_tone::fearful_face::fearful_face::fearful_face::fearful_face::fearful_face::persevering_face::persevering_face::persevering_face::persevering_face::persevering_face::persevering_face::snowboarder::snowboarder::snowboarder::snowboarder::snowboarder::snowboarder::snowboarder::snowboarder::snowboarder::face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear::face_screaming_in_fear::pouting_face::pouting_face::pouting_face::pouting_face::frowning_face::frowning_face::frowning_face::frowning_face::frowning_face::frowning_face::frowning_face::frowning_face::frowning_face::frowning_face::frowning_face::frowning_face:
62,62,18,filthy_shaun,"Jokes on you, I don't have any friends","['joke', 'friend']","Jokes on you, I don't have any friends"
63,63,19,k.kerynnn,please😗extend🛒chinese🧧new🎊year🍊please⛓,[],please:kissing_face:extend:shopping_cart:chinese:red_envelope:new:confetti_ball:year:tangerine:please:chains:
64,64,20,alfpoon,"Nothing against Muslim friends. To compare CNY now vs Hari Raya last year is no comparison. https://www.todayonline.com/singapore/new-covid-19-cases-july-28 look at the number of cases last year vs now. Please...things will improve. We stay vigilant, your hari raya this year will be better than last year for sure. Its not tit for tat. No need to compare. Just saying...","['noth', 'muslim', 'friend', 'compar', 'cni', 'vs', 'hari', 'raya', 'last', 'year', 'comparison', 'look', 'number', 'case', 'last', 'year', 'vs', 'pleas', 'thing', 'improv', 'stay', 'vigil', 'hari', 'raya', 'year', 'better', 'last', 'year', 'sure', 'tit', 'tat', 'need', 'compar', 'say']","Nothing against Muslim friends. To compare CNY now vs Hari Raya last year is no comparison. https://www.todayonline.com/singapore/new-covid-19-cases-july-28 look at the number of cases last year vs now. Please...things will improve. We stay vigilant, your hari raya this year will be better than last year for sure. Its not tit for tat. No need to compare. Just saying..."
