,Comments,Datetime,num_words
0,I failed to get a place for my son in a sch just next to me. Now i need to spend additional 45min to pick up both kids. Ironically my younger one is in the infant near that ideal sch.. I tried to be PV but rejected coz im a working mother. There is nv a fair system in any case The poor will nv get a place in Nanyang pri coz they have no buy to pay for alumni.,2021-03-04,79
1,About time. It’s ridiculous that my kid wasn’t able get in the school just across the road. And yet people who stay much further away managed to get a place.  ,2021-03-03,32
2,Perhaps can consider scraping Phase 2A/2B. Let all children have equal chance through ballot regardless of their residence distance.,2021-03-04,18
3,"Just skip all the priorities, phases, etc. Have a national balloting based on luck, not distance, past relationships (alumni,etc)",2021-03-03,20
4,"If I am not wrong, there are always schools that easy to enrol in every area. A pure distance enrolment will cause prices of next door estates to popular schools to skyrocket. Only rich can afford. Wouldnt it create its only enclave of people?",2021-03-03,44
5,"All schools are good schools, and to enroll children in a school nearest to home address is important. First Priority should be given to ""Home Distance nearest to School"" before anything else. Subsequently, if there is an oversubscribed position for home-school distance, then elder siblings who are already attending that particular school, followed by alumni, and then parent volunteer should take into consideration, in that order.",2021-03-03,65
6,"Phase 2b is discriminatory and should be scraped.  1km radius is too big, should be reviewed. My kid needs to walk 15min to her school everyday when there’s a school within 5mins walk away, doesn’t make sense.   Children with siblings already attending particular school should still be given priority.   And I don’t even want to talk about those people who are gaming the system by renting a place nearby. Moe says they have to reside at the address for at least 30 months, but I wonder if they perform checks regularly. Not easy I understand. But maybe make everyone declare if it’s a rental address and check on those more rigorously.",2021-03-03,110
7,"Why is there a need for phase 2B where parent volunteers and community leaders get priority over phase 2C, esp when they have no direct connection to the school? Let the community leaders lead by example by applying through phase 2C. If not, the statement  that all schools are good schools is just bullcrap.",2021-03-03,51
8,"Distance should be considered a priority for enrollment, especially within walking distance to school. This will help ease the traffic congestion of cars queues along the roadside waiting to get into school to fetch the kids, which directly causes a problem for residents living nearby. If many are enrolled based on proximity, it could help ease the issue.",2021-03-04,58
9,‘any increase in places for Phase 2C would mean greater competition under the earlier phases for more popular schools.’ The most stressful phase for p1 registration. parents have upped their chances by paying alumni fees to get into phase 2A1. Popular schools hardly have vacancies in 2A2.  ,2021-03-03,43
10,"Well, smart kids from smart parents goes to smart schools & get smart results. Whats wrong? Trying to mismatch would only stress everyone out. Accept it.",2021-03-03,25
11,"Please scrap parent volunteer scheme under Phase 2B as it is a form of “I help you, you help me” bribery.",2021-03-03,20
12,"It's ridiculous to know if my kids can't get to the popular primary school 1min walk away and have to travel at least 5-6km for the next nearest school. And we have to do that for at least 6 years (+number of children)! And imagine majority of the school children that lives in my vicinity all have to do that, it's definitely a much worse evil compared to the cons of soaring hdb prices, which is kind of balanced out because the flat is getting old (close to 50 years).",2021-03-04,84
13,LKY formerly from Telok Kurau Primary and so do i.  But I am no one where LKY is a great man... 😂,2021-03-03,21
14,"In schooling days, my car park badly congested by parents bringing ur children to school,  residents become non resident n non resident become resident 🤮",2021-03-03,24
15,"Parents mindset of ""good"" school. If there are 2 schools nearby, parents would choose the ""good"" school. Ended up one school oversubscribed and the other many vacancies.",2021-03-03,26
16,Even for JC posting student are not posted to the JC of thier choice although student have chosen & qualify to enter with the cut off points . Moreover why is affiliated  sch is deducting 4 point. Some students who don't qualify to enter the JC with  the original grade but Just becos is affiliated they are given a place in that JC.  Moe just dump the students in some    dumping ground JC where there is no demand for that JC .  Moe nor the ministers care for the trouble the child  parent is facing nor if the child is losing moral &  feeling being degraded and losing interest in the studies .  Just for the sakes of giving a place in any JC of moe choice moe job and the education minister has done a great job as the task assign  is completed.  Appeal with moe and education minister no use is just wasting time.  Moe will push to the JC to relply and JC reply is moe to decide.   They are keeping the place in that JC for foreign student .,2021-03-04,175
17,Give priority to singaporeans whose fathers have served NS ,2021-03-03,9
18,Scrape this scrap that. I think we should just scrap school altogether.,2021-03-04,12
19,Expand enrollment for top schools. Or build more top primary schools and less neighborhood schools.,2021-03-03,15
20,Too much greed in the system  It makes the country very unfair and unsafe  That why until now no computers made here  Not even a aircraft tyre No passion no drive  Like a zombie,2021-03-03,34
21,"Ministry of Education, Singapore The Workers' Party Progress Singapore Party Louis Ng Kok Kwang Sun Xueling  Scrape away the complicated alumni and parent volunteer scheme.   Just follow the principles all school are good school and this will avoid the issue of P1 allocation and vacancies and the ever increasing frustration among the family staying near the primary school and they cannot enter send their kid into the nearest school.  Things are so simpler to resolve and yet the government just want to complicate it.  At this age, the primary kids just need more play time and rest time and happiness.  The closer they are to their primary school the better they feel in term of physiological and mental well-being.  (Updates) feedbacks submitted to reach.gov.sg",2021-03-03,121
22,"Heryanto Hardyono They should remove phase 2b. It's like bribery, you have to give your time to the sch and RC den get privilege to enter the school. Pffftt!!",2021-03-04,27
23,"If parent/s as alumni need to be reduced then reduce, but for siblings to be not given priority seems no logic.... If sibling study 2 or 3 different location meant 2 or 3 different school bus, or parent need to sent kids to different location.... Doesn't make sense.",2021-03-03,44
24,Why do you even call them Parents ‘Volunteer’ if it’s entirely transactional?  volunteer /ˌvɒlənˈtɪə/  noun  a person who freely offers to take part in an enterprise or undertake a task.,2021-03-03,30
25,"Alumni, parents volunteer and religious affiliation shld be removed, it’s not a fair playing ground! ",2021-03-04,16
