,Post Description,Post Datetime,Comments,Comment Datetime,num_words
20,"the ministry of health has confirmed 123 new cases of covid-19 on monday (july 20).⁣⁣⁣
⁣⁣⁣
there are 11 new community cases based on the ministry's investigations so far.⁣⁣⁣
⁣⁣⁣
five are singaporeans or permanent residents and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the majority of the new cases are work permit holders residing in foreign worker dormitories.⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 48,035.",2020-07-20 07:48:00+00:00,Isa pretending to be wearing masks when you are not😤,2020-07-20 23:25:07+00:00,10
23,"the ministry of health has confirmed 347 new cases of covid-19 on tuesday (july 14), bringing the total number of infections here to 46,630.⁣⁣⁣
⁣⁣⁣
there are seven new community cases based on the ministry's investigations so far. one is a singaporean and six are work pass holders.⁣⁣⁣
⁣⁣⁣
in addition, there are two imported cases who had been placed on a stay-home notice upon arrival in singapore.⁣⁣⁣
⁣⁣⁣
the vast majority of the new cases are work permit holders residing in foreign worker dormitories.",2020-07-14 09:30:24+00:00,When everything seems to be going sideways for me and my family.  A friend introduced me to @trader_robert_mark and since i started investing with her my story changed.  Now i can care for my family with her help @trader_robert_mark,2020-07-14 10:43:16+00:00,37
26,"the ministry of health has confirmed 158 new cases of covid-19 on wednesday (july 8).

there are four singaporeans or permanent residents among the community cases, and five are work pass holders.

the three imported cases had been placed on a stay-home notice upon arrival in singapore.

the majority of the new cases are work permit holders residing in foreign worker dormitories.

the total number of covid-19 cases in singapore now stands at 45,298.

more in the #linkinbio",2020-07-08 07:36:25+00:00,"Good day everyone don’t throw away your old money (coin or note) bring all to me and make a huge amount of money from your old items Malaysia 🇲🇾,Brunei , Singapore 🇸🇬 Jordan 🇯🇴 China 🇨🇳 with ALMIGHTY ALLAH everything is possible 💯💯💯",2020-07-08 07:44:01+00:00,39
27,"the ministry of health has confirmed 158 new cases of covid-19 on wednesday (july 8).

there are four singaporeans or permanent residents among the community cases, and five are work pass holders.

the three imported cases had been placed on a stay-home notice upon arrival in singapore.

the majority of the new cases are work permit holders residing in foreign worker dormitories.

the total number of covid-19 cases in singapore now stands at 45,298.

more in the #linkinbio",2020-07-08 07:36:25+00:00,158-157 OMG sometimes don't know what the truth is,2020-07-08 08:15:09+00:00,7
28,"the ministry of health has confirmed 158 new cases of covid-19 on wednesday (july 8).

there are four singaporeans or permanent residents among the community cases, and five are work pass holders.

the three imported cases had been placed on a stay-home notice upon arrival in singapore.

the majority of the new cases are work permit holders residing in foreign worker dormitories.

the total number of covid-19 cases in singapore now stands at 45,298.

more in the #linkinbio",2020-07-08 07:36:25+00:00,Get a straight forward account manager like @cryptos_alice_mateo a lady who will never change is her words,2020-07-08 08:19:51+00:00,16
29,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio",2020-07-06 08:27:56+00:00,So fked up. Still want to hold a physical election at the expense of public health. Disgusting,2020-07-06 08:29:58+00:00,17
30,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio",2020-07-06 08:27:56+00:00,and elections still in full swing 🙃🙄😒,2020-07-06 08:30:37+00:00,6
31,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio",2020-07-06 08:27:56+00:00,"Again I reiterate my comment in June when we go into Phase 2: “Dormitories number will continue to drop, or even to 0. However, high possibility that community case will rise as we move into Phase 2. Will it lead to a second wave in August, perhaps 🤷‍♂️? Be vigilant, continue to stay home unless absolutely necessary to go out, stay safe, stay healthy.”",2020-07-06 08:31:58+00:00,60
33,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio",2020-07-06 08:27:56+00:00,"Good day everyone don’t throw away your old money (coin or note) bring all to me and make a huge amount of money from your old items Malaysia 🇲🇾,Brunei , Singapore 🇸🇬 Jordan 🇯🇴 China 🇨🇳 with ALMIGHTY ALLAH everything is possible 💯💯💯",2020-07-06 08:55:24+00:00,39
34,"the ministry of health has confirmed 183 new cases of covid-19 on monday (july 6).⁣⁣⁣
⁣⁣⁣
three of the community cases are singaporeans or permanent residents and 20 are work pass holders. ⁣⁣⁣
⁣⁣⁣
the moh said of the 23 community cases, five were close contacts of earlier cases, and had already been placed on quarantine. another seven are migrant workers who reside together at a temporary accommodation arranged by their company. ⁣⁣⁣
⁣⁣⁣
the total number of covid-19 cases in singapore now stands at 44,983.⁣⁣⁣
⁣⁣⁣
more in #linkinbio",2020-07-06 08:27:56+00:00,We'll probably move back to lockdown once elections are over.,2020-07-06 09:02:16+00:00,9
