Unnamed: 0,Unnamed: 0.1,id,date,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
28,36,1.31564e+18,12/10/20,20:49:14,I just ❤️ how both SingPass Mobile and TraceTogether have iOS 14 widgets for quicker SafeEntry. The  Android versions don’t even have those yet  https://t.co/J6c9fb7PSY,[],23,Safe Entry,23,1,-13.629546555039015,3,1,0,3.4614944172067896,0,0,0.0
29,37,1.31525e+18,11/10/20,19:10:20,How is everyone doing today? My day was great nothing much just accidentally flashed porn to the safe entry dude instead of the safe entry page 🤡🤡🤡,[],26,Safe Entry,26,2,-11.13328498530939,4,1,0,3.7611868723445245,0,0,0.0
30,38,1.31475e+18,10/10/20,10:17:00,Get out and get moving today! Let’s stay vigilant and look out for each other with the safe management measures implemented 😄👌🏼  ✔️ Practise safe distancing  ✔️ Use contact tracing via SafeEntry  ✔️ Undergo temperature screening  ✔️ Wear face mask when resting  https://t.co/gqwuheMgwn,[],38,Safe Entry,37,2,-13.824757387382057,8,3,0,1.7057584717495193,0,0,0.0
31,39,1.31446e+18,9/10/20,15:09:28,I’m feeling for a kopi c peng siew dai now. Going through safe entry and humans is too much trouble and paying service fee and small fee is like sian half. Imma just stick to nespresso la #singaporetogether,['singaporetogether'],38,Safe Entry,37,2,-13.46696709868749,6,1,0,2.035744838688452,0,0,0.0
32,40,1.31305e+18,5/10/20,17:21:19,"one of nice beaches in Johor for your picnic, short getaway and beach therapy 🌊🌴☀️  Desaru Beach (public beach) Bandar Penawar 81930 Kota Tinggi, Johor  • opening hours during RMCO ~ 11am-6pm (weekdays) ~ 9am-6pm (weekend/PH)   • RM6.00 per entry • safe dedicated car park  https://t.co/K6jY6Ein4y",[],36,Safe Entry,41,2,-16.409924173110106,0,1,1,1.3941824897203396,0,0,0.0
33,42,1.308e+18,21/9/20,19:08:46,"If you live in Singapore during this #Covid_19 , your phone browser will be full of this QR code safe entry 😂  https://t.co/bSzt9jcYom",['covid_19'],19,Safe Entry,19,1,-13.100142722086625,2,0,2,4.600799974507785,0,0,0.0
34,43,1.30788e+18,21/9/20,10:56:42,I’ll be putting my triple back tap for safe entry hahah so I don’t panic everytime need scan 😂😩.,[],20,Safe Entry,18,1,-13.102619018705802,3,0,2,4.600799974507785,0,0,0.0
35,44,1.3077e+18,20/9/20,23:30:30,"Singapore friends, if you are using SingPass to scan SafeEntry QR codes (like I do) there’s a quicker way to do it. Thanks to iOS 14. 😊",[],26,Safe Entry,26,2,-12.063811329704425,9,1,2,3.461494417206791,0,0,0.0
36,46,1.30767e+18,20/9/20,21:10:58,@mrbrown Thanks! Added Scan SafeEntry to Back Tap.  I still leave the SafeEntry Check-in and Check-out in Shortcuts widget for now. #iOS14,['ios14'],18,Safe Entry,20,1,-14.428477586216044,2,2,0,5.088471017184118,1,0,0.0
37,47,1.30643e+18,17/9/20,11:23:41,Why there is SafeEntry but no SafeExit? 😔,[],7,Safe Entry,7,0,-12.836635916487774,1,1,0,17.932132139179377,2,0,0.0
38,48,1.30573e+18,15/9/20,13:06:11,Would you rather the government or your parents to spy on ur SafeEntry data?,[],14,Safe Entry,14,1,-11.591984151729966,1,2,2,8.595831892535436,1,0,0.0
39,49,1.30572e+18,15/9/20,12:23:41,Dolby digital: All around you   Safe entry : lol,[],8,Safe Entry,8,0,-13.86081144343424,0,0,1,8.595831892535434,1,0,0.0
40,50,1.30444e+18,11/9/20,23:39:06,"There is always a transmission chain in a pandemic. The no. of people infected is directly related to how quickly we can identify and isolate new cases.  Digital tools like #TraceTogether &amp; SafeEntry help speed up contact tracing substantially, and disrupt the transmission chain.",['tracetogether'],42,Safe Entry,43,2,-11.626069429791805,9,2,1,2.5871547989461106,0,0,1.0
41,51,1.3039e+18,10/9/20,11:17:13,"It’s already mandatory to check in to SafeEntry to enter any venue. We can already do it with the app, or scanning our ID card. But people have privacy concerns with scanning the ID card. And it’s difficult for senior citizens to use the app. Hence the FREE token.",[],51,Safe Entry,49,2,-10.783292126744232,9,1,1,2.515084605169966,0,0,1.0
42,53,1.3019e+18,4/9/20,23:13:45,who would have thought that “safe entry” will be one of most used words in Singapore this year...,[],18,Safe Entry,18,1,-9.576708256739975,3,0,0,8.595831892535434,1,0,0.0
43,54,1.30104e+18,2/9/20,14:17:42,"There is a SafeEntry feature inside the Razer Pay app now. Basically just a QR code scanner, but it made me open the app more than I normally would've  https://t.co/T9sLrscAnN",[],28,Safe Entry,29,2,-12.780237382431142,4,1,2,3.31577101315989,0,0,0.0
44,55,1.30071e+18,1/9/20,16:04:50,"Someone better remind Santa about the face mask and SafeEntry QR Codes...  And no rush, kids.. Santa will be quarantined for 14 days....  #santaclaus #quarantine @ Singapore  https://t.co/f0qrs439gc","['santaclaus', 'quarantine']",23,Safe Entry,24,1,-14.501504862797109,3,1,0,2.2141176694827065,0,0,0.0
45,56,1.29749e+18,23/8/20,19:12:47,Swarm is just social SafeEntry (@ Carl's Jr. in Singapore)  https://t.co/rxF1PE3YKn,[],8,Safe Entry,9,0,-15.1403879820885,1,0,0,6.711954922277474,1,0,0.0
46,57,1.29699e+18,22/8/20,10:02:03,"@ericrazali Zucc enters a restaurant with his wife.   Waiter: Hello Miss, can you do safe entry check in first? And for the YOU sir, please complete this “I am not a robot test”",[],32,Safe Entry,32,2,-11.830785235096705,5,0,3,2.4898431730001502,0,0,0.0
47,58,1.29571e+18,18/8/20,21:25:48,hungry ghosts gotta scan safe entry b4 entering my house,[],9,Safe Entry,10,0,-14.70480133514691,2,0,1,11.752638235706195,2,0,0.0
48,59,1.295e+18,16/8/20,21:52:55,It’s like safe entry but imagine if it starts asking you questions,[],13,Safe Entry,12,1,-10.939823090237603,2,2,1,8.595831892535434,1,0,0.0
49,61,1.29354e+18,12/8/20,21:42:35,Whoever implied the captcha for #safeentry is waiting for the IT guys to find you and make you do captcha till you vomit!   #bodohpehkambing,"['safeentry', 'bodohpehkambing']",22,Safe Entry,22,1,-12.479284246219208,10,1,1,11.752638235706197,2,0,0.0
50,63,1.29005e+18,3/8/20,6:04:54,"@AaronAtayde Wala pa ding safe entry scan bar code na iniimplement sa mga establishment dyan? Its one way of effective contract tracing, its like no id, no entry. Groceries should have window hours for more vulnerable individuals like senior citizens.. kulang talaga sa planning bago implement",[],45,Safe Entry,45,2,-15.167209738321965,5,0,0,1.063353022610645,0,1,0.0
51,64,1.2891e+18,31/7/20,15:26:32,Safe entry QR code scanner shortcut on Trace Together  https://t.co/YoUg5qUY9E,[],9,Safe Entry,9,0,-16.704662093337607,0,0,0,3.9563083289692305,0,0,0.0
52,65,1.28724e+18,26/7/20,11:58:59,Too many uncleared safe entry tabs in Safari on my phone. #NewNormal,['newnormal'],11,Safe Entry,11,1,-13.418045855525198,0,0,1,8.595831892535434,1,0,0.0
53,66,1.28645e+18,24/7/20,7:49:19,Tekka market has one of the stupidest safe entry concept,[],10,Safe Entry,10,0,-12.094302602302543,1,0,0,8.595831892535434,1,0,0.0
54,67,1.28565e+18,22/7/20,2:45:12,"THIS SO ME, THE AUDI WAS MY 2ND HOME before it became a safeentry/temp taking station🤧",[],16,Safe Entry,17,1,-16.430540276681104,2,0,2,3.8201741446893926,0,0,0.0
55,69,1.28506e+18,20/7/20,11:36:23,"Hey @StarHubCares, what’s with the spotty 4G connection lately? Was trying to scan into SafeEntry at several places over the weekend and my phone just drops the data connection and nothing loads. Not the first time this happened",[],37,Safe Entry,37,2,-11.627796548885543,4,1,1,2.149285884959913,0,0,0.0
