,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
3,3,"You may also be required, in full or in part, to repay the assistance which has been provided to you.",3/2/21,0.35,0.55,0.0,1.0,0.0,0.0,anger
6,10,Actually they are only asking for truthful declarations.,3/2/21,0.16666666666666666,0.5333333333333333,0.0,0.7,0.3,0.4588,anger
9,18,Not wrong.,3/2/21,0.25,0.9,0.0,0.281,0.719,0.3724,anger
12,21,"He told an audience at Enterprise Singapore's (ESG) annual review that while the Government has responded swiftly and decisively to support firms and workers amid the pandemic, Singapore's resources are ultimately finite and must be used judiciously.",2/6/21,0.0,1.0,0.0,0.877,0.123,0.5994,anger
57,73,Always want to talk alot but if you observe very carefully of his contributions in all the ministries he had held.,28/2/21,-0.13,1.0,0.0,0.851,0.149,0.3269,anger
58,74,"He did practically nothing, did not contribute to anything significant at all.",28/2/21,0.375,0.875,0.0,0.859,0.141,0.2023,anger
68,91,"She said: ""When you consider that selected entities or individuals may have enjoyed outsized windfalls because of Covid-19, it may not be unreasonable to expect that they do more for the common good.""",26/2/21,0.35,0.575,0.0,0.907,0.093,0.5106,anger
72,95,ToughLuck wrote: Actually she brought up such controversial questions many time liao.,26/2/21,0.2625,0.5125,0.141,0.859,0.0,-0.2023,anger
75,98,we should be looking to cut down on unnecessary expenditures that has no real positive impact to peoples' lives (tearing down and upgrading almost new estate facilities) instead and resuming activites shifting to normality and not stuck in stupid phase 3,26/2/21,-0.24175084175084174,0.5493265993265993,0.091,0.738,0.171,0.5881,anger
129,160,Same stupid trick everytime.,28/1/21,-0.39999999999999997,0.5625,0.697,0.303,0.0,-0.5574,anger
130,161,"Ok nvm give up liao, this grant is just a farce.",2/3/21,0.04999999999999999,0.5,0.183,0.474,0.343,0.3346,anger
199,248,"However, they have been quite affected by the safety measures, especially during the circuit breaker,"" he noted.",16/2/21,0.0,1.0,0.096,0.762,0.142,0.228,anger
207,256,"Mr Heng said the package comes on top of immediate relief and support measures introduced for families and workers over five Budgets in 2020, including the Solidarity Payment, Covid-19 Support Grant, Temporary Relief Fund and grocery vouchers for lower-income groups.",16/2/21,0.5,0.5,0.0,0.646,0.354,0.9442,anger
233,304,"There are no easy answers, but it is my responsibility as custodian of Singapore's past reserves to raise them for discussion,"" added the president.",12/1/20,-0.23333333333333334,0.5416666666666667,0.063,0.861,0.076,0.09,anger
245,316,She said the Government's top priority is to get out of the crisis and keep everyone safe and healthy.,12/3/20,0.5,0.5,0.155,0.566,0.279,0.3182,anger
253,324,"She said the Government will have to be prudent, spend where necessary, and ensure good returns on the money that is put in.",12/3/20,0.35,0.8,0.0,0.792,0.208,0.6705,anger
264,335,"This year was challenging for many nations because of the Covid-19 pandemic, which worsened the already grim economic outlook.",12/4/20,0.05,0.675,0.273,0.661,0.066,-0.7184,anger
306,381,Trade association and industry experts said at the virtual event that more can be done to help businesses access existing grants as applications can be cumbersome.,15/1/21,0.5,0.5,0.0,0.839,0.161,0.5574,anger
319,395,Not with the clowns north and south who are dealing with their own mess at the moment,16/1/21,0.2125,0.5875,0.135,0.865,0.0,-0.3612,anger
337,413,"He said: ""Covid-19 has accelerated innovation, put a premium on resilience, and greater priority on sustainability.",2/5/21,0.5,0.5,0.0,0.718,0.282,0.6249,anger
357,433,Most of the money go to govt associated sectors or companies.,2/5/21,0.5,0.5,0.0,1.0,0.0,0.0,anger
386,466,"Her son, who used to run away when asked to read, now enjoys storybooks and even got full marks for his spelling test, she said.",2/7/21,0.35,0.55,0.0,0.879,0.121,0.5106,anger
428,516,"They presume that since their group can get by, no need to do anything more for them....",16/2/21,0.5,0.5,0.121,0.879,0.0,-0.296,anger
441,532,"On the meter it said ""27 mins to full charge"".",16/2/21,0.35,0.55,0.0,1.0,0.0,0.0,anger
467,601,"Technology, capital, and the actions of our people are key enablers of this Plan.",16/2/21,0.0,1.0,0.0,1.0,0.0,0.0,anger
484,618,"t258jgn wrote: The problems are the delivery trucks from msia to SG are not euro 6d I do not understand what is the point of this post AZE wrote: Sho if SG gosh full EV by 2030, ish can force MY to gosh full EV as well?",16/2/21,0.35,0.55,0.055,0.902,0.043,-0.1531,anger
495,641,"Vote in more oppies, look at what they have done so far.",16/2/21,0.3,0.75,0.0,1.0,0.0,0.0,anger
499,651,"50-50 pointless because the likelihood of voting against their own party ish very low, especially with party whip.",16/2/21,0.0875,0.7225,0.105,0.658,0.237,0.4601,anger
506,658,Why the sudden focus on EV when as back as Jan 2019 Elon Musk tweeted our government gave a cold shoulder to Tesla's move for more EV here.,17/2/21,-0.024999999999999994,0.5,0.0,1.0,0.0,0.0,anger
516,668,green72 wrote: Why the sudden focus on EV when as back as Jan 2019 Elon Musk tweeted our government gave a cold shoulder to Tesla's move for more EV here.,17/2/21,-0.024999999999999994,0.5,0.0,1.0,0.0,0.0,anger
562,744,Mr Leong had asked about the Government's decision to keep the borders open to these travellers.,16/2/21,0.0,0.5,0.0,1.0,0.0,0.0,anger
596,797,"For example, the total number of passengers passing through Changi remains at about 2 per cent of pre-Covid-19 levels as at end-January.",16/2/21,0.0,0.75,0.0,0.939,0.061,0.0772,anger
621,822,ERP charges were first suspended on April 6 on the expectation that traffic would be significantly reduced during the circuit breaker period.,16/2/21,0.3125,0.6041666666666666,0.215,0.785,0.0,-0.6369,anger
623,824,"LTA said its monitoring of traffic conditions in January showed that traffic speeds have ""remained optimal on all arterial roads and most expressways, except for some time periods on the AYE, CTE and KPE"".",16/2/21,0.5,0.5,0.0,0.93,0.07,0.3612,anger
624,825,"""As more people travel to and from their workplaces, traffic volume has been building up during weekday peak hours.",16/2/21,0.5,0.5,0.0,1.0,0.0,0.0,anger
631,832,"Personally, i wasnt affected greatly by the pandemic and i am grateful for it.",16/2/21,0.4,0.525,0.0,0.692,0.308,0.5337,anger
646,847,"Mr Heng said he met an elderly man in his 70s during a visit to Bedok recently who told him that the Budget \x93should not be about goodies\x94, but that it was more important to invest in building up people\x92s abilities and enabling them to do better.",15/2/21,0.35,0.5625,0.0,0.827,0.173,0.8397,anger
661,864,"Mr Heng said he met an elderly man in his 70s during a visit to Bedok recently who told him that the Budget \u201cshould not be about goodies\u201d, but that it was more important to invest in building up people\u2019s abilities and enabling them to do better.",15/2/21,0.35,0.5625,0.0,0.827,0.173,0.8397,anger
675,880,"Challenger also reported a more than S$4.7 million decline in "" premises expenses"" to slightly more than S$12.9 million in FY2020.",15/2/21,0.5,0.5,0.0,0.923,0.077,0.128,anger
679,884,"In absolute terms, Challenger will be paying out over S$9.3 million in dividends with respect to FY2020.",15/2/21,0.2,0.9,0.0,0.765,0.235,0.5574,anger
714,919,They only say things and cite situations that fit themselves and their policies.,16/2/21,0.2,0.7,0.0,0.828,0.172,0.3612,anger
718,923,"virus1988 wrote: Mr Heng said he met an elderly man in his 70s during a visit to Bedok recently who told him that the Budget \x93should not be about goodies\x94, but that it was more important to invest in building up people\x92s abilities and enabling them to do better.",16/2/21,0.35,0.5625,0.0,0.833,0.167,0.8397,anger
731,936,"Only in sg u claim benefits for the premiums you paid for, the insurance firm then around and claim you abusing it.",13/2/21,-0.1,0.7,0.122,0.772,0.106,-0.1027,anger
735,940,Typical tactic to lock-in people then change TnC.,13/2/21,-0.16666666666666666,0.5,0.0,1.0,0.0,0.0,anger
736,941,"Then now trying to cut benefits, while increasing prices, and crying abuse by people who are claiming benefits that they\x92re paid premium for.",13/2/21,-0.2,0.6,0.288,0.552,0.16,-0.6369,anger
739,944,Not the bloody customer fault.,13/2/21,-0.8,0.9,0.333,0.37,0.297,-0.0757,anger
747,959,fire wrote: You are not wrong but how many such cases are there to warrant penalty for all?,13/2/21,0.25,0.6333333333333333,0.254,0.667,0.079,-0.6024,anger
766,983,"Many others lamented the lack of leadership in the Group, as they called out the Group\x92s CEO for profiting millions while the lower staff are retrenched.",13/2/21,0.5,0.5,0.219,0.698,0.083,-0.5106,anger
771,988,\x93Having to let go of our valuable and dedicated people is the hardest and most agonizing decision that I have had to make in my 30 years with SIA.,13/2/21,0.5,0.5,0.114,0.712,0.174,0.2748,anger
779,1010,Doc Madatay wrote: In time of crises you need good people to steer the company Why don\x92t you ask grab driver to be CEO and pay them $10k per month if you want to save money?,13/2/21,0.7,0.6000000000000001,0.034,0.784,0.181,0.7184,anger
781,1012,Its just some people who declares this guy is talent and fantastic and can save the company.,13/2/21,0.4,0.9,0.0,0.593,0.407,0.8625,anger
787,1018,The total amount given to nearly 600 executives would cover bailout costs for many of the 116 banks that have so far accepted tax dollars to boost their bottom lines.,13/2/21,0.175,0.6625,0.042,0.806,0.152,0.5688,anger
790,1021,"""We're told that some of the most highly-paid people in executive positions are different.",13/2/21,0.25,0.55,0.0,1.0,0.0,0.0,anger
800,1031,"They will work for their base salaries of $600,000, the company said.",13/2/21,-0.8,1.0,0.0,1.0,0.0,0.0,anger
814,1045,"The program set restrictions on some executive compensation for participating banks, but did not limit salaries and bonuses unless they had the effect of encouraging excessive risk to the institution.",13/2/21,-0.25,1.0,0.068,0.69,0.243,0.8338,anger
815,1046,Banks were barred from giving golden parachutes to departing executives and deducting some executive pay for tax purposes.,13/2/21,0.3,0.5,0.071,0.808,0.121,0.25,anger
835,1066,Let's watch to see if any of our tax money goes towards funding their huge fat pay or they have to pull their own resources to survive.,13/2/21,0.5,0.95,0.049,0.871,0.08,0.2263,anger
842,1073,"A company is suppose to pay its shareholder only if it\x92s making profit, or by digging into its own reserves but certainly not from taxpayers $$.",13/2/21,0.16428571428571428,0.8571428571428571,0.042,0.779,0.179,0.5927,anger
851,1082,All this only happen because sinkies voted for PAP.,13/2/21,0.0,1.0,0.0,1.0,0.0,0.0,anger
857,1088,aiptasia wrote: Investors should stay far away from SIA and any crony Singapore stock for that matter.,13/2/21,0.1,1.0,0.0,0.936,0.064,0.0258,anger
