,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
1046,1324,So for a healthy policy owner... u can keep this buffet... but u may not get to eat cos being healthy is better den going to hospital like a hotel...,2/11/21,0.5,0.5,0.0,0.628,0.372,0.9195,sadness
1048,1326,But my guess is their hospital bills are very expensive.,2/11/21,-0.65,0.9099999999999999,0.0,1.0,0.0,0.0,sadness
1079,1364,"\x93It is indeed sad to say that we have to announce the curtain call for this amazing nightlife journey with you,\x94 co-owners Roy Ng and Mahen Nathan wrote.",2/10/21,0.050000000000000044,0.95,0.092,0.774,0.134,0.34,sadness
1178,1476,"Rather they jus displaced the job that sinkies once had, took over their hard work & maintain only at first with lesser pay but eventually get same pay or more since got their own kind to take care of them.",9/12/20,0.20729166666666665,0.6125,0.085,0.725,0.19,0.836,sadness
1179,1477,Sinkies to naive to know how to take care of own country men.,9/12/20,0.15,1.0,0.129,0.675,0.196,0.2732,sadness
1191,1489,The LHL's administration has 16 years and they cannot even train up sufficient Singaporean workers to work in those good and well-paid jobs created by giving tax incentives and rebates to foregn MNCs?,9/12/20,0.7,0.6000000000000001,0.0,0.751,0.249,0.8225,sadness
1200,1509,"The consequences are employers have to employ them as PMETs to justify the high pay, some of which with dubious qualifications from home countries.",9/12/20,0.16,0.5399999999999999,0.151,0.849,0.0,-0.4404,sadness
1202,1511,The sad part is we ended up helping to develop the SP & EP holders as they hold PMETs positions.,9/12/20,-0.5,1.0,0.139,0.762,0.099,-0.2263,sadness
1300,1652,0% interest is fine but the state should not give free money to for profit companies.,30/8/20,0.4083333333333333,0.65,0.156,0.526,0.318,0.4013,sadness
1307,1660,Many companies will choose to retrench or close down if the only option is loans.,30/8/20,0.11481481481481481,0.5962962962962963,0.0,1.0,0.0,0.0,sadness
1322,1680,Our government's job is to only help Singaporeans.,30/8/20,0.0,1.0,0.0,0.722,0.278,0.4019,sadness
1452,1900,"At the end of the day, it seems to be still about the economy, having a job or a business, having food on tje table three times per day, and having money in the pockets, wallets and banks that matter more to most Filipinos, not the acquisition of COVID-19 vaccines.",24/2/21,0.5,0.5,0.0,0.977,0.023,0.0258,sadness
1487,1935,Will these 11 themes be effective and sustainable to address the crisis which we have gone through the past year?,9/3/21,0.175,0.525,0.163,0.714,0.123,-0.25,sadness
1490,1938,On green solutioning; why can't we develop and produce our own EV and tie to development of our young from a R&D perspective?,9/3/21,0.16666666666666666,0.5666666666666668,0.0,1.0,0.0,0.0,sadness
1559,2010,"This System of GST, is to tax ALL to feed the lazy  Anybody can use the excuse i cannot find job.",27/2/21,-0.15,0.525,0.115,0.826,0.06,-0.296,sadness
1644,2104,"So this means if I order from some specialty shops which doesn't make significant sales here in sg, then I am not subjected to this bloody new tax 😉👍",16/2/21,-0.09621212121212123,0.7431818181818182,0.166,0.834,0.0,-0.6081,sadness
1655,2115,"Right now in covid tough time, with petrol tax up 23% inflation wl set in.",19/2/21,-0.0515873015873016,0.6845238095238095,0.097,0.903,0.0,-0.128,sadness
1700,2160,"We may not be able to see perfect distribution from rich to poor in terms of wealth, but we can ensure that more than asymetric distribution of skills and knowledge to the poor and disadvantaged, which will eventually narrow the gap in terms of social gulf.",15/2/21,0.1760416666666667,0.5677083333333334,0.166,0.662,0.172,-0.1531,sadness
1739,2201,More shall be added into the reserve .,7/2/21,0.5,0.5,0.0,1.0,0.0,0.0,sadness
1775,2259,Very confusing 🤷🏻‍♂️?,5/2/21,-0.39,0.52,0.523,0.477,0.0,-0.2944,sadness
1786,2271,Just a gentle reminder to all intending to take the 'vaccine'.,30/1/21,0.2,0.8,0.0,0.756,0.244,0.4404,sadness
1801,2286,"Should only tackle those cars that go there and pump diesel, can afford car cannot afford to pump from petrol station.",25/9/20,0.0,1.0,0.0,1.0,0.0,0.0,sadness
1842,2327,Lets not condemn the government but lets co operate and work together at this very bad pandemic time.,26/3/20,-0.9099999999999998,0.8666666666666667,0.228,0.702,0.07,-0.6806,sadness
1847,2332,"At this most difficult time government have to hold all this charges, after all they have made billions all this years.",23/3/20,0.0,0.75,0.214,0.786,0.0,-0.6331,sadness
1850,2335,I lost my job while pregnant.,9/10/20,0.3333333333333333,0.5,0.365,0.635,0.0,-0.3182,sadness
1916,2401,"Just a thought further on the implementing Circuit-Breaker measures, what happens if the contact tracing for those unlinked cases cannot be identified; and as a Plan B, if we can do a blanket swab test for all citizens and residents.",4/4/20,0.0,0.5,0.0,1.0,0.0,0.0,sadness
1924,2409,"Now SG then start to do things slowly, numbers of cases n ppl die, show that we handle badly.",4/4/20,-0.49999999999999994,0.5333333333333333,0.304,0.696,0.0,-0.7906,sadness
1952,2437,We have tried to explain to our landlord that the June & July rental relief is to be absorbed by our landlord rather tha  IRAS but they are not convinced and want a separate letter from IRAS stating so.,25/4/20,0.3,0.9,0.105,0.844,0.051,-0.2892,sadness
1966,2453,"Provide opportunities for older workers regardless of job scope ...it all sounds promising on the many available jobs...do tap and train matured workers in this growing sector...my own efforts to get into healthcare sector reaped no results...they either tell me I don't have the required skills, too over qualified (also taken to mean I'm over the hill when I'm actually not!)",12/12/20,0.22202380952380954,0.5029761904761905,0.034,0.853,0.114,0.6448,sadness
2028,2515,We are so lucky with the low death rates but it's not something we should take for granted.,6/10/20,0.16666666666666666,0.5666666666666667,0.175,0.614,0.211,0.2043,sadness
2067,2555,"Dear PM, this is good news but please look into the odd and even number restriction at Peninsula Plaza and Lucky Plaza as the new measure is killing all the retail businesses with a sharp decline of close to 80% on our weekend sales.",5/10/20,0.1756060606060606,0.5775757575757576,0.2,0.598,0.202,-0.431,sadness
2099,2587,We are Singapore and we know how to keep our country safe.,13/10/20,0.5,0.5,0.0,0.791,0.209,0.4404,sadness
2115,2604,Ultimately the ordinary citizens have a concerned for job opportunities as losing a job can be devastating as families can be broken and personal self being greatly compromise.,5/9/20,-0.14166666666666664,0.6583333333333333,0.289,0.636,0.075,-0.8126,sadness
2119,2608,High cost of living .,5/9/20,0.16,0.5399999999999999,0.0,1.0,0.0,0.0,sadness
2124,2613,The mind is willing to work but the body can not do it.,5/9/20,0.25,0.75,0.0,1.0,0.0,0.0,sadness
2125,2614,"Dear Mr. Lee, I really don""t know what had went wrong at LTA, nobody is replying to the my feedback sent 3 weeks ago.",5/9/20,-0.15,0.55,0.121,0.778,0.101,-0.128,sadness
2171,2661,"May I plead to you that we do not force them, as it will make their life very stressful & miserable.",5/6/20,-0.4,0.65,0.294,0.706,0.0,-0.7947,sadness
2176,2666,"Dear Sir, I do not think the government is open and transparent.",6/6/20,0.0,0.5,0.0,0.794,0.206,0.3818,sadness
2186,2676,It is too easy to just pay the one month salary in lieu of notice and there is nothing the poor employee can do.,7/6/20,0.016666666666666663,0.7166666666666667,0.05,0.754,0.196,0.6192,sadness
2196,2686,"Spending $200,000,000,000 on the virus Pandemic (to save jobs, to save business )... is a colossal  gamble.",7/6/20,0.3,0.8,0.0,0.686,0.314,0.7506,sadness
2200,2690,Is betting hundreds of billions of dollars ...the ONLY way to save our economy?,7/6/20,0.0,1.0,0.0,0.802,0.198,0.4939,sadness
