,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,SMA_1,SMA_3,SMA_5,SMA_7,SMA_14
2,2020-01-03,0.4333333333333333,0.8333333333333334,0.0,0.455,0.545,0.34,0.34,0.34,0.34,0.34,0.34
3,2020-01-06,0.4166666666666667,0.5,0.0,0.6174999999999999,0.3825,0.2023,0.2023,0.27115,0.27115,0.27115,0.27115
4,2020-01-08,0.21428571428571427,0.7720238095238096,0.13314285714285715,0.4905714285714286,0.3762857142857143,0.1838,0.1838,0.24203333333333332,0.24203333333333332,0.24203333333333332,0.24203333333333332
5,2020-01-09,-0.1333333333333333,0.5083333333333333,0.38,0.62,0.0,-0.8693,-0.8693,-0.16106666666666666,-0.0358,-0.0358,-0.0358
6,2020-01-10,0.39999999999999997,0.7194444444444444,0.0,0.9271666666666666,0.07283333333333333,0.07945,0.07945,-0.20201666666666665,-0.012749999999999997,-0.012749999999999997,-0.012749999999999997
7,2020-01-12,0.07638888888888887,0.6882936507936508,0.054285714285714284,0.8528571428571429,0.09271428571428572,0.1294857142857143,0.1294857142857143,-0.22012142857142858,-0.05485285714285715,0.010955952380952384,0.010955952380952384
8,2020-01-14,0.4000000000000001,0.9,0.063,0.871,0.065,0.0129,0.0129,0.07394523809523809,-0.09273285714285714,0.011233673469387756,0.011233673469387756
9,2020-01-15,0.0,0.5,0.163,0.837,0.0,-0.5106,-0.5106,-0.12273809523809526,-0.23161285714285715,-0.11028061224489796,-0.05399553571428572
10,2020-01-16,-0.2962962962962963,0.7740740740740741,0.30533333333333335,0.6113333333333334,0.08333333333333333,-0.14573333333333333,-0.14573333333333333,-0.2144777777777778,-0.08689952380952383,-0.15999965986394557,-0.06418862433862434
11,2020-01-18,0.42500000000000004,0.6999999999999998,0.20966666666666667,0.5406666666666666,0.24933333333333332,0.1156,0.1156,-0.18024444444444446,-0.07966952380952383,-0.16974251700680273,-0.046209761904761906
12,2020-01-19,-0.1,0.6,0.189,0.811,0.0,-0.2732,-0.2732,-0.10111111111111114,-0.16020666666666666,-0.08458537414965987,-0.0668452380952381
13,2020-01-23,0.059226190476190474,0.769345238095238,0.111,0.67925,0.20975,0.14225000000000002,0.14225000000000002,-0.005116666666666686,-0.1343366666666667,-0.07561394557823131,-0.04942063492063492
14,2020-01-24,0.05785681332556333,0.7082366996429494,0.09190384615384616,0.8258653846153846,0.08223076923076923,0.012899999999999993,0.012899999999999993,-0.039350000000000024,-0.029636666666666665,-0.09226904761904764,-0.04462673992673993
15,2020-01-25,0.024999999999999994,0.5625,0.10325,0.84,0.05675,-0.08489999999999999,-0.08489999999999999,0.023416666666666645,-0.01747,-0.10624047619047619,-0.04750340136054422
16,2020-01-26,0.31875,0.80625,0.0115,0.6447499999999999,0.34375,0.3415,0.3415,0.08983333333333332,0.027710000000000005,0.015488095238095245,-0.04739625850340136
17,2020-01-27,0.25,0.6375,0.117,0.803,0.08,-0.204,-0.204,0.017533333333333335,0.04155000000000002,0.007164285714285722,-0.07641768707482992
18,2020-01-28,0.1533030844047802,0.6840831208698461,0.08132704402515727,0.7887484276729559,0.12992452830188672,0.08384056603773583,0.08384056603773583,0.07378018867924525,0.029868113207547176,0.0026272237196765563,-0.08355764664356309
19,2020-01-29,0.13366603385040887,0.681746983109483,0.08109000000000002,0.80427,0.11465000000000006,0.055676,0.055676,-0.02149447798742141,0.03842331320754718,0.04960950943396227,-0.017487932357848797
20,2020-01-30,0.19618571998177262,0.7005694950760739,0.06777894736842108,0.7732105263157895,0.15902105263157895,0.15626631578947367,0.15626631578947367,0.09859429394240316,0.08665657636544191,0.05161184026102994,-0.012001052658600683
21,2020-01-31,0.11200990860990861,0.7037681738015069,0.09666666666666666,0.7303333333333332,0.17298666666666668,0.086624,0.086624,0.09952210526315786,0.0356813763654419,0.06214384026102994,-0.015062603679008843
22,2020-02-01,-0.028400868678646458,0.7240175976287087,0.14722222222222223,0.768888888888889,0.08392592592592593,-0.11130740740740741,-0.11130740740740741,0.043860969460688716,0.054219894883960416,0.058371353488543165,-0.023934561350966516
23,2020-02-02,0.09138930224867725,0.704879298941799,0.0821875,0.8319687499999998,0.08584375,-0.008787500000000012,-0.008787500000000012,-0.011156969135802499,0.03569428167641325,0.008330282059971736,0.01190918864903349
24,2020-02-03,0.029421768707482993,0.6198412698412697,0.08885714285714286,0.8187142857142857,0.09242857142857143,-0.012785714285714274,-0.012785714285714274,-0.04429354056437392,0.022001938819270393,0.03564660859058398,0.021405447152434847
25,2020-02-05,0.22188430059523812,0.670474086099086,0.062875,0.76059375,0.1765,0.26910625000000005,0.26910625000000005,0.0825110119047619,0.04456992566137567,0.06211313487090744,0.032370179295292
26,2020-02-06,-0.11066071428571425,0.7287539682539683,0.11000000000000001,0.7551333333333332,0.13479999999999998,0.05369333333333333,0.05369333333333333,0.10333795634920634,0.03798379232804233,0.061829896775669344,0.05571970310481581
27,2020-02-07,0.1749867724867725,0.6256216931216931,0.08083333333333333,0.8198333333333334,0.09916666666666667,0.060850000000000015,0.060850000000000015,0.12788319444444443,0.07241527380952381,0.04819899452003024,0.049905417390530095
28,2020-02-08,0.13872214205547534,0.6418590668590668,0.10422222222222222,0.6875555555555555,0.20822222222222223,0.09704444444444443,0.09704444444444443,0.07052925925925924,0.0935816626984127,0.04968762944066516,0.055915734850847554
