,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
727,894,Much better than sg.,23/2/21,0.5,0.5,0.0,0.508,0.492,0.4404,neutral
747,914,"Join for the career opportunities, stay for the good food and people 😂🤷🏽‍♂️  https://t.co/Aacp8uOSHN",20/2/21,0.7,0.6000000000000001,0.0,0.588,0.412,0.7717,neutral
750,917,"People say making dumplings for CNY is a Chinese tradition but honestly I don't know anyone in Singapore who makes their own dumplings, unless they are first generation Singaporeans.",12/2/21,0.3625,0.5583333333333333,0.085,0.784,0.131,0.5267,neutral
757,924,It's only 3 weeks?,22/2/20,0.0,1.0,0.0,1.0,0.0,0.0,neutral
793,961,Many people are still on leave.,15/2/21,0.5,0.5,0.194,0.806,0.0,-0.0516,neutral
799,967,It is going to be lucky for all.,12/2/21,0.3333333333333333,0.8333333333333334,0.0,0.714,0.286,0.4215,neutral
820,994,And it will result to getting fine.,30/7/20,0.4166666666666667,0.5,0.0,0.769,0.231,0.2023,neutral
823,997,But it’s okay man.,18/7/20,0.5,0.5,0.0,0.612,0.388,0.2263,neutral
839,1013,"Again: better to provide increased frequency to cut crowding, no?",3/6/20,0.5,0.5,0.281,0.392,0.327,0.1779,neutral
918,1097,Especially Kourtney.,25/3/20,0.0,1.0,0.0,1.0,0.0,0.0,neutral
928,1107,"Or maybe strong, far but strong.",24/3/20,0.3222222222222222,0.8222222222222223,0.0,0.377,0.623,0.765,neutral
932,1111,Bright and bursting.,21/3/20,0.7000000000000001,0.7999999999999999,0.0,0.408,0.592,0.4404,neutral
949,1128,Hope things get better when we return stateside in June.,15/3/20,0.5,0.5,0.0,0.58,0.42,0.7003,neutral
962,1141,"It is amazing how whenever I am handed a difficult potential customer/bride, I will never get to meet them face to face.",19/2/21,0.03333333333333336,0.9666666666666667,0.107,0.73,0.163,0.3182,neutral
981,1160,Very safe and easy to move around.,5/2/21,0.5416666666666667,0.7416666666666667,0.0,0.44,0.56,0.7474,neutral
987,1166,Prevention is better than cure Covid is not going to wrap up anytime soon!,24/1/21,0.625,0.5,0.0,0.803,0.197,0.4926,neutral
991,1170,Protecting oneself is critical.,24/1/21,0.0,0.8,0.434,0.566,0.0,-0.3182,neutral
994,1173,Otherwise Covid is sure to limit your lifespan!,24/1/21,0.625,0.8888888888888888,0.0,0.73,0.27,0.3802,neutral
1043,1222,"Very wise and timely move , indeed !",25/1/21,1.0,1.0,0.0,0.576,0.424,0.5697,neutral
1057,1236,"of Enforcement Officers, and SG Clean and Safe Distancing Ambassadors",24/1/21,0.43333333333333335,0.6000000000000001,0.0,0.588,0.412,0.6808,neutral
1060,1239,Would it be fine for someone to visit only one household during CNY period and that household only receive up to 8 distinct visitor per day.,25/1/21,0.17916666666666667,0.7,0.0,0.93,0.07,0.2023,neutral
1065,1244,"PM Sir, can you make sure that the default WFH is observed by all companies.",24/1/21,0.5,0.8888888888888888,0.0,0.859,0.141,0.3182,neutral
1093,1272,: Household member: 4 ppl Visitors: 8 ppl That mean total: 12 ppl per day?,23/1/21,-0.15625,0.71875,0.0,1.0,0.0,0.0,neutral
1106,1285,Dear PM we had gone through many ups and downs there we made it.,23/6/20,0.5,0.5,0.0,0.833,0.167,0.3818,neutral
1107,1286,We will with positive thinking and also taking all the precautionary measures will make again.,23/6/20,0.22727272727272727,0.5454545454545454,0.0,0.795,0.205,0.5574,neutral
1139,1318,Make Singapore great and United.,24/5/20,0.8,0.75,0.0,0.303,0.697,0.7845,neutral
1163,1342,We are all going insane right now.,24/5/20,-0.35714285714285715,0.7678571428571428,0.31,0.69,0.0,-0.4019,neutral
1167,1346,I know my mind is normally strong but not now.,24/5/20,0.4333333333333333,0.7333333333333333,0.0,0.788,0.212,0.2846,neutral
1169,1348,#staysafe more importantly #staysane.,24/5/20,0.45,0.75,0.0,0.536,0.464,0.3804,neutral
1172,1351,"His manner, gesture and statesmanship is remarkable.",24/5/20,0.75,0.75,0.0,0.625,0.375,0.5574,neutral
1180,1359,"Sir, in the end I will say that you continue your great good deeds, may Allah have mercy on you inshaAllah.",24/5/20,0.75,0.675,0.0,0.642,0.358,0.8591,neutral
1198,1378,May healing light of *Mother Nature* surround us all!,24/5/20,0.5,0.7,0.0,1.0,0.0,0.0,neutral
1239,1419,Thank you sir you are really  Great,23/5/20,0.8,0.75,0.0,0.42,0.58,0.7841,neutral
1290,1470,"The world will lose even more when many companies, economy, and countries go bust.",7/5/20,0.5,0.5,0.172,0.828,0.0,-0.4019,neutral
1304,1484,"Yes, there are having safe distancing rules.",26/9/20,0.5,0.5,0.0,0.472,0.528,0.6808,neutral
1321,1501,Why does It takes so long for you to implement this measure when you ban China pretty early?,23/9/20,0.10000000000000002,0.5666666666666667,0.158,0.702,0.14,-0.1027,neutral
1325,1505,Wondering if you will relook at it if there is better way?,23/9/20,0.5,0.5,0.0,0.791,0.209,0.4404,neutral
1333,1513,So what can I do in this situation if own colleagues just keep quiet even after I complaint n she’s still serving customers.,3/4/20,0.09999999999999999,0.5111111111111111,0.104,0.896,0.0,-0.296,neutral
1338,1518,"yes, please be more stern and assertive.",5/4/20,0.5,0.5,0.0,0.5,0.5,0.6124,neutral
1341,1521,"Ministry of Health, Singapore Good job .",3/4/20,0.7,0.6000000000000001,0.0,0.633,0.367,0.4404,neutral
1348,1528,I do hope the officials will consider also suspending all passenger arrivals and departures for this one month and to only allow cargo flights to operate.,3/4/20,0.0,1.0,0.0,0.827,0.173,0.5859,neutral
1350,1530,You doctor ah...Does it mean she is infected when she cough.,4/4/20,-0.3125,0.6875,0.242,0.758,0.0,-0.4939,neutral
1358,1542,These are good measures.,27/3/20,0.7,0.6000000000000001,0.0,0.508,0.492,0.4404,neutral
1452,1637,Good move and well done #taskforce.,20/3/20,0.7,0.6000000000000001,0.0,0.444,0.556,0.6124,neutral
1453,1638,We already have too many imported cases in Singapore.,20/3/20,0.5,0.5,0.0,1.0,0.0,0.0,neutral
1457,1642,Life is not easy.,2/3/21,-0.21666666666666667,0.8333333333333334,0.445,0.555,0.0,-0.3412,neutral
1471,1656,How many Mee Siam does he need to sell to cover the fine?,2/3/21,0.45833333333333337,0.5,0.0,0.87,0.13,0.2023,neutral
1552,1753,I now own Bitcoins.,6/2/21,0.6,1.0,0.0,1.0,0.0,0.0,neutral
1565,1766,Why made it so difficult for the restaurateurs?,31/12/20,-0.5,1.0,0.316,0.684,0.0,-0.5009,neutral
1614,1815,It's easy and requires to be kind to your boss manager and head of the office.,21/8/20,0.5166666666666666,0.8666666666666667,0.0,0.69,0.31,0.743,neutral
1625,1826,"He dont understand what is business, we have been lockdown for more than 2 months and now just starting have abit more better business, come out this ideal again to hit us, I think this person no brain",30/8/20,0.48,0.52,0.052,0.778,0.17,0.7178,neutral
1639,1840,So many covidiots in America think it's just a flu and you will only get mild symptoms if you are young.,28/6/20,0.2333333333333333,0.6,0.12,0.88,0.0,-0.3818,neutral
1649,1850,Must let them get infected then they will know how super deadly is this virus.,28/6/20,0.06666666666666665,0.5333333333333333,0.159,0.647,0.194,0.1779,neutral
1653,1854,The government wonâ€™t stand in your way if you have a good precaution taken and make sure all are safe.,20/6/20,0.5666666666666667,0.662962962962963,0.0,0.664,0.336,0.7964,neutral
1665,1867,It is good that we stand firm to the rules and regulation.,20/6/20,0.24999999999999997,0.5,0.0,0.791,0.209,0.4404,neutral
1687,1889,Always late mind is it?,20/6/20,-0.3,0.6,0.0,1.0,0.0,0.0,neutral
1697,1899,"Closed for dine in for a week, but free advertising in so many different channels.",20/6/20,0.2,0.5,0.0,0.745,0.255,0.6652,neutral
1726,1928,"Do what the Rome do, is safe.",16/6/20,0.5,0.5,0.0,0.674,0.326,0.4404,neutral
1776,1978,Now The virus is on the shield and table now how is clearers going to clean it?,10/6/20,0.3666666666666667,0.7000000000000001,0.0,0.856,0.144,0.4019,neutral
1777,1979,Use the same cloth clean the table then clean the shield?,10/6/20,0.24444444444444446,0.5083333333333334,0.0,0.625,0.375,0.6597,neutral
1790,1993,It can be unbelievable,10/6/20,-0.25,1.0,0.0,0.625,0.375,0.2023,neutral
1806,2009,Safe distancing?,7/6/20,0.5,0.5,0.0,0.256,0.744,0.4404,neutral
1807,2010,What safe distancing?,7/6/20,0.5,0.5,0.0,0.408,0.592,0.4404,neutral
1820,2023,"WHO need to assure, with the truth, so most countries will not panic and lockdown again.",4/6/20,0.5,0.5,0.0,0.637,0.363,0.7508,neutral
1838,2041,F&B outlets -- open.,3/6/20,0.0,0.5,0.0,1.0,0.0,0.0,neutral
1844,2047,"Sirs and mdm, please provide more touch and go timing.",4/6/20,0.5,0.5,0.0,0.796,0.204,0.3182,neutral
1858,2061,My boss very good to me.,4/6/20,0.9099999999999999,0.7800000000000001,0.0,0.61,0.39,0.4927,neutral
1871,2074,Only unwell ones need quarantine.,3/6/20,0.0,1.0,0.0,1.0,0.0,0.0,neutral
1872,2075,Then you will not have many disgruntle.,3/6/20,0.5,0.5,0.0,1.0,0.0,0.0,neutral
1879,2082,"No one wants to pay huge, unretrievable, and unimaginable costs.",29/5/20,0.30000000000000004,0.5,0.279,0.543,0.178,-0.0772,neutral
1880,2083,"This epidemic can be eliminated if we do not travel and move from one country to another, so it is possible to reopen, but traveling for holiday will have serious consequences.",29/5/20,-0.16666666666666666,0.8333333333333333,0.043,0.853,0.104,0.4767,neutral
1898,2101,Ok. Granted that the mask is not full proof.,20/3/20,-0.175,0.55,0.0,0.625,0.375,0.4939,neutral
1905,2108,And touching the handrail?,20/3/20,0.5,0.5,0.0,1.0,0.0,0.0,neutral
