Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
0,0,3,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,want to sabo also fail,21/2/21 0:50,5,Social Distancing,5,0,-11.64409432125579,2,1,0,41.61288876085548,4,0,0.0
1,1,4,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Until now u still don\x92t get what our gahmen is saying? Can allow 8 outsiders + however many living in the same household,21/2/21 0:55,21,Social Distancing,23,1,-12.354094586454162,5,2,1,8.157520887733781,1,0,0.0
2,2,6,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,TS is a bloody clown...,21/2/21 0:57,5,Social Distancing,5,0,-12.0632473676676,1,0,0,21.85377547518344,3,0,0.0
3,3,7,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,TS Jin xia suey. Want to sabo also know the law first can?,21/2/21 0:57,13,Social Distancing,13,1,-13.358341478018165,2,1,0,8.15752088773378,1,0,0.0
4,4,8,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,ironfreak wrote: Until now u still don\x92t get what our gahmen is saying? Can allow 8 outsiders + however many living in the same household Yes 8+ whatever number in the household. If u stay landed and ur hse gt all 2 side 3 gen staying with u also no problems,21/2/21 0:58,46,Social Distancing,51,3,-12.789464790055773,8,4,1,2.4731880983691528,0,0,0.0
5,5,9,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,"Please retake psle English, ts",21/2/21 0:58,5,Social Distancing,5,0,-16.3511383155718,1,0,0,14.314157420613995,2,0,0.0
6,6,11,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,don't find fault just for the sake of finding fault. you nothing better to do issit?,21/2/21 0:59,15,Social Distancing,16,1,-10.674726832177722,4,0,0,12.26389218527315,2,0,0.0
7,7,12,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Ts fail. Go back to school la,21/2/21 0:59,7,Social Distancing,7,0,-11.717337238440917,1,0,0,10.458498421283293,2,0,0.0
8,8,13,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,heroking wrote: got 8 person meh? Knn Nicole Choo really become the gf of the jiak peh hoon guy,21/2/21 1:00,18,Social Distancing,19,1,-15.009560517287317,4,0,0,3.7236888373929387,0,0,0.0
9,9,15,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Lol dumbass heroking.. post slander but backfire then now turn tail and hide. Shame.,21/2/21 1:02,14,Social Distancing,14,1,-14.019846359575924,2,3,0,4.798253640419633,0,0,0.0
10,10,16,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,They think 8 means can invite 8 people.,21/2/21 1:04,6,Social Distancing,8,0,-10.7253190814213,2,0,0,21.853775475183436,3,0,0.0
11,11,17,[GPGT] Saw this ig post inside got 8 person meh?,21/2/21 10:51,Top chicken looks good for bonking \u0909\u092a\u0947\u0915\u094d\u0937\u093e HardwareZone Forums app,21/2/21 1:06,9,Social Distancing,16,1,-19.375945238357332,2,0,0,10.45849842128329,2,0,0.0
