id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1267772505135083520,1267770819679154176,2020-06-02 18:58:13 +08,2020-06-02,18:58:13,+0800,4785314062,culturedf,Dave / Cultured Left Foot,,"I should clarify, I am not a foreign worker. I am an Employment Pass holder. Foreign Workers count as those that live in close packed dorms, make up the large majority of all of SG’s covid cases and can’t go to work for a long time.",en,[],[],[],0,0,0,[],[],https://twitter.com/CulturedF/status/1267772505135083520,False,,0,,Singapore,,,,,,[],,,,
1261201939951304704,1261196856085921792,2020-05-15 15:49:09 +08,2020-05-15,15:49:09,+0800,16344278,leenugent,Lee Nugent,,"@vermasatya In Singapore, no. Same outbreak. It never settled. Nobody paid attention to the foreign worker dorms and those poor souls have taken the brunt. They are ALL being tested, so the numbers are high. Outside of that unfortunate community, transmission is 1-10 ppl per day roughly.",en,[],[],[],1,0,1,[],[],https://twitter.com/LeeNugent/status/1261201939951304704,False,,0,,Singapore,,,,,,"[{'screen_name': 'vermasatya', 'name': 'vermasatya', 'id': '18577138'}]",,,,
1252860933224886272,1252860933224886272,2020-04-22 15:24:58 +08,2020-04-22,15:24:58,+0800,2671787449,idkzave,˜”*°• kamado tanjirō •°*”˜,,"okay theres improvement, we need to start on the foreign worker dorms nowwwww",en,[],[],[],0,0,1,[],[],https://twitter.com/idkzave/status/1252860933224886272,False,https://twitter.com/MothershipSG/status/1252858461538287618,0,,Singapore,,,,,,[],,,,
1251741795903393792,1251377910541418497,2020-04-19 13:17:55 +08,2020-04-19,13:17:55,+0800,19684195,utxo__,At the equator,,@biancoresearch @paranoidbull Singapore case is unique as about 95% of cases are happening in foreign worker dorms. Community cases are actually declining.,en,[],[],[],0,0,2,[],[],https://twitter.com/utxo__/status/1251741795903393792,False,,0,,Singapore,,,,,,"[{'screen_name': 'biancoresearch', 'name': 'Jim Bianco', 'id': '188369814'}, {'screen_name': 'paranoidbull', 'name': 'Paranoid Bull', 'id': '3368226849'}]",,,,
